"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-6.96554927442165
2.005,-11.0011290077879
2.01,-17.5039451972179
2.015,-13.6234035273799
2.02,-8.46249132763701
2.025,-5.61587485547018
2.03,-3.93103948439788
2.035,-2.87244774753895
2.04,-2.17545525862514
2.045,-1.69799355728373
2.05,-1.35948761755409
2.055,-1.11222010277751
2.06,-0.926845577009419
2.065,-0.784692805322712
2.07,-0.673510829947125
2.075,-0.585034796899724
2.08,-0.513547622837629
2.085,-0.455004433592369
2.09,-0.406484731171225
2.095,-0.365840836744642
2.1,-0.331466986209911
2.105,-0.302144404303749
2.11,-0.276935304532707
2.115,-0.255109050589883
2.12,-0.23608986538609
2.125,-0.219419232677416
2.13,-0.204728481340601
2.135,-0.191718533793762
2.14,-0.18014476577557
2.145,-0.169805560552239
2.15,-0.160533565883245
2.155,-0.152188950676704
2.16,-0.144654156816971
2.165,-0.137829780007673
2.17,-0.131631311055684
2.175,-0.125986538625228
2.18,-0.120833464668662
2.185,-0.11611862027721
2.19,-0.111795696551584
2.195,-0.10782442501058
2.2,-0.104169656953174
2.205,-0.100800602421367
2.21,-0.0976901979432949
2.215,-0.0948145787648019
2.22,-0.0921526363074016
2.225,-0.0896856454907062
2.23,-0.0873969496007189
2.235,-0.0852716927739592
2.24,-0.083296592052858
2.245,-0.0814597424641043
2.25,-0.0797504497652912
2.255,-0.0781590864621158
2.26,-0.0766769674690303
2.265,-0.0752962424100264
2.27,-0.0740098020628834
2.275,-0.0728111968639471
2.28,-0.0716945657293177
2.285,-0.070654573727025
2.29,-0.0696863573650577
2.295,-0.0687854764506142
2.3,-0.0679478716346623
2.305,-0.0671698268880089
2.31,-0.0664479362659065
2.315,-0.0657790744110681
2.32,-0.0651603703232862
2.325,-0.0645891839899143
2.33,-0.0640630855274379
2.335,-0.0635798365319663
2.34,-0.0631373733768972
2.345,-0.0627337922306264
2.35,-0.0623673355967616
2.355,-0.0620363802046743
2.36,-0.0617394261001715
2.365,-0.0614750868048035
2.37,-0.0612420804287424
2.375,-0.0610392216363002
2.38,-0.0608654143754685
2.385,-0.0607196452935733
2.39,-0.0606009777706735
2.395,-0.0605085465105372
2.4,-0.0604415526364516
2.405,-0.0603992592455877
2.41,-0.0603809873816816
2.415,-0.0603861123910086
2.42,-0.0604140606316531
2.425,-0.0604643065107048
2.43,-0.0605363698284948
2.435,-0.0606298134133154
2.44,-0.0607442410346821
2.445,-0.0608792955877121
2.45,-0.0610346575466004
2.455,-0.0612100436907702
2.46,-0.061405206114243
2.465,-0.0616199315369176
2.47,-0.0618540409466754
2.475,-0.0621073896139885
2.48,-0.0623798675373453
2.485,-0.0626714003995088
2.49,-0.0629819511432819
2.495,-0.0633115223143383
2.5,-0.063660159371348
2.505,-0.064027955236105
2.51,-0.0644150564576865
2.515,-0.0648216715069384
2.52,-0.0652480819210045
2.525,-0.0656946573111433
2.53,-0.0661618756769913
2.535,-0.0666503511090387
2.54,-0.0671608719244036
2.545,-0.0676944537585205
2.55,-0.0682524144432248
2.555,-0.0688364811780198
2.56,-0.0694489464849519
2.565,-0.0700928994106255
2.57,-0.0707725755006416
2.575,-0.0714938991192039
2.58,-0.0722653463391159
2.585,-0.0730993596943318
2.59,-0.0740147485381368
2.595,-0.0750409251946613
2.6,-0.0762257299006177
2.605,-0.0776506755894824
2.61,-0.0794625644664374
2.615,-0.0819440494570287
2.62,-0.0856849795729027
2.625,-0.092037075180126
2.63,-0.104385350704815
2.635,-0.130890668666874
2.64,-0.175186252435218
2.645,-0.177342415562997
2.65,-0.139960994709777
2.655,-0.116945802362336
2.66,-0.106003581305307
2.665,-0.10067401705395
2.67,-0.0980184731979302
2.675,-0.0967611348641011
2.68,-0.09630382713969
2.685,-0.096341441284528
2.69,-0.0967065226695141
2.695,-0.0973014098637179
2.7,-0.0980662376118066
2.705,-0.0989627876844942
2.71,-0.0999658457868483
2.715,-0.101058336752975
2.72,-0.102228464938184
2.725,-0.103467968915617
2.73,-0.104771020803781
2.735,-0.106133511931719
2.74,-0.107552577397028
2.745,-0.109026272516078
2.75,-0.11055334829234
2.755,-0.112133092906218
2.76,-0.113765218137497
2.765,-0.115449776947801
2.77,-0.117187103050757
2.775,-0.118977766251336
2.78,-0.12082253926953
2.785,-0.122722373051811
2.79,-0.124678378446483
2.795,-0.126691812719105
2.8,-0.128764069802774
2.805,-0.13089667347382
2.81,-0.133091272855397
2.815,-0.135349639804828
2.82,-0.13767366785305
2.825,-0.140065372447914
2.83,-0.142526892315669
2.835,-0.145060491802346
2.84,-0.147668564093309
2.845,-0.150353635237523
2.85,-0.15311836892554
2.855,-0.155965571988134
2.86,-0.158898200597211
2.865,-0.161919367162815
2.87,-0.165032347930456
2.875,-0.168240591292077
2.88,-0.171547726832033
2.885,-0.174957575137003
2.89,-0.178474158405676
2.895,-0.182101711900873
2.9,-0.18584469629342
2.905,-0.189707810953852
2.91,-0.193696008254788
2.915,-0.197814508954045
2.92,-0.202068818735956
2.925,-0.206464745996217
2.93,-0.211008420964097
2.935,-0.215706316264683
2.94,-0.220565269033613
2.945,-0.225592504707182
2.95,-0.230795662621884
2.955,-0.236182823569767
2.96,-0.241762539469155
2.965,-0.247543865324692
2.97,-0.2535363936662
2.975,-0.259750291672805
2.98,-0.266196341207098
2.985,-0.272885982004018
2.99,-0.279831358280613
2.995,-0.287045369056257
3,-0.294541722497895
