"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0151888188409964
2.005,-0.0152459066495594
2.01,-0.015303389223201
2.015,-0.0153612696854422
2.02,-0.0154195511828593
2.025,-0.0154782368849561
2.03,-0.0155373299840978
2.035,-0.0155968336954215
2.04,-0.0156567512567562
2.045,-0.0157170859285451
2.05,-0.0157778409937723
2.055,-0.015839019757903
2.06,-0.0159006255488067
2.065,-0.0159626617167074
2.07,-0.0160251316341196
2.075,-0.0160880386958061
2.08,-0.016151386318714
2.085,-0.016215177941942
2.09,-0.0162794170266889
2.095,-0.0163441070562192
2.1,-0.0164092515358279
2.105,-0.0164748539928021
2.11,-0.0165409179764041
2.115,-0.0166074470578314
2.12,-0.0166744448301985
2.125,-0.0167419149085268
2.13,-0.01680986092971
2.135,-0.0168782865525148
2.14,-0.0169471954575587
2.145,-0.017016591347313
2.15,-0.0170864779460901
2.155,-0.0171568590000349
2.16,-0.0172277382771386
2.165,-0.0172991195672308
2.17,-0.0173710066819868
2.175,-0.0174434034549333
2.18,-0.0175163137414632
2.185,-0.0175897414188447
2.19,-0.0176636903862341
2.195,-0.0177381645646972
2.2,-0.0178131678972266
2.205,-0.01788870434876
2.21,-0.0179647779062091
2.215,-0.0180413925784857
2.22,-0.018118552396523
2.225,-0.0181962614133176
2.23,-0.0182745237039464
2.235,-0.0183533433656217
2.24,-0.018432724517705
2.245,-0.0185126713017613
2.25,-0.0185931878815945
2.255,-0.0186742784432897
2.26,-0.018755947195258
2.265,-0.0188381983682802
2.27,-0.0189210362155617
2.275,-0.0190044650127754
2.28,-0.0190884890581124
2.285,-0.0191731126723412
2.29,-0.0192583401988653
2.295,-0.0193441760037618
2.3,-0.0194306244758656
2.305,-0.0195176900268156
2.31,-0.0196053770911061
2.315,-0.0196936901261775
2.32,-0.0197826336124589
2.325,-0.0198722120534355
2.33,-0.0199624299757341
2.335,-0.0200532919291726
2.34,-0.0201448024868476
2.345,-0.0202369662451914
2.35,-0.020329787824058
2.355,-0.0204232718667979
2.36,-0.0205174230403271
2.365,-0.0206122460352139
2.37,-0.0207077455657514
2.375,-0.0208039263700527
2.38,-0.0209007932101075
2.385,-0.020998350871895
2.39,-0.0210966041654514
2.395,-0.0211955579249644
2.4,-0.0212952170088557
2.405,-0.021395586299868
2.41,-0.0214966707051669
2.415,-0.0215984751564219
2.42,-0.0217010046099051
2.425,-0.0218042640465837
2.43,-0.0219082584722136
2.435,-0.0220129929174359
2.44,-0.0221184724378782
2.445,-0.0222247021142564
2.45,-0.0223316870524589
2.455,-0.0224394323836703
2.46,-0.0225479432644596
2.465,-0.0226572248768831
2.47,-0.0227672824286008
2.475,-0.0228781211529663
2.48,-0.022989746309151
2.485,-0.0231021631822337
2.49,-0.0232153770833291
2.495,-0.02332939334968
2.5,-0.0234442173447847
2.505,-0.0235598544584975
2.51,-0.0236763101071459
2.515,-0.023793589733651
2.52,-0.0239116988076328
2.525,-0.0240306428255354
2.53,-0.0241504273107325
2.535,-0.0242710578136717
2.54,-0.0243925399119587
2.545,-0.024514879210508
2.55,-0.0246380813416486
2.555,-0.0247621519652537
2.56,-0.0248870967688582
2.565,-0.0250129214677903
2.57,-0.0251396318052915
2.575,-0.0252672335526471
2.58,-0.0253957325093051
2.585,-0.0255251345030225
2.59,-0.0256554453899746
2.595,-0.0257866710549007
2.6,-0.0259188174112226
2.605,-0.0260518904011907
2.61,-0.0261858959960039
2.615,-0.0263208401959545
2.62,-0.0264567290305569
2.625,-0.0265935685586771
2.63,-0.0267313648686939
2.635,-0.0268701240786055
2.64,-0.027009852336192
2.645,-0.0271505558191429
2.65,-0.0272922407351954
2.655,-0.0274349133222946
2.66,-0.0275785798487036
2.665,-0.0277232466131844
2.67,-0.027868919945111
2.675,-0.0280156062046282
2.68,-0.0281633117827961
2.685,-0.0283120431017346
2.69,-0.0284618066147778
2.695,-0.0286126088066078
2.7,-0.0287644561934202
2.705,-0.0289173553230669
2.71,-0.0290713127752026
2.715,-0.0292263351614441
2.72,-0.0293824291255204
2.725,-0.0295396013434276
2.73,-0.0296978585235767
2.735,-0.0298572074069608
2.74,-0.0300176547673032
2.745,-0.0301792074112067
2.75,-0.0303418721783344
2.755,-0.0305056559415442
2.76,-0.0306705656070567
2.765,-0.030836608114626
2.77,-0.0310037904376937
2.775,-0.0311721195835302
2.78,-0.0313416025934358
2.785,-0.0315122465428743
2.79,-0.0316840585416605
2.795,-0.0318570457341015
2.8,-0.0320312152991761
2.805,-0.032206574450703
2.81,-0.032383130437505
2.815,-0.0325608905435808
2.82,-0.0327398620882684
2.825,-0.0329200524264196
2.83,-0.0331014689485732
2.835,-0.0332841190811179
2.84,-0.0334680102864817
2.845,-0.0336531500632818
2.85,-0.0338395459465258
2.855,-0.0340272055077592
2.86,-0.034216136355265
2.865,-0.0344063461342324
2.87,-0.0345978425269216
2.875,-0.0347906332528624
2.88,-0.0349847260690224
2.885,-0.0351801287699873
2.89,-0.0353768491881424
2.895,-0.03557489519386
2.9,-0.0357742746956691
