"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0245452146533607
2.005,-0.0248407881591986
2.01,-0.0251414996812615
2.015,-0.0254474305358148
2.02,-0.0257586647767203
2.025,-0.0260752892757196
2.03,-0.0263973938060468
2.035,-0.0267250711294409
2.04,-0.0270584170867879
2.045,-0.0273975306924901
2.05,-0.0277425142327717
2.055,-0.0280934733681076
2.06,-0.0284505172399206
2.065,-0.0288137585818193
2.07,-0.029183313835519
2.075,-0.0295593032717305
2.08,-0.0299418511162234
2.085,-0.0303310856813246
2.09,-0.0307271395031391
2.095,-0.031130149484742
2.1,-0.0315402570456889
2.105,-0.0319576082781384
2.11,-0.0323823541099309
2.115,-0.0328146504750111
2.12,-0.0332546584915482
2.125,-0.0337025446481962
2.13,-0.0341584809989307
2.135,-0.0346226453669192
2.14,-0.0350952215579346
2.145,-0.0355763995838773
2.15,-0.0360663758969224
2.155,-0.0365653536350017
2.16,-0.0370735428791829
2.165,-0.0375911609237412
2.17,-0.0381184325596519
2.175,-0.0386555903723439
2.18,-0.039202875054611
2.185,-0.039760535735641
2.19,-0.0403288303272254
2.195,-0.0409080258882508
2.2,-0.041498399008756
2.205,-0.042100236214855
2.21,-0.0427138343959999
2.215,-0.043339501256216
2.22,-0.0439775557909969
2.225,-0.0446283287918429
2.23,-0.045292163380528
2.235,-0.0459694155754234
2.24,-0.0466604548924489
2.245,-0.047365664983526
2.25,-0.0480854443156833
2.255,-0.0488202068943299
2.26,-0.0495703830346748
2.265,-0.050336420185688
2.27,-0.051118783811549
2.275,-0.0519179583362319
2.28,-0.0527344481575042
2.285,-0.0535687787375731
2.29,-0.0544214977785437
2.295,-0.0552931764920609
2.3,-0.056184410973883
2.305,-0.0570958236957693
2.31,-0.0580280651289918
2.315,-0.0589818155161169
2.32,-0.0599577868104158
2.325,-0.0609567248056593
2.33,-0.0619794114829544
2.335,-0.0630266676062188
2.34,-0.064099355603699
2.345,-0.065198382780245
2.35,-0.0663247049137507
2.355,-0.0674793303002484
2.36,-0.0686633243255377
2.365,-0.0698778146580924
2.37,-0.0711239971791213
2.375,-0.0724031427921715
2.38,-0.0737166052881598
2.385,-0.0750658304845547
2.39,-0.0764523669119902
2.395,-0.0778778783919181
2.4,-0.0793441589400466
2.405,-0.0808531505487274
2.41,-0.0824069645571083
2.415,-0.0840079075225871
2.42,-0.085658512779402
2.425,-0.0873615792334358
2.43,-0.0891202194310287
2.435,-0.0909379196001088
2.44,-0.0928186152609918
2.445,-0.0947667872330875
2.45,-0.0967875845514226
2.455,-0.0988869831303353
2.46,-0.101071992210907
2.465,-0.103350925016692
2.47,-0.105733755997021
2.475,-0.108232594936508
2.48,-0.1108623182156
2.485,-0.113641408968446
2.49,-0.116593067813902
2.495,-0.119746655193998
2.5,-0.123139491252652
2.505,-0.126818910734867
2.51,-0.130844110861787
2.515,-0.135286437255504
2.52,-0.140224733376506
2.525,-0.145728345287265
2.53,-0.151814130106004
2.535,-0.158360557018675
2.54,-0.164983918585713
2.545,-0.17096876824325
2.55,-0.175460281259639
2.555,-0.177987459473128
2.56,-0.178864252293028
2.565,-0.17895603381515
2.57,-0.179102318815949
2.575,-0.17979795780934
2.58,-0.181218035476945
2.585,-0.183358268776375
2.59,-0.186145484813047
2.595,-0.189494902795071
2.6,-0.193332610170023
2.605,-0.197601334129185
2.61,-0.202259702180832
2.615,-0.207279599886941
2.62,-0.212643410514735
2.625,-0.218341698614016
2.63,-0.224371428146617
2.635,-0.230734650557599
2.64,-0.23743756468531
2.645,-0.244489858378618
2.65,-0.251904260172434
2.655,-0.259696247554081
2.66,-0.267883873207921
2.665,-0.27648768191075
2.67,-0.285530699055819
2.675,-0.295038477828676
2.68,-0.30503919646531
2.685,-0.315563800275635
2.69,-0.326646185567885
2.695,-0.338323424519845
2.7,-0.350636031594987
2.705,-0.363628273430312
2.71,-0.377348525327302
2.715,-0.391849678634154
2.72,-0.407189604478145
2.725,-0.423431680544508
2.73,-0.44064538895116
2.735,-0.458906994785455
2.74,-0.478300316599977
2.745,-0.498917602165405
2.75,-0.520860525112592
2.755,-0.544241320837579
2.76,-0.569184083280203
2.765,-0.595826248024498
2.77,-0.624320291735198
2.775,-0.654835683394177
2.78,-0.687561129323512
2.785,-0.722707161810767
2.79,-0.760509130573343
2.795,-0.801230667666739
2.8,-0.845167710194874
2.805,-0.892653181865949
2.81,-0.944062454737872
2.815,-0.999819737271219
2.82,-1.06040556513984
2.825,-1.1263656085199
2.83,-1.1983210555585
2.835,-1.27698088870704
2.84,-1.36315644160378
2.845,-1.45777871320679
2.85,-1.56191902833385
2.855,-1.67681377713181
2.86,-1.80389415081737
2.865,-1.94482203251869
2.87,-2.10153352272593
2.875,-2.27629201292551
2.88,-2.47175332167103
2.885,-2.69104625952187
2.89,-2.93787323149169
2.895,-3.21663734909503
2.9,-3.53260540322079
2.905,-3.89212063247221
2.91,-4.30288674164573
2.915,-4.7743573512695
2.92,-5.3182873162044
2.925,-5.94954272728879
2.93,-6.68734284246776
2.935,-7.55725952731636
2.94,-8.59462341794275
2.945,-9.85073135200053
2.95,-11.4051538583677
2.955,-13.393022508346
2.96,-16.0759634337778
2.965,-20.078675528705
2.97,-27.6152876259935
2.975,-31.6648581499142
2.98,-21.7806597719404
2.985,-17.1511041106866
2.99,-14.2020479512353
2.995,-12.0727107919938
3,-10.433288980758
