"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-1.0018477205671
2.005,-0.87138300512485
2.01,-0.764589810741515
2.015,-0.676299962346068
2.02,-0.602618113535275
2.025,-0.54058403262443
2.03,-0.487927418651061
2.035,-0.442890504503386
2.04,-0.404099414136491
2.045,-0.3704703659825
2.05,-0.341140789738844
2.055,-0.315418326732376
2.06,-0.292742746745331
2.065,-0.272657262494314
2.07,-0.254786736265189
2.075,-0.238820983028495
2.08,-0.224501873592567
2.085,-0.211613294484092
2.09,-0.199973272717051
2.095,-0.189427753995132
2.1,-0.179845653266589
2.105,-0.171114891503135
2.11,-0.163139202258217
2.115,-0.155835543085784
2.12,-0.149131985280767
2.125,-0.142965984196364
2.13,-0.137282954145624
2.135,-0.132035088438459
2.14,-0.1271803777691
2.145,-0.122681789924128
2.15,-0.118506581340507
2.155,-0.114625716935537
2.16,-0.1110133792489
2.165,-0.10764655157664
2.17,-0.104504662659677
2.175,-0.101569282784588
2.18,-0.0988238629900932
2.185,-0.0962535105478865
2.19,-0.0938447950772178
2.195,-0.0915855806178722
2.2,-0.0894648797719003
2.205,-0.0874727266665787
2.21,-0.0856000660177586
2.215,-0.0838386560066329
2.22,-0.0821809830412811
2.225,-0.0806201867716203
2.23,-0.079149993973707
2.235,-0.0777646601256659
2.24,-0.0764589176704369
2.245,-0.0752279301056652
2.25,-0.0740672511632457
2.255,-0.0729727884444096
2.26,-0.071940770963626
2.265,-0.0709677201289249
2.27,-0.0700504237494954
2.275,-0.0691859127153423
2.28,-0.0683714400401156
2.285,-0.0676044619976747
2.29,-0.0668826211171773
2.295,-0.0662037308307164
2.3,-0.0655657615929108
2.305,-0.064966828313791
2.31,-0.0644051789652997
2.315,-0.0638791842382693
2.32,-0.0633873281410766
2.325,-0.0629281994437657
2.33,-0.0625004838823154
2.335,-0.0621029570473735
2.34,-0.0617344778901246
2.345,-0.0613939827853985
2.35,-0.0610804800985663
2.355,-0.0607930452085419
2.36,-0.06053081594417
2.365,-0.060292988395859
2.37,-0.0600788130681859
2.375,-0.0598875913426533
2.38,-0.0597186722230561
2.385,-0.0595714493384559
2.39,-0.0594453581813763
2.395,-0.0593398735609513
2.4,-0.0592545072526929
2.405,-0.0591888058283261
2.41,-0.0591423486506253
2.415,-0.0591147460196467
2.42,-0.05910563745788
2.425,-0.0591146901230607
2.43,-0.0591415973382385
2.435,-0.0591860772296566
2.44,-0.0592478714637038
2.445,-0.059326744074904
2.45,-0.0594224803774477
2.455,-0.0595348859533237
2.46,-0.0596637857104377
2.465,-0.0598090230045168
2.47,-0.0599704588187732
2.475,-0.0601479709954374
2.48,-0.060341453513412
2.485,-0.0605508158060574
2.49,-0.0607759821130721
2.495,-0.0610168908599274
2.5,-0.0612734940578866
2.505,-0.0615457567166522
2.51,-0.0618336562607776
2.515,-0.0621371819393165
2.52,-0.0624563342162784
2.525,-0.0627911241269145
2.53,-0.063141572581226
2.535,-0.0635077095918425
2.54,-0.0638895733973554
2.545,-0.0642872094444965
2.55,-0.0647006691824724
2.555,-0.0651300086094733
2.56,-0.0655752864937656
2.565,-0.0660365621691165
2.57,-0.0665138927742247
2.575,-0.0670073297670845
2.58,-0.067516914495469
2.585,-0.0680426725420876
2.59,-0.0685846064871081
2.595,-0.0691426866442821
2.6,-0.0697168392413338
2.605,-0.0703069314591744
2.61,-0.0709127527842449
2.615,-0.0715339924021769
2.62,-0.0721702131487188
2.625,-0.0728208243686098
2.63,-0.0734850598809675
2.635,-0.0741619747060804
2.64,-0.0748504874986365
2.645,-0.0755495166301964
2.65,-0.0762582841903802
2.655,-0.0769768769928489
2.66,-0.0777071082662578
2.665,-0.0784535316205161
2.67,-0.0792240697095973
2.675,-0.0800293485471957
2.68,-0.0808801224852177
2.685,-0.0817835895820739
2.69,-0.0827408660524548
2.695,-0.0837473766845002
2.7,-0.0847955793843458
2.705,-0.0858779455179078
2.71,-0.0869887284208447
2.715,-0.0881243967980387
2.72,-0.0892832998681124
2.725,-0.0904651066822385
2.73,-0.091670303919013
2.735,-0.0928998360402889
2.74,-0.0941548778747074
2.745,-0.095436703336898
2.75,-0.096746615938202
2.755,-0.0980859161246484
2.76,-0.0994558893384242
2.765,-0.10085780510551
2.77,-0.1022929215801
2.775,-0.103762492473211
2.78,-0.105267774743617
2.785,-0.106810036246865
2.79,-0.108390562986334
2.795,-0.110010665847877
2.8,-0.111671686819725
2.805,-0.113375004755275
2.81,-0.115122040758199
2.815,-0.116914263273656
2.82,-0.118753192965655
2.825,-0.120640407453212
2.83,-0.12257754597003
2.835,-0.124566314004632
2.84,-0.126608487971142
2.845,-0.128705919955342
2.85,-0.130860542575886
2.855,-0.133074373997181
2.86,-0.135349523127625
2.865,-0.137688195035087
2.87,-0.140092696610162
2.875,-0.142565442507178
2.88,-0.145108961392601
2.885,-0.147725902530821
2.89,-0.150419042737882
2.895,-0.153191293734593
2.9,-0.156045709931861
2.905,-0.158985496682477
2.91,-0.162014019035552
2.915,-0.165134811031783
2.92,-0.168351585580245
2.925,-0.171668244959911
2.93,-0.175088891992154
2.935,-0.17861784193364
2.94,-0.182259635142598
2.945,-0.18601905057531
2.95,-0.189901120173833
2.955,-0.193911144210554
2.96,-0.198054707660166
2.965,-0.202337697674939
2.97,-0.206766322245073
2.975,-0.21134713013214
2.98,-0.216087032170457
2.985,-0.220993324038572
2.99,-0.226073710611005
2.995,-0.231336332008889
3,-0.236789791477471
