"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0954664190836377
2.005,-0.0997219981647488
2.01,-0.104261498416487
2.015,-0.109109815302783
2.02,-0.114294583162915
2.025,-0.119846539841907
2.03,-0.125799948529226
2.035,-0.132193087178182
2.04,-0.139068818018094
2.045,-0.146475252306606
2.05,-0.154466528728307
2.055,-0.163103727891745
2.06,-0.172455950421088
2.065,-0.182601592454576
2.07,-0.19362986030478
2.075,-0.205642576070463
2.08,-0.218756338726157
2.085,-0.233105121458041
2.09,-0.248843406829823
2.095,-0.266149988169331
2.1,-0.285232600264846
2.105,-0.306333587600815
2.11,-0.329736877386876
2.115,-0.355776602201886
2.12,-0.384847819513664
2.125,-0.417419911258679
2.13,-0.454053427805277
2.135,-0.495421382944885
2.14,-0.542336331697145
2.145,-0.595784999768496
2.15,-0.656972820986003
2.155,-0.727381526561806
2.16,-0.808843978432171
2.165,-0.903641815447082
2.17,-1.01463324293782
2.175,-1.14542044522666
2.18,-1.30056847572758
2.185,-1.48588950635587
2.19,-1.70880644755292
2.195,-1.97880439562986
2.2,-2.307958249212
2.205,-2.71146962528133
2.21,-3.20800816027083
2.215,-3.8193189226764
2.22,-4.56776296334551
2.225,-5.46860804681837
2.23,-6.51002665329239
2.235,-7.60909699445546
2.24,-8.54612321161835
2.245,-8.97391877822448
2.25,-8.67770772166778
2.255,-7.82890785261441
2.26,-6.77494651578327
2.265,-5.75303169004713
2.27,-4.85850186001413
2.275,-4.10937022425382
2.28,-3.49336097653959
2.285,-2.98972299910154
2.29,-2.57769577133646
2.295,-2.23926308664157
2.3,-1.95966999156892
2.305,-1.72714556853318
2.31,-1.5324065692448
2.315,-1.36815865929859
2.32,-1.22866630469339
2.325,-1.10940491486825
2.33,-1.00678808902575
2.335,-0.917956981199574
2.34,-0.840618728929943
2.345,-0.772922739954512
2.35,-0.713365851772906
2.355,-0.660719400762911
2.36,-0.613972899618706
2.365,-0.572290323088398
2.37,-0.534975994854029
2.375,-0.501447815710926
2.38,-0.471216131896493
2.385,-0.443866959034967
2.39,-0.419048587879639
2.395,-0.396460830212003
2.4,-0.375846337287586
2.405,-0.356983554170844
2.41,-0.339680972274047
2.415,-0.323772417572171
2.42,-0.309113169320105
2.425,-0.295576748087935
2.43,-0.283052245840388
2.435,-0.271442097059666
2.44,-0.260660210369048
2.445,-0.250630396123663
2.45,-0.241285038022863
2.455,-0.232563966743995
2.46,-0.224413501490957
2.465,-0.216785631644481
2.47,-0.209637315740866
2.475,-0.20292987905897
2.48,-0.196628494368277
2.485,-0.190701733044547
2.49,-0.185121175919618
2.495,-0.179861074996708
2.5,-0.174898058609868
2.505,-0.170210873797141
2.51,-0.1657801606407
2.515,-0.161588254142166
2.52,-0.157619009878732
2.525,-0.153857650250963
2.53,-0.150290628605542
2.535,-0.146905508913096
2.54,-0.143690859014847
2.545,-0.140636155733705
2.55,-0.13773170038388
2.555,-0.134968543415648
2.56,-0.132338417104321
2.565,-0.129833675339841
2.57,-0.127447239699638
2.575,-0.12517255109601
2.58,-0.123003526383
2.585,-0.120934519389085
2.59,-0.118960285912917
2.595,-0.117075952281512
2.6,-0.115276987125403
2.605,-0.113559176074382
2.61,-0.111918599121937
2.615,-0.110351610447343
2.62,-0.108854820522501
2.625,-0.107425080367171
2.63,-0.10605946785193
2.635,-0.104755275984167
2.64,-0.103510003149363
2.645,-0.102321345319138
2.65,-0.101187190279436
2.655,-0.100105613978129
2.66,-0.0990748791410915
2.665,-0.0980934363595523
2.67,-0.0971599279073466
2.675,-0.09627319460049
2.68,-0.0954322860544608
2.685,-0.0946364747101852
2.69,-0.0938852739574355
2.695,-0.0931784605312215
2.7,-0.0925161010009052
2.705,-0.0918985814587978
2.71,-0.0913266381914543
2.715,-0.0908013847754712
2.72,-0.0903243270545733
2.725,-0.0898973509179254
2.73,-0.0895226575309382
2.735,-0.0892026054700635
2.74,-0.0889393987483206
2.745,-0.088734536772498
2.75,-0.0885879274092885
2.755,-0.088496583456129
2.76,-0.0884529243071313
2.765,-0.0884429520000692
2.77,-0.0884449897607714
2.775,-0.0884301228884689
2.78,-0.0883655307254799
2.785,-0.0882209532133436
2.79,-0.0879765542775498
2.795,-0.0876286999338555
2.8,-0.0871905774168349
2.805,-0.0866874160590898
2.81,-0.0861490491600846
2.815,-0.0856032775277236
2.82,-0.0850719999102558
2.825,-0.0845701510253418
2.83,-0.08410645172434
2.835,-0.0836849000004294
2.84,-0.0833062986330369
2.845,-0.0829695015465311
2.85,-0.0826723088457763
2.855,-0.0824120550838809
2.86,-0.0821859682681594
2.865,-0.0819913725274023
2.87,-0.0818257908027815
2.875,-0.0816869869317238
2.88,-0.08157297293761
2.885,-0.0814819976931128
2.89,-0.0814125266998033
2.895,-0.0813632186285137
2.9,-0.0813329017345363
2.905,-0.0813205517427906
2.91,-0.0813252719123885
2.915,-0.0813462754917311
2.92,-0.0813828705090145
2.925,-0.0814344467129422
2.93,-0.0815004644258877
2.935,-0.0815804450620112
2.94,-0.0816739630750295
2.945,-0.0817806391227754
2.95,-0.0819001342615589
2.955,-0.0820321450091663
2.96,-0.0821763991392779
2.965,-0.0823326520913324
2.97,-0.0825006838985199
2.975,-0.0826802965522459
2.98,-0.0828713117348751
2.985,-0.0830735688637529
2.99,-0.0832869233988612
2.995,-0.0835112453742534
3,-0.0837464181199612
