"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.435144344664793
2.005,-0.492221191675022
2.01,-0.560776340931162
2.015,-0.643960591027757
2.02,-0.746034049366246
2.025,-0.872844725800126
2.03,-1.0325502291478
2.035,-1.23672158741549
2.04,-1.50205166268462
2.045,-1.85301795603098
2.05,-2.32602127047672
2.055,-2.97566352197367
2.06,-3.88351955489694
2.065,-5.16690221104094
2.07,-6.9681883040478
2.075,-9.30650227869508
2.08,-11.3012811329228
2.085,-10.7673613933547
2.09,-8.47396741129528
2.095,-6.35766430055281
2.1,-4.79604993176593
2.105,-3.68545061237652
2.11,-2.89191178628527
2.115,-2.31578346248322
2.12,-1.88942396056548
2.125,-1.56771597269525
2.13,-1.32043058906231
2.135,-1.12705263143161
2.14,-0.973432399449412
2.145,-0.849640884797222
2.15,-0.748589927143208
2.155,-0.665134756805873
2.16,-0.595482065508885
2.165,-0.536793586112381
2.17,-0.486916438978131
2.175,-0.444196873090346
2.18,-0.407349694721006
2.185,-0.375365439332975
2.19,-0.347443499900685
2.195,-0.322943359794394
2.2,-0.301348627584384
2.205,-0.282240245207191
2.21,-0.265276354652728
2.215,-0.250177057506049
2.22,-0.236712808631227
2.225,-0.224695525402039
2.23,-0.213971710499462
2.235,-0.204416997826888
2.24,-0.195931532761045
2.245,-0.188435460941199
2.25,-0.181863476094679
2.255,-0.176156835928807
2.26,-0.171250615141444
2.265,-0.167053847481816
2.27,-0.163422356229553
2.275,-0.160131535172174
2.28,-0.156870427120472
2.285,-0.153288993085555
2.29,-0.149109689445015
2.295,-0.144250179900068
2.3,-0.138859918422033
2.305,-0.1332339216236
2.31,-0.127676506161625
2.315,-0.122409066262291
2.32,-0.117549025914243
2.325,-0.113132125025066
2.33,-0.109144785197118
2.335,-0.105549882360306
2.34,-0.102302691567812
2.345,-0.0993591846468894
2.35,-0.0966796239257948
2.355,-0.0942296434287243
2.36,-0.0919801420214391
2.365,-0.0899067003256524
2.37,-0.0879888708640655
2.375,-0.0862094965221023
2.38,-0.0845541152258026
2.385,-0.0830104634129897
2.39,-0.0815680717261193
2.395,-0.0802179397580186
2.4,-0.0789522757288195
2.405,-0.0777642882952787
2.41,-0.0766480197205937
2.415,-0.0755982116789239
2.42,-0.0746101967721855
2.425,-0.0736798103288519
2.43,-0.072803318248106
2.435,-0.0719773575897969
2.44,-0.0711988873387697
2.445,-0.0704651473349633
2.45,-0.0697736237948846
2.455,-0.0691220201852236
2.46,-0.0685082324686044
2.465,-0.0679303279423574
2.47,-0.0673865270477994
2.475,-0.0668751876497877
2.48,-0.0663947913823291
2.485,-0.0659439317319205
2.49,-0.0655213035903588
2.495,-0.0651256940566634
2.5,-0.0647559743061907
2.505,-0.0644110923759075
2.51,-0.0640900667397742
2.515,-0.0637919805686098
2.52,-0.0635159765853845
2.525,-0.0632612524405602
2.53,-0.0630270565434192
2.535,-0.0628126842946149
2.54,-0.0626174746730207
2.545,-0.0624408071364297
2.55,-0.062282098801171
2.555,-0.0621408018703401
2.56,-0.0620164012841748
2.565,-0.0619084125696002
2.57,-0.0618163798686151
2.575,-0.0617398741278413
2.58,-0.0616784914334507
2.585,-0.0616318514776932
2.59,-0.0615995961446372
2.595,-0.0615813882042616
2.6,-0.0615769101050887
2.605,-0.0615858628566795
2.61,-0.0616079649941845
2.615,-0.0616429516179346
2.62,-0.0616905735018256
2.625,-0.0617505962647386
2.63,-0.0618227995999695
2.635,-0.0619069765579851
2.64,-0.0620029328783204
2.645,-0.0621104863668125
2.65,-0.0622294663147258
2.655,-0.0623597129566283
2.66,-0.062501076964102
2.665,-0.0626534189727408
2.67,-0.0628166091399809
2.675,-0.0629905267316511
2.68,-0.0631750597351369
2.685,-0.0633701044974167
2.69,-0.0635755653862528
2.695,-0.0637913544729312
2.7,-0.0640173912352337
2.705,-0.0642536022792157
2.71,-0.064499921078668
2.715,-0.0647562877311
2.72,-0.0650226487292095
2.725,-0.0652989567469386
2.73,-0.0655851704391659
2.735,-0.065881254254275
2.74,-0.0661871782588353
2.745,-0.0665029179736513
2.75,-0.06682845422063
2.755,-0.06716377297976
2.76,-0.0675088652557185
2.765,-0.0678637269535672
2.77,-0.0682283587630391
2.775,-0.0686027660510226
2.78,-0.0689869587617667
2.785,-0.0693809513244739
2.79,-0.0697847625678871
2.795,-0.0701984156415815
2.8,-0.0706219379435998
2.805,-0.0710553610541957
2.81,-0.0714987206753884
2.815,-0.071952056576088
2.82,-0.07241541254257
2.825,-0.0728888363340924
2.83,-0.0733723796434171
2.835,-0.0738660980621187
2.84,-0.0743700510504565
2.845,-0.074884301911676
2.85,-0.0754089177705974
2.855,-0.0759439695563572
2.86,-0.0764895319891633
2.865,-0.0770456835709748
2.87,-0.0776125065800021
2.875,-0.0781900870689021
2.88,-0.0787785148666306
2.885,-0.0793778835838291
2.89,-0.0799882906217099
2.895,-0.0806098371843529
2.9,-0.0812426282943855
2.905,-0.0818867728119594
2.91,-0.0825423834570116
2.915,-0.0832095768347743
2.92,-0.0838884734644712
2.925,-0.0845791978112122
2.93,-0.0852818783210459
2.935,-0.0859966474591618
2.94,-0.0867236417512248
2.945,-0.0874630018278598
2.95,-0.0882148724722494
2.955,-0.0889794026708958
2.96,-0.0897567456675188
2.965,-0.0905470590201145
2.97,-0.0913505046612214
2.975,-0.0921672489613559
2.98,-0.0929974627957227
2.985,-0.0938413216141561
2.99,-0.0946990055143991
2.995,-0.0955706993186768
3,-0.0964565926537182
