"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0395974873440271
2.005,-0.040522790429474
2.01,-0.0414831633940152
2.015,-0.0424802094498403
2.02,-0.0435156284127257
2.025,-0.0445912236113852
2.03,-0.0457089093774016
2.035,-0.0468707191718659
2.04,-0.0480788144109391
2.045,-0.0493354940594646
2.05,-0.0506432050695222
2.055,-0.0520045537495175
2.06,-0.0534223181592949
2.065,-0.0548994616377438
2.07,-0.0564391475820766
2.075,-0.0580447556120221
2.08,-0.0597198992683822
2.085,-0.0614684454136072
2.09,-0.0632945355229351
2.095,-0.0652026090782148
2.1,-0.067197429303667
2.105,-0.0692841115136747
2.11,-0.0714681543780144
2.115,-0.0737554744505972
2.12,-0.0761524443543131
2.125,-0.0786659350681505
2.13,-0.0813033628248089
2.135,-0.0840727411982454
2.14,-0.0869827390435925
2.145,-0.0900427450477411
2.15,-0.0932629397606515
2.155,-0.0966543761074612
2.16,-0.10022906953354
2.165,-0.104000099112401
2.17,-0.107981721155161
2.175,-0.112189497105754
2.18,-0.116640437795555
2.185,-0.121353166473395
2.19,-0.126348103432623
2.195,-0.131647675539139
2.2,-0.137276554539184
2.205,-0.143261928712985
2.21,-0.149633813264158
2.215,-0.15642540582627
2.22,-0.163673494663557
2.225,-0.171418928590785
2.23,-0.179707159395749
2.235,-0.188588869691628
2.24,-0.198120701748842
2.245,-0.208366106076259
2.25,-0.219396332491011
2.255,-0.231291591328434
2.26,-0.244142418547831
2.265,-0.258051286107132
2.27,-0.273134508526683
2.275,-0.289524508582258
2.28,-0.307372520270734
2.285,-0.326851826514223
2.29,-0.348161653746501
2.295,-0.371531877205198
2.3,-0.397228731632199
2.305,-0.4255617751193
2.31,-0.45689242301934
2.315,-0.491644459602649
2.32,-0.530317054890084
2.325,-0.573500973031746
2.33,-0.621898870810649
2.335,-0.676350869918861
2.34,-0.737866971959701
2.345,-0.807668409187516
2.35,-0.887240741308671
2.355,-0.97840249689573
2.36,-1.08339452863853
2.365,-1.20499716649606
2.37,-1.34668494942782
2.375,-1.51283255038514
2.38,-1.70899102741326
2.385,-1.94226161003016
2.39,-2.22180633735039
2.395,-2.55955365370965
2.4,-2.97118766803146
2.405,-3.4775628224628
2.41,-4.1067844604447
2.415,-4.8973929916233
2.42,-5.90350543774241
2.425,-7.20366214175114
2.43,-8.91687214505384
2.435,-11.2303472883017
2.44,-14.4098011821217
2.445,-18.2306002131623
2.45,-18.5532290086494
2.455,-14.8392572146499
2.46,-11.6040865747006
2.465,-9.25323248491425
2.47,-7.51931088849851
2.475,-6.2065603953948
2.48,-5.19122705185361
2.485,-4.39252052418429
2.49,-3.75537008316833
2.495,-3.24091479444346
2.5,-2.82101720240523
2.505,-2.47490517268528
2.51,-2.18700745575244
2.515,-1.94550186526439
2.52,-1.74131228803885
2.525,-1.56740045615348
2.53,-1.41825742566712
2.535,-1.28953351692048
2.54,-1.17776594602303
2.545,-1.08017634141042
2.55,-0.994518831897781
2.555,-0.918965098635805
2.56,-0.852016690795857
2.565,-0.79243762033021
2.57,-0.739202161002281
2.575,-0.691454133764352
2.58,-0.64847493326125
2.585,-0.609658253278284
2.59,-0.574489981010716
2.595,-0.542532105731334
2.6,-0.513409765030085
2.605,-0.486800758311839
2.61,-0.462427011883704
2.615,-0.440047596512211
2.62,-0.419452986715438
2.625,-0.400460318486928
2.63,-0.382909453896442
2.635,-0.366659700951117
2.64,-0.35158706809439
2.645,-0.337581956901444
2.65,-0.324547215493551
2.655,-0.312396490140324
2.66,-0.301052824356412
2.665,-0.290447464218342
2.67,-0.280518836156428
2.675,-0.27121166952102
2.68,-0.262476241096167
2.685,-0.254267722679036
2.69,-0.246545616050322
2.695,-0.239273262277632
2.7,-0.232417414436559
2.705,-0.225947864595662
2.71,-0.21983711736427
2.715,-0.214060103504485
2.72,-0.20859392810691
2.725,-0.203417648661418
2.73,-0.198512079048907
2.735,-0.193859616062425
2.74,-0.189444085555317
2.745,-0.185250605726554
2.75,-0.181265465402066
2.755,-0.17747601546618
2.76,-0.173870571848295
2.765,-0.170438328683615
2.77,-0.167169280449297
2.775,-0.164054152033412
2.78,-0.161084335828197
2.785,-0.158251835054111
2.79,-0.155549212620449
2.795,-0.152969544913927
2.8,-0.150506379980682
2.805,-0.148153699631447
2.81,-0.14590588505536
2.815,-0.143757685576416
2.82,-0.141704190228999
2.825,-0.139740801865737
2.83,-0.13786321354337
2.835,-0.136067386960612
2.84,-0.134349532746942
2.845,-0.132706092423014
2.85,-0.131133721872795
2.855,-0.129629276184412
2.86,-0.128189795731786
2.865,-0.126812493382417
2.87,-0.125494742728375
2.875,-0.124234067248152
2.88,-0.123028130316115
2.885,-0.121874725984775
2.89,-0.120771770472254
2.895,-0.119717294294037
2.9,-0.118709434983864
2.905,-0.117746430353949
2.91,-0.116826612249306
2.915,-0.115948400755302
2.92,-0.115110298821181
2.925,-0.114310887265842
2.93,-0.113548820135132
2.935,-0.112822820382672
2.94,-0.112131675848719
2.945,-0.111474235513844
2.95,-0.110849406006153
2.955,-0.110256148342675
2.96,-0.109693474887153
2.965,-0.109160446508004
2.97,-0.108656169921568
2.975,-0.108179795206944
2.98,-0.107730513479971
2.985,-0.10730755471475
2.99,-0.106910185702206
2.995,-0.1065377081359
3,-0.106189456816179
