"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00259106709841725
2.005,-0.00259729941234845
2.01,-0.0026034988611249
2.015,-0.00260966634202587
2.02,-0.0026158027458986
2.025,-0.00262190895724887
2.03,-0.00262798585434418
2.035,-0.00263403430928511
2.04,-0.00264005518810746
2.045,-0.00264604935085651
2.05,-0.00265201765168442
2.055,-0.00265796093891863
2.06,-0.00266388005516021
2.065,-0.00266977583734947
2.07,-0.00267564911686038
2.075,-0.00268150071956324
2.08,-0.00268733146591248
2.085,-0.00269314217102083
2.09,-0.00269893364473744
2.095,-0.00270470669170671
2.1,-0.00271046211146565
2.105,-0.00271620069848824
2.11,-0.00272192324227798
2.115,-0.00272763052742384
2.12,-0.00273332333367062
2.125,-0.00273900243599706
2.13,-0.00274466860466503
2.135,-0.00275032260529568
2.14,-0.00275596519893019
2.145,-0.0027615971420973
2.15,-0.00276721918686919
2.155,-0.00277283208092709
2.16,-0.00277843656761813
2.165,-0.00278403338602194
2.17,-0.00278962327100168
2.175,-0.00279520695326293
2.18,-0.00280078515941632
2.185,-0.00280635861203158
2.19,-0.00281192802968378
2.195,-0.00281749412702473
2.2,-0.00282305761481188
2.205,-0.00282861919999419
2.21,-0.00283417958573523
2.215,-0.00283973947147589
2.22,-0.00284529955298934
2.225,-0.00285086052241963
2.23,-0.00285642306834242
2.235,-0.00286198787580839
2.24,-0.0028675556263799
2.245,-0.00287312699820522
2.25,-0.0028787026660321
2.255,-0.00288428330127808
2.26,-0.00288986957206434
2.265,-0.00289546214326195
2.27,-0.00290106167653623
2.275,-0.00290666883038825
2.28,-0.00291228426019631
2.285,-0.00291790861826509
2.29,-0.00292354255385077
2.295,-0.00292918671322372
2.3,-0.00293484173968874
2.305,-0.00294050827363331
2.31,-0.00294618695257196
2.315,-0.00295187841116746
2.32,-0.00295758328128394
2.325,-0.00296330219201864
2.33,-0.00296903576974252
2.335,-0.0029747846381272
2.34,-0.00298054941818839
2.345,-0.0029863307283187
2.35,-0.00299212918432239
2.355,-0.00299794539944811
2.36,-0.00300377998442853
2.365,-0.00300963354749669
2.37,-0.00301550669444486
2.375,-0.0030214000286342
2.38,-0.00302731415103724
2.385,-0.00303324966025999
2.39,-0.00303920715259124
2.395,-0.00304518722201119
2.4,-0.0030511904602368
2.405,-0.00305721745674113
2.41,-0.00306326879879285
2.415,-0.00306934507147461
2.42,-0.00307544685771583
2.425,-0.0030815747383265
2.43,-0.00308772929201067
2.435,-0.00309391109540984
2.44,-0.00310012072311657
2.445,-0.0031063587477072
2.45,-0.00311262573976986
2.455,-0.00311892226792092
2.46,-0.00312524889884064
2.465,-0.0031316061972954
2.47,-0.00313799472615411
2.475,-0.00314441504642586
2.48,-0.00315086771727725
2.485,-0.00315735329604596
2.49,-0.00316387233828704
2.495,-0.00317042539777486
2.5,-0.00317701302653305
2.505,-0.00318363577485956
2.51,-0.00319029419134793
2.515,-0.00319698882290272
2.52,-0.00320372021476944
2.525,-0.00321048891055001
2.53,-0.00321729545222688
2.535,-0.00322414038017945
2.54,-0.00323102423320627
2.545,-0.00323794754855114
2.55,-0.00324491086190983
2.555,-0.00325191470746195
2.56,-0.00325895961787967
2.565,-0.00326604612436148
2.57,-0.00327317475663031
2.575,-0.00328034604296919
2.58,-0.00328756051022712
2.585,-0.00329481868385569
2.59,-0.00330212108789663
2.595,-0.00330946824502805
2.6,-0.00331686067656549
2.605,-0.00332429890248412
2.61,-0.00333178344143417
2.615,-0.0033393148107564
2.62,-0.00334689352650241
2.625,-0.00335452010344714
2.63,-0.00336219505509958
2.635,-0.00336991889373745
2.64,-0.00337769213039185
2.645,-0.00338551527489257
2.65,-0.00339338883586624
2.655,-0.00340131332075366
2.66,-0.00340928923582626
2.665,-0.00341731708620158
2.67,-0.00342539737585289
2.675,-0.00343353060762756
2.68,-0.00344171728325678
2.685,-0.00344995790337769
2.69,-0.00345825296753541
2.695,-0.00346660297419944
2.7,-0.00347500842078489
2.705,-0.00348346980365156
2.71,-0.00349198761813486
2.715,-0.0035005623585342
2.72,-0.00350919451814975
2.725,-0.00351788458927661
2.73,-0.00352663306322708
2.735,-0.00353544043033934
2.74,-0.00354430717998908
2.745,-0.0035532338005972
2.75,-0.00356222077964919
2.755,-0.00357126860369995
2.76,-0.00358037775838731
2.765,-0.00358954872843887
2.77,-0.00359878199769512
2.775,-0.00360807804910179
2.78,-0.00361743736473687
2.785,-0.00362686042580873
2.79,-0.00363634771267448
2.795,-0.00364589970484866
2.8,-0.00365551688100618
2.805,-0.00366519971900071
2.81,-0.0036749486958714
2.815,-0.00368476428784876
2.82,-0.00369464697037106
2.825,-0.0037045972180892
2.83,-0.0037146155048754
2.835,-0.00372470230383005
2.84,-0.00373485808730383
2.845,-0.00374508332688145
2.85,-0.00375537849341634
2.855,-0.00376574405702587
2.86,-0.00377618048710396
2.865,-0.00378668825231723
2.87,-0.00379726782063398
2.875,-0.00380791965932036
2.88,-0.0038186442349433
2.885,-0.00382944201339372
2.89,-0.00384031345987205
2.895,-0.00385125903892304
2.9,-0.00386227921442131
2.905,-0.00387337444958777
2.91,-0.00388454520699451
2.915,-0.00389579194857829
2.92,-0.00390711513563487
2.925,-0.00391851522884597
2.93,-0.00392999268825623
2.935,-0.00394154797331562
2.94,-0.00395318154286027
2.945,-0.003964893855124
2.95,-0.00397668536775673
2.955,-0.00398855653781392
2.96,-0.0040005078217778
2.965,-0.00401253967555259
2.97,-0.00402465255447903
2.975,-0.00403684691333633
2.98,-0.00404912320634606
2.985,-0.0040614818871809
2.99,-0.00407392340897142
2.995,-0.00408644822431479
3,-0.00409905678526517
