"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0239288577114556
2.005,-0.0241942133492324
2.01,-0.024460205911589
2.015,-0.0247269139886772
2.02,-0.0249944157286351
2.025,-0.02526278885091
2.03,-0.0255321106596431
2.035,-0.025802458057161
2.04,-0.0260739075575599
2.045,-0.0263465353003813
2.05,-0.0266204170644138
2.055,-0.0268956282816067
2.06,-0.0271722440511231
2.065,-0.0274503391535175
2.07,-0.02772998806507
2.075,-0.0280112649722905
2.08,-0.0282942437865466
2.085,-0.0285789981589268
2.09,-0.028865601495234
2.095,-0.0291541269712077
2.1,-0.0294446475479453
2.105,-0.0297372359875239
2.11,-0.030031964868869
2.115,-0.0303289066038496
2.12,-0.0306281334536182
2.125,-0.0309297175452217
2.13,-0.0312337308884683
2.135,-0.031540245393083
2.14,-0.0318493328861644
2.145,-0.0321610651299388
2.15,-0.0324755138398336
2.155,-0.0327927507028812
2.16,-0.0331128473964855
2.165,-0.0334358756075156
2.17,-0.0337619070518042
2.175,-0.0340910134940109
2.18,-0.0344232667678901
2.185,-0.0347587387969834
2.19,-0.0350975016157366
2.195,-0.0354396273910604
2.2,-0.0357851884443616
2.205,-0.0361342572740559
2.21,-0.0364869065785619
2.215,-0.036843209279824
2.22,-0.0372032385473586
2.225,-0.037567067822864
2.23,-0.037934770845381
2.235,-0.0383064216770448
2.24,-0.0386820947294682
2.245,-0.03906186479072
2.25,-0.0394458070529824
2.255,-0.0398339971408654
2.26,-0.0402265111404182
2.265,-0.040623425628858
2.27,-0.041024817705045
2.275,-0.0414307650207159
2.28,-0.0418413458125088
2.285,-0.0422566389348226
2.29,-0.0426767238934782
2.295,-0.0431016808803049
2.3,-0.0435315908085802
2.305,-0.0439665353494203
2.31,-0.0444065969691257
2.315,-0.0448518589675145
2.32,-0.0453024055172743
2.325,-0.0457583217043731
2.33,-0.04621969356956
2.335,-0.0466866081509725
2.34,-0.0471591535279374
2.345,-0.0476374188659183
2.35,-0.0481214944627525
2.355,-0.0486114717961149
2.36,-0.049107443572329
2.365,-0.0496095037765212
2.37,-0.050117747724177
2.375,-0.0506322721141521
2.38,-0.0511531750831571
2.385,-0.0516805562618018
2.39,-0.0522145168322214
2.395,-0.0527551595873338
2.4,-0.0533025889918157
2.405,-0.0538569112447987
2.41,-0.0544182343443801
2.415,-0.0549866681540061
2.42,-0.0555623244707582
2.425,-0.0561453170956431
2.43,-0.0567357619059137
2.435,-0.0573337769295163
2.44,-0.0579394824217171
2.445,-0.0585530009439878
2.45,-0.0591744574452014
2.455,-0.0598039793452504
2.46,-0.0604416966211401
2.465,-0.0610877418956365
2.47,-0.061742250528565
2.475,-0.0624053607108418
2.48,-0.06307721356133
2.485,-0.0637579532265924
2.49,-0.0644477269836878
2.495,-0.0651466853460267
2.5,-0.0658549821724953
2.505,-0.0665727747798486
2.51,-0.0673002240585578
2.515,-0.0680374945921886
2.52,-0.0687847547804436
2.525,-0.069542176965973
2.53,-0.0703099375651177
2.535,-0.0710882172026416
2.54,-0.0718772008506953
2.545,-0.0726770779720453
2.55,-0.0734880426677804
2.555,-0.0743102938296245
2.56,-0.0751440352969993
2.565,-0.0759894760190285
2.57,-0.0768468302216167
2.575,-0.0777163175798055
2.58,-0.0785981633955622
2.585,-0.0794925987811923
2.59,-0.0803998608485988
2.595,-0.0813201929045182
2.6,-0.0822538446520305
2.605,-0.0832010723984781
2.61,-0.0841621392700544
2.615,-0.0851373154333063
2.62,-0.0861268783237457
2.625,-0.0871311128818417
2.63,-0.088150311796673
2.635,-0.0891847757574732
2.64,-0.0902348137133408
2.645,-0.0913007431414453
2.65,-0.0923828903239759
2.655,-0.093481590634179
2.66,-0.0945971888317839
2.665,-0.0957300393681542
2.67,-0.0968805067015153
2.675,-0.0980489656226077
2.68,-0.0992358015911526
2.685,-0.100441411083479
2.69,-0.101666201951787
2.695,-0.102910593795354
2.7,-0.104175018344232
2.705,-0.105459919855806
2.71,-0.106765755524685
2.715,-0.108092995906474
2.72,-0.109442125355829
2.725,-0.110813642479411
2.73,-0.112208060604221
2.735,-0.113625908261913
2.74,-0.11506772968962
2.745,-0.116534085347996
2.75,-0.118025552456985
2.755,-0.119542725550089
2.76,-0.121086217047715
2.765,-0.122656657850394
2.77,-0.124254697952559
2.775,-0.125881007077665
2.78,-0.127536275335441
2.785,-0.129221213902119
2.79,-0.130936555724475
2.795,-0.132683056248596
2.8,-0.134461494174299
2.805,-0.136272672236165
2.81,-0.13811741801222
2.815,-0.13999658476125
2.82,-0.141911052289905
2.825,-0.143861727850702
2.83,-0.145849547072084
2.835,-0.147875474921781
2.84,-0.149940506704749
2.845,-0.152045669097001
2.85,-0.154192021216719
2.855,-0.156380655734098
2.86,-0.158612700021335
2.865,-0.160889317344476
2.87,-0.163211708098543
2.875,-0.165581111087793
2.88,-0.167998804852744
2.885,-0.170466109045868
2.89,-0.172984385857763
2.895,-0.175555041495884
2.9,-0.178179527717776
2.905,-0.180859343421043
2.91,-0.183596036292168
2.915,-0.186391204516639
2.92,-0.189246498552631
2.925,-0.192163622970872
2.93,-0.195144338363237
2.935,-0.198190463322817
2.94,-0.201303876498229
2.945,-0.204486518725199
2.95,-0.207740395238369
2.955,-0.211067577966587
2.96,-0.214470207914947
2.965,-0.217950497637026
2.97,-0.221510733800927
2.975,-0.225153279852795
2.98,-0.228880578781748
2.985,-0.232695155990189
2.99,-0.236599622273734
2.995,-0.240596676915071
3,-0.244689110896342
