"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0141333883054405
2.005,-0.0141844353122681
2.01,-0.0142356990848651
2.015,-0.0142871929119677
2.02,-0.0143389299547191
2.025,-0.014390923247423
2.03,-0.0144431856983052
2.035,-0.0144957300902861
2.04,-0.0145485690817244
2.045,-0.0146017152072009
2.05,-0.0146551808782785
2.055,-0.0147089783842735
2.06,-0.0147631198930392
2.065,-0.0148176174517393
2.07,-0.0148724829876433
2.075,-0.0149277283088993
2.08,-0.0149833651053508
2.085,-0.0150394049493341
2.09,-0.0150958592964773
2.095,-0.0151527394865394
2.1,-0.0152100567442234
2.105,-0.0152678221800106
2.11,-0.0153260467910132
2.115,-0.0153847414618188
2.12,-0.0154439169653771
2.125,-0.0155035839638477
2.13,-0.0155637530095091
2.135,-0.0156244345456509
2.14,-0.0156856389074974
2.145,-0.0157473763231224
2.15,-0.015809656914403
2.155,-0.0158724906979717
2.16,-0.0159358875861921
2.165,-0.0159998573881522
2.17,-0.0160644098106635
2.175,-0.0161295544593012
2.18,-0.0161953008394368
2.185,-0.0162616583573085
2.19,-0.016328636321103
2.195,-0.0163962439420715
2.2,-0.0164644903356447
2.205,-0.0165333845225931
2.21,-0.0166029354302055
2.215,-0.0166731518934751
2.22,-0.0167440426563506
2.225,-0.0168156163729603
2.23,-0.0168878816089133
2.235,-0.0169608468425977
2.24,-0.0170345204665196
2.245,-0.0171089107886819
2.25,-0.0171840260339683
2.255,-0.0172598743455874
2.26,-0.0173364637865367
2.265,-0.0174138023410989
2.27,-0.0174918979163877
2.275,-0.0175707583439151
2.28,-0.0176503913811975
2.285,-0.0177308047134216
2.29,-0.0178120059551291
2.295,-0.0178940026519413
2.3,-0.0179768022823573
2.305,-0.0180604122595503
2.31,-0.0181448399332515
2.315,-0.0182300925916573
2.32,-0.018316177463396
2.325,-0.0184031017195321
2.33,-0.0184908724756375
2.335,-0.0185794967939071
2.34,-0.0186689816853266
2.345,-0.018759334111903
2.35,-0.0188505609889423
2.355,-0.0189426691874067
2.36,-0.0190356655363032
2.365,-0.0191295568251655
2.37,-0.0192243498065734
2.375,-0.0193200511987567
2.38,-0.019416667688268
2.385,-0.0195142059327044
2.39,-0.0196126725635295
2.395,-0.0197120741889418
2.4,-0.0198124173968468
2.405,-0.0199137087578782
2.41,-0.0200159548285293
2.415,-0.0201191621543335
2.42,-0.0202233372731683
2.425,-0.0203284867186072
2.43,-0.0204346170233855
2.435,-0.0205417347229507
2.44,-0.0206498463591119
2.445,-0.0207589584837715
2.45,-0.0208690776627782
2.455,-0.0209802104798527
2.46,-0.0210923635406543
2.465,-0.0212055434769296
2.47,-0.0213197569507605
2.475,-0.0214350106589723
2.48,-0.0215513113376027
2.485,-0.0216686657665329
2.49,-0.0217870807742105
2.495,-0.0219065632425233
2.5,-0.0220271201117874
2.505,-0.0221487583858634
2.51,-0.0222714851374313
2.515,-0.0223953075133679
2.52,-0.0225202327403237
2.525,-0.0226462681303757
2.53,-0.0227734210868898
2.535,-0.0229016991105177
