"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0378126458953024
2.005,-0.0382663947637552
2.01,-0.0387242049320136
2.015,-0.0391861023247643
2.02,-0.0396521138642186
2.025,-0.0401222674815469
2.03,-0.0405965921286238
2.035,-0.0410751177900488
2.04,-0.0415578754954617
2.045,-0.0420448973321586
2.05,-0.0425362164580122
2.055,-0.0430318671146868
2.06,-0.043531884641181
2.065,-0.0440363054876614
2.07,-0.0445451672296474
2.075,-0.0450585085824931
2.08,-0.0455763694162021
2.085,-0.0460987907705946
2.09,-0.0466258148707959
2.095,-0.0471574851430703
2.1,-0.0476938462310107
2.105,-0.0482349440120917
2.11,-0.0487808256145605
2.115,-0.0493315394347116
2.12,-0.0498871351545342
2.125,-0.0504476637597391
2.13,-0.0510131775581505
2.135,-0.0515837301985257
2.14,-0.0521593766897362
2.145,-0.0527401734203831
2.15,-0.0533261781788061
2.155,-0.0539174501735173
2.16,-0.0545140500540645
2.165,-0.0551160399323176
2.17,-0.055723483404219
2.175,-0.0563364455719537
2.18,-0.0569549930665944
2.185,-0.0575791940712143
2.19,-0.0582091183444629
2.195,-0.0588448372446288
2.2,-0.0594864237541994
2.205,-0.0601339525049108
2.21,-0.0607874998033188
2.215,-0.0614471436568678
2.22,-0.0621129638005194
2.225,-0.0627850417238929
2.23,-0.063463460698963
2.235,-0.0641483058083275
2.24,-0.0648396639740221
2.245,-0.0655376239869393
2.25,-0.0662422765368172
2.255,-0.0669537142428568
2.26,-0.0676720316849222
2.265,-0.0683973254353984
2.27,-0.0691296940916681
2.275,-0.0698692383092516
2.28,-0.070616060835597
2.285,-0.0713702665445659
2.29,-0.0721319624715955
2.295,-0.0729012578495666
2.3,-0.0736782641454126
2.305,-0.0744630950974144
2.31,-0.0752558667532953
2.315,-0.0760566975090542
2.32,-0.0768657081485612
2.325,-0.0776830218839901
2.33,-0.0785087643970131
2.335,-0.0793430638808616
2.34,-0.0801860510832164
2.345,-0.0810378593499475
2.35,-0.0818986246697519
2.355,-0.0827684857196932
2.36,-0.0836475839116157
2.365,-0.0845360634395664
2.37,-0.0854340713280929
2.375,-0.0863417574815835
2.38,-0.0872592747345505
2.385,-0.0881867789029745
2.39,-0.0891244288366512
2.395,-0.090072386472618
2.4,-0.0910308168896691
2.405,-0.0919998883639519
2.41,-0.0929797724257209
2.415,-0.093970643917233
2.42,-0.0949726810518151
2.425,-0.0959860654741514
2.43,-0.0970109823217943
2.435,-0.0980476202879301
2.44,-0.0990961716854366
2.445,-0.100156832512238
2.45,-0.101229802518029
2.455,-0.102315285272348
2.46,-0.10341348823405
2.465,-0.104524622822229
2.47,-0.105648904488592
2.475,-0.106786552791338
2.48,-0.10793779147054
2.485,-0.109102848525141
2.49,-0.110281956291488
2.495,-0.111475351523563
2.5,-0.112683275474821
2.505,-0.113905973981791
2.51,-0.115143697549383
2.515,-0.116396701438013
2.52,-0.117665245752531
2.525,-0.118949595533025
2.53,-0.12025002084754
2.535,-0.121566796886729
2.54,-0.122900204060544
2.545,-0.124250528096914
2.55,-0.125618060142561
2.555,-0.127003096865926
2.56,-0.12840594056229
2.565,-0.129826899261114
2.57,-0.131266286835709
2.575,-0.132724423115196
2.58,-0.134201633998873
2.585,-0.135698251573065
2.59,-0.13721461423042
2.595,-0.138751066791814
2.6,-0.140307960630842
2.605,-0.141885653801022
2.61,-0.143484511165716
2.615,-0.145104904530858
2.62,-0.146747212780565
2.625,-0.14841182201568
2.63,-0.150099125695291
2.635,-0.151809524781373
2.64,-0.153543427886514
2.645,-0.155301251424892
2.65,-0.15708341976653
2.655,-0.158890365394903
2.66,-0.160722529067984
2.665,-0.162580359982817
2.67,-0.16446431594367
2.675,-0.166374863533867
2.68,-0.16831247829138
2.685,-0.170277644888261
2.69,-0.172270857313993
2.695,-0.174292619062859
2.7,-0.17634344332542
2.705,-0.178423853184149
2.71,-0.180534381813388
2.715,-0.182675572683654
2.72,-0.184847979770396
2.725,-0.187052167767336
2.73,-0.189288712304444
2.735,-0.191558200170664
2.74,-0.193861229541489
2.745,-0.196198410211464
2.75,-0.198570363831745
2.755,-0.20097772415275
2.76,-0.203421137272104
2.765,-0.205901261887839
2.77,-0.208418769557073
2.775,-0.210974344960161
2.78,-0.21356868617048
2.785,-0.21620250492991
2.79,-0.218876526930087
2.795,-0.221591492099563
2.8,-0.22434815489687
2.805,-0.227147284609679
2.81,-0.229989665660022
2.815,-0.232876097915718
2.82,-0.235807397008039
2.825,-0.238784394655634
2.83,-0.241807938994869
2.835,-0.244878894916459
2.84,-0.247998144408578
2.845,-0.251166586906357
2.85,-0.254385139647803
2.855,-0.257654738036136
2.86,-0.260976336008497
2.865,-0.264350906411002
2.87,-0.267779441380005
2.875,-0.271262952729581
2.88,-0.274802472344997
2.885,-0.278399052582082
2.89,-0.28205376667231
2.895,-0.28576770913334
2.9,-0.289541996184781
2.905,-0.293377766168865
2.91,-0.297276179975661
2.915,-0.301238421472436
2.92,-0.305265697936669
2.925,-0.309359240492187
2.93,-0.313520304547815
2.935,-0.317750170237814
2.94,-0.322050142863351
2.945,-0.326421553334076
2.95,-0.330865758608844
2.955,-0.335384142134431
2.96,-0.339978114280976
2.965,-0.344649112772796
2.97,-0.349398603112936
2.975,-0.354228078999781
2.98,-0.359139062733705
2.985,-0.364133105611682
2.99,-0.369211788307365
2.995,-0.374376721234058
3,-0.379629544887569
