"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0143374599559782
2.005,-0.014392962761738
2.01,-0.0144491144360085
2.015,-0.0145059209402749
2.02,-0.0145633883431381
2.025,-0.0146215228224934
2.03,-0.014680330667739
2.035,-0.0147398182820613
2.04,-0.0147999921847888
2.045,-0.0148608590138349
2.05,-0.0149224255281912
2.055,-0.0149846986105191
2.06,-0.0150476852698241
2.065,-0.0151113926441888
2.07,-0.0151758280036293
2.075,-0.0152409987530144
2.08,-0.0153069124350855
2.085,-0.0153735767335941
2.09,-0.0154409994765026
2.095,-0.0155091886393196
2.1,-0.0155781523485323
2.105,-0.0156478988851544
2.11,-0.0157184366883854
2.115,-0.0157897743593968
2.12,-0.0158619206652438
2.125,-0.0159348845428945
2.13,-0.0160086751034224
2.135,-0.0160833016363075
2.14,-0.016158773613912
2.145,-0.016235100696076
2.15,-0.0163122927349039
2.155,-0.0163903597796945
2.16,-0.0164693120820486
2.165,-0.01654916010115
2.17,-0.0166299145092323
2.175,-0.0167115861972324
2.18,-0.0167941862806719
2.185,-0.0168777261056848
2.19,-0.0169622172553313
2.195,-0.0170476715560936
2.2,-0.0171341010846056
2.205,-0.0172215181746587
2.21,-0.0173099354244181
2.215,-0.0173993657039484
2.22,-0.0174898221629697
2.225,-0.0175813182389438
2.23,-0.0176738676654279
2.235,-0.0177674844807616
2.24,-0.0178621830370687
2.245,-0.0179579780096011
2.25,-0.0180548844064466
2.255,-0.0181529175785961
2.26,-0.0182520932304071
2.265,-0.0183524274304603
2.27,-0.0184539366228518
2.275,-0.0185566376389264
2.28,-0.0186605477094504
2.285,-0.0187656844772991
2.29,-0.0188720660106215
2.295,-0.0189797108165538
2.3,-0.0190886378554626
2.305,-0.0191988665557898
2.31,-0.0193104168294809
2.315,-0.0194233090880618
2.32,-0.01953756425936
2.325,-0.0196532038049487
2.33,-0.0197702497382922
2.335,-0.0198887246436573
2.34,-0.0200086516958438
2.345,-0.0201300546807288
2.35,-0.0202529580167105
2.355,-0.0203773867770575
2.36,-0.0205033667132431
2.365,-0.0206309242792794
2.37,-0.0207600866571371
2.375,-0.0208908817832835
2.38,-0.0210233383763748
2.385,-0.0211574859662353
2.39,-0.0212933549240897
2.395,-0.0214309764942009
2.4,-0.0215703828269436
2.405,-0.0217116070133736
2.41,-0.0218546831214285
2.415,-0.0219996462337872
2.42,-0.022146532487514
2.425,-0.022295379115566
2.43,-0.02244622449027
2.435,-0.022599108168888
2.44,-0.022754070941355
2.445,-0.0229111548803504
2.45,-0.0230704033937949
2.455,-0.0232318612799289
2.46,-0.0233955747851361
2.465,-0.0235615916646035
2.47,-0.0237299612460742
2.475,-0.0239007344967787
2.48,-0.0240739640938041
2.485,-0.0242497044980453
2.49,-0.0244280120319906
2.495,-0.0246089449615437
2.5,-0.0247925635821305
2.505,-0.0249789303093605
2.51,-0.0251681097744947
2.515,-0.0253601689250384
2.52,-0.0255551771307611
2.525,-0.0257532062954701
