"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0247935187921135
2.005,-0.0252190819096496
2.01,-0.0256607055493084
2.015,-0.0261190939330168
2.02,-0.0265949943921989
2.025,-0.0270892004768812
2.03,-0.0276025553290466
2.035,-0.0281359553461115
2.04,-0.0286903541632068
2.045,-0.0292667669862223
2.05,-0.0298662753112012
2.055,-0.0304900320697525
2.06,-0.0311392672447788
2.065,-0.0318152940060711
2.07,-0.0325195154212395
2.075,-0.0332534318041444
2.08,-0.0340186487707121
2.085,-0.0348168860805793
2.09,-0.0356499873531157
2.095,-0.0365199307574628
2.1,-0.0374288407893639
2.105,-0.0383790012622993
2.11,-0.0393728696574377
2.115,-0.040413092996607
2.12,-0.0415025254249392
2.125,-0.0426442477159259
2.13,-0.0438415889418662
2.135,-0.0450981505874197
2.14,-0.0464178334248754
2.145,-0.0478048675167493
2.15,-0.0492638457667353
2.155,-0.050799761504539
2.16,-0.0524180506658091
2.165,-0.0541246392175771
2.17,-0.0559259965844502
2.175,-0.0578291959549978
2.18,-0.0598419824947751
2.185,-0.0619728506673005
2.19,-0.0642311320726386
2.195,-0.0666270954625053
2.2,-0.0691720608896611
2.205,-0.0718785303091579
2.21,-0.0747603373833538
2.215,-0.0778328197689439
2.22,-0.0811130178044689
2.225,-0.0846199042981092
2.23,-0.0883746510732007
2.235,-0.0924009391073183
2.24,-0.0967253205566569
2.245,-0.101377642764629
2.25,-0.10639154660635
2.255,-0.111805054342936
2.26,-0.117661265712236
2.265,-0.12400918547815
2.27,-0.130904711379841
2.275,-0.138411818738985
2.28,-0.14660398739885
2.285,-0.155565928860194
2.29,-0.165395687365213
2.295,-0.176207209521225
2.3,-0.188133504588545
2.305,-0.201330554199536
2.31,-0.215982179420987
2.315,-0.232306139521322
2.32,-0.250561827419529
2.325,-0.271060051470749
2.33,-0.294175566407269
2.335,-0.320363259143176
2.34,-0.35017923938873
2.345,-0.384308578235937
2.35,-0.423602152659101
2.355,-0.469126102241989
2.36,-0.522228961487458
2.365,-0.584633874135268
2.37,-0.658566870420262
2.375,-0.746937719745271
2.38,-0.853598559638736
2.385,-0.983719363015356
2.39,-1.14434178786474
2.395,-1.34521008446567
2.4,-1.60004036938343
2.405,-1.92849815794876
2.41,-2.35934997766131
2.415,-2.93563195780201
2.42,-3.72348404152471
2.425,-4.82830852999639
2.43,-6.42800131158786
2.435,-8.85589785251985
2.44,-12.8770957444366
2.445,-20.8894033094167
2.45,-19.8772274828629
2.455,-12.4675885139196
2.46,-8.69073764875542
2.465,-6.38810413023498
2.47,-4.8611983159525
2.475,-3.79981930916232
2.48,-3.03749098852189
2.485,-2.47549536148467
2.49,-2.05185565779255
2.495,-1.72617743646111
2.5,-1.47137882791641
2.505,-1.26887039828819
2.51,-1.10562391644167
2.515,-0.972334773623993
2.52,-0.862241654588908
2.525,-0.770352277699885
2.53,-0.692925769518501
2.535,-0.627120489969286
2.54,-0.570750474781633
2.545,-0.522114397356221
2.55,-0.479873721132122
2.555,-0.442964719005894
2.56,-0.410534139498606
2.565,-0.38189160364204
2.57,-0.356473987966433
2.575,-0.333818496114283
2.58,-0.313542099025627
2.585,-0.295325692239568
2.59,-0.278901781760523
2.595,-0.26404483412347
2.6,-0.250563655816266
2.605,-0.238295331410113
2.61,-0.22710036836763
2.615,-0.216858782996181
2.62,-0.207466925652931
2.625,-0.198834890525967
2.63,-0.190884390633178
2.635,-0.18354700529961
2.64,-0.176762727584517
2.645,-0.170478754581032
2.65,-0.164648475403825
2.655,-0.159230620891427
2.66,-0.154188546227809
2.665,-0.149489623314067
2.67,-0.145104724155272
2.675,-0.141007780041209
2.68,-0.137175404098143
2.685,-0.133586567028204
2.69,-0.130222317654004
2.695,-0.127065541340572
2.7,-0.124100750546871
2.705,-0.121313902720329
2.71,-0.118692241534191
2.715,-0.116224158113042
2.72,-0.113899069423891
2.725,-0.111707311450286
2.73,-0.109640045132171
2.735,-0.107689173358378
2.74,-0.105847267552688
2.745,-0.104107502607473
2.75,-0.102463599097807
2.755,-0.100909771859986
2.76,-0.0994406841458877
2.765,-0.0980514066728274
2.77,-0.096737380980489
2.775,-0.0954943865848773
2.78,-0.0943185114861274
2.785,-0.0932061256444315
2.79,-0.0921538570874197
2.795,-0.0911585703547968
2.8,-0.0902173470224215
2.805,-0.0893274680796727
2.81,-0.088486397961143
2.815,-0.0876917700575193
2.82,-0.0869413735509843
2.825,-0.0862331414385744
2.83,-0.0855651396223953
2.835,-0.0849355569595209
2.84,-0.0843426961761766
2.845,-0.0837849655614656
2.85,-0.0832608713651057
2.855,-0.0827690108317744
2.86,-0.082308065811853
2.865,-0.081876796894661
2.87,-0.0814740380159505
2.875,-0.0810986914963047
2.88,-0.0807497234715802
2.885,-0.080426159680328
2.89,-0.0801270815767612
2.895,-0.0798516227407785
2.9,-0.0795989655594348
2.905,-0.0793683381566588
2.91,-0.0791590115502202
2.915,-0.0789702970169992
2.92,-0.0788015436492498
2.925,-0.0786521360863
2.93,-0.0785214924074049
2.935,-0.0784090621728713
2.94,-0.0783143246016622
2.945,-0.078236786874772
2.95,-0.0781759825545464
2.955,-0.0781314701110581
2.96,-0.0781028315473528
2.965,-0.0780896711160823
2.97,-0.0780916141207059
2.975,-0.07810830579497
2.98,-0.0781394102549383
2.985,-0.0781846095182809
2.99,-0.0782436025859975
2.995,-0.0783161045820729
3,-0.0784018459470214
