"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0250280690591419
2.005,-0.0252989127377786
2.01,-0.0255735598597378
2.015,-0.025852057821907
2.02,-0.0261344552416118
2.025,-0.0264208019845367
2.03,-0.0267111491934868
2.035,-0.0270055493180079
2.04,-0.027304056144902
2.045,-0.0276067248296926
2.05,-0.0279136119289997
2.055,-0.0282247754339489
2.06,-0.028540274804549
2.065,-0.0288601710051606
2.07,-0.0291845265410239
2.075,-0.029513405495913
2.08,-0.0298468735709647
2.085,-0.0301849981246755
2.09,-0.0305278482141476
2.095,-0.0308754946376275
2.1,-0.0312280099783458
2.105,-0.0315854686497286
2.11,-0.0319479469420279
2.115,-0.0323155230704089
2.12,-0.0326882772245453
2.125,-0.0330662916197973
2.13,-0.0334496505499756
2.135,-0.0338384404418172
2.14,-0.0342327499111646
2.145,-0.0346326698209621
2.15,-0.035038293341098
2.155,-0.0354497160101775
2.16,-0.035867035799291
2.165,-0.0362903531778344
2.17,-0.0367197711814901
2.175,-0.0371553954824202
2.18,-0.0375973344617337
2.185,-0.0380456992843736
2.19,-0.0385006039764485
2.195,-0.0389621655051349
2.2,-0.0394305038612249
2.205,-0.0399057421444453
2.21,-0.0403880066516277
2.215,-0.0408774269678332
2.22,-0.0413741360605715
2.225,-0.0418782703771956
2.23,-0.0423899699456373
2.235,-0.0429093784785602
2.24,-0.0434366434810915
2.245,-0.0439719163622908
2.25,-0.0445153525504417
2.255,-0.0450671116123698
2.26,-0.0456273573769312
2.265,-0.0461962580628075
2.27,-0.0467739864108227
2.275,-0.0473607198209185
2.28,-0.0479566404940119
2.285,-0.0485619355788892
2.29,-0.0491767973243938
2.295,-0.0498014232370627
2.3,-0.0504360162444753
2.305,-0.051080784864525
2.31,-0.0517359433808744
2.315,-0.0524017120248427
2.32,-0.0530783171639644
2.325,-0.053765991497558
2.33,-0.054464974259525
2.335,-0.0551755114287501
2.34,-0.055897855947373
2.345,-0.0566322679472925
2.35,-0.0573790149852409
2.355,-0.0581383722868206
2.36,-0.0589106229998452
2.365,-0.0596960584574241
2.37,-0.0604949784512161
2.375,-0.0613076915152476
2.38,-0.0621345152208331
2.385,-0.0629757764830341
2.39,-0.0638318118791644
2.395,-0.0647029679799404
2.4,-0.0655896016937447
2.405,-0.0664920806247097
2.41,-0.0674107834451342
2.415,-0.068346100282962
2.42,-0.0692984331249775
2.425,-0.0702681962364672
2.43,-0.0712558165980372
2.435,-0.0722617343605051
2.44,-0.0732864033185798
2.445,-0.074330291404293
2.45,-0.0753938812010985
2.455,-0.0764776704795864
2.46,-0.0775821727558785
2.465,-0.0787079178737892
2.47,-0.0798554526118612
2.475,-0.0810253413165135
2.48,-0.0822181665625687
2.485,-0.0834345298424835
2.49,-0.0846750522856917
2.495,-0.085940375409593
2.5,-0.0872311619036768
2.505,-0.0885480964485371
2.51,-0.0898918865714281
2.515,-0.091263263540307
2.52,-0.0926629832982362
2.525,-0.0940918274402491
2.53,-0.0955506042348557
2.535,-0.0970401496924697
2.54,-0.098561328683237
2.545,-0.100115036106782
2.55,-0.101702198116667
2.555,-0.103323773402378
2.56,-0.104980754531959
2.565,-0.106674169358486
2.57,-0.108405082493805
2.575,-0.110174596853222
2.58,-0.111983855274899
2.585,-0.113834042218109
2.59,-0.115726385544658
2.595,-0.117662158388053
2.6,-0.119642681115281
2.605,-0.121669323386374
2.61,-0.12374350631727
2.615,-0.125866704751752
2.62,-0.128040449648707
2.625,-0.130266330591237
2.63,-0.13254599842466
2.635,-0.134881168030822
2.64,-0.137273621246602
2.645,-0.1397252099351
2.65,-0.142237859218404
2.655,-0.144813570881493
2.66,-0.147454426957453
2.665,-0.150162593504816
2.67,-0.152940324588546
2.675,-0.155789966476994
2.68,-0.158713962067886
2.685,-0.161714855557378
2.69,-0.164795297367034
2.695,-0.167958049344707
2.7,-0.171205990256249
2.705,-0.174542121586243
2.71,-0.177969573667108
2.715,-0.181491612157268
2.72,-0.18511164489055
2.725,-0.188833229120389
2.73,-0.192660079184167
2.735,-0.196596074614718
2.74,-0.200645268727864
2.745,-0.204811897716994
2.75,-0.209100390287708
2.755,-0.213515377868013
2.76,-0.218061705431966
2.765,-0.22274444297737
2.77,-0.227568897701011
2.775,-0.232540626917976
2.78,-0.237665451774927
2.785,-0.242949471810741
2.79,-0.248399080421712
2.795,-0.254020981292587
2.8,-0.259822205859081
2.805,-0.265810131872157
2.81,-0.271992503139343
2.815,-0.278377450523684
2.82,-0.284973514286663
2.825,-0.291789667867376
2.83,-0.29883534319682
2.835,-0.306120457652978
2.84,-0.31365544276961
2.845,-0.321451274819473
2.85,-0.329519507400839
2.855,-0.337872306164642
2.86,-0.34652248582888
2.865,-0.355483549636093
2.87,-0.364769731419729
2.875,-0.374396040455449
2.88,-0.384378309283833
2.885,-0.394733244701762
2.89,-0.405478482130657
2.895,-0.416632643580514
2.9,-0.428215399439446
2.905,-0.440247534328679
2.91,-0.452751017272515
2.915,-0.465749076441332
2.92,-0.479266278732737
2.925,-0.493328614460994
2.93,-0.507963587427179
2.935,-0.52320031064124
2.94,-0.539069607961342
2.945,-0.55560412190431
2.95,-0.572838427861936
2.955,-0.590809154929965
2.96,-0.609555113516899
2.965,-0.629117429846253
2.97,-0.649539687394959
2.975,-0.670868075218254
2.98,-0.693151542993384
2.985,-0.716441962464403
2.99,-0.740794294782432
2.995,-0.766266763000929
3,-0.792921028695182
