"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.02133737950334
2.005,-0.0215510311511761
2.01,-0.0217673760902285
2.015,-0.0219864541748803
2.02,-0.0222083061149878
2.025,-0.0224329734970733
2.03,-0.0226604988061731
2.035,-0.0228909254483248
2.04,-0.0231242977737642
2.045,-0.0233606611008257
2.05,-0.0236000617405601
2.055,-0.0238425470221344
2.06,-0.0240881653190004
2.065,-0.024336966075886
2.07,-0.0245889998366167
2.075,-0.0248443182728257
2.08,-0.0251029742135398
2.085,-0.025365021675723
2.09,-0.0256305158957783
2.095,-0.0258995133620463
2.1,-0.0261720718483488
2.105,-0.0264482504486073
2.11,-0.0267281096125654
2.115,-0.0270117111826832
2.12,-0.0272991184322181
2.125,-0.027590396104549
2.13,-0.0278856104537928
2.135,-0.0281848292867543
2.14,-0.0284881220062494
2.145,-0.0287955596558966
2.15,-0.0291072149663686
2.155,-0.0294231624032038
2.16,-0.0297434782162344
2.165,-0.0300682404906784
2.17,-0.0303975291999447
2.175,-0.0307314262602831
2.18,-0.0310700155872498
2.185,-0.0314133831541651
2.19,-0.0317616170525525
2.195,-0.0321148075547071
2.2,-0.0324730471784189
2.205,-0.0328364307539797
2.21,-0.0332050554935513
2.215,-0.0335790210629752
2.22,-0.0339584296561432
2.225,-0.0343433860720244
2.23,-0.0347339977944515
2.235,-0.0351303750747905
2.24,-0.0355326310176015
2.245,-0.0359408816694198
2.25,-0.0363552461107917
2.255,-0.0367758465516869
2.26,-0.0372028084304389
2.265,-0.0376362605163723
2.27,-0.0380763350162525
2.275,-0.0385231676847254
2.28,-0.0389768979389395
2.285,-0.0394376689774885
2.29,-0.0399056279039264
2.295,-0.0403809258549645
2.3,-0.0408637181336468
2.305,-0.0413541643476685
2.31,-0.0418524285530548
2.315,-0.0423586794035097
2.32,-0.0428730903055801
2.325,-0.0433958395800072
2.33,-0.0439271106294606
2.335,-0.0444670921129893
2.34,-0.0450159781274883
2.345,-0.0455739683964864
2.35,-0.0461412684666181
2.355,-0.0467180899121142
2.36,-0.0473046505477053
2.365,-0.0479011746503037
2.37,-0.0485078931899219
2.375,-0.0491250440702235
2.38,-0.0497528723791919
2.385,-0.050391630650383
2.39,-0.0510415791353057
2.395,-0.0517029860874329
2.4,-0.0523761280584266
2.405,-0.0530612902071945
2.41,-0.0537587666223772
2.415,-0.0544688606589738
2.42,-0.0551918852897721
2.425,-0.0559281634723524
2.43,-0.0566780285324712
2.435,-0.0574418245646036
2.44,-0.0582199068505849
2.445,-0.0590126422972402
2.45,-0.0598204098940111
2.455,-0.0606436011916136
2.46,-0.0614826208028317
2.465,-0.0623378869266292
2.47,-0.0632098318967913
2.475,-0.0640989027564462
2.48,-0.0650055618598252
2.485,-0.0659302875027703
2.49,-0.0668735745835263
2.495,-0.0678359352955092
2.5,-0.0688178998538054
2.505,-0.0698200172572652
2.51,-0.0708428560882164
2.515,-0.0718870053518979
2.52,-0.0729530753578515
2.525,-0.0740416986457324
2.53,-0.0751535309580107
2.535,-0.0762892522623443
2.54,-0.0774495678265044
2.545,-0.0786352093489233
2.55,-0.0798469361481797
2.555,-0.0810855364149119
2.56,-0.0823518285299246
2.565,-0.0836466624524731
2.57,-0.0849709211829983
2.575,-0.0863255223049016
2.58,-0.0877114196101918
2.585,-0.089129604814272
2.59,-0.0905811093654164
2.595,-0.0920670063549341
2.6,-0.0935884125344258
2.605,-0.0951464904469834
2.61,-0.0967424506796856
2.615,-0.098377554245324
2.62,-0.100053115101774
2.625,-0.101770502818155
2.63,-0.103531145397518
2.635,-0.105336532266616
2.64,-0.107188217443994
2.645,-0.109087822898633
2.65,-0.111037042112187
2.655,-0.113037643858971
2.66,-0.115091476218871
2.665,-0.117200470839639
2.67,-0.119366647466217
2.675,-0.121592118756308
2.68,-0.123879095402773
2.685,-0.1262298915853
2.69,-0.128646930775448
2.695,-0.131132751921338
2.7,-0.133690016040304
2.705,-0.136321513250303
2.71,-0.139030170273456
2.715,-0.141819058447951
2.72,-0.144691402287668
2.725,-0.147650588632359
2.73,-0.150700176434904
2.735,-0.153843907236383
2.74,-0.157085716384168
2.745,-0.160429745053319
2.75,-0.163880353136962
2.755,-0.167442133077474
2.76,-0.17111992471694
2.765,-0.174918831252652
2.77,-0.178844236391705
2.775,-0.18290182280754
2.78,-0.18709759201137
2.785,-0.191437885762437
2.79,-0.195929409153097
2.795,-0.200579255518515
2.8,-0.205394933335587
2.805,-0.210384395292497
2.81,-0.215556069728984
2.815,-0.220918894667986
2.82,-0.226482354682538
2.825,-0.232256520867545
2.83,-0.238252094214893
2.835,-0.244480452722513
2.84,-0.250953702604293
2.845,-0.257684734007928
2.85,-0.264687281693534
2.855,-0.271975991176562
2.86,-0.279566490896253
2.865,-0.287475471035328
2.87,-0.295720769689622
2.875,-0.304321467168729
2.88,-0.313297989301656
2.885,-0.32267222072707
2.89,-0.332467629266837
2.895,-0.342709402617296
2.9,-0.353424598746519
2.905,-0.364642311561077
2.91,-0.376393853605415
2.915,-0.388712957784711
2.92,-0.401636000362324
2.925,-0.415202247780684
2.93,-0.429454130195644
2.935,-0.444437545005847
2.94,-0.460202194108488
2.945,-0.4768019591308
2.95,-0.494295319483238
2.955,-0.512745818769508
2.96,-0.532222585885033
2.965,-0.552800918058019
2.97,-0.574562934157045
2.975,-0.597598307831982
2.98,-0.622005091501198
2.985,-0.647890643883187
2.99,-0.675372675738464
2.995,-0.704580430788069
3,-0.735656021470117
