"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0152777786657212
2.005,-0.0153730684884363
2.01,-0.0154700836043171
2.015,-0.015568853081846
2.02,-0.0156694070438919
2.025,-0.0157717767077204
2.03,-0.0158759944268554
2.035,-0.0159820937350163
2.04,-0.0160901093921298
2.045,-0.0162000774326045
2.05,-0.0163120352159328
2.055,-0.0164260214798097
2.06,-0.0165420763958598
2.065,-0.0166602416281475
2.07,-0.0167805603946188
2.075,-0.0169030775316316
2.08,-0.0170278395617693
2.085,-0.0171548947651239
2.09,-0.0172842932542398
2.095,-0.0174160870529351
2.1,-0.0175503301792445
2.105,-0.017687078732717
2.11,-0.0178263909863265
2.115,-0.0179683274832804
2.12,-0.0181129511390167
2.125,-0.0182603273487313
2.13,-0.0184105241007489
2.135,-0.0185636120961055
2.14,-0.0187196648747473
2.145,-0.0188787589487548
2.15,-0.0190409739430633
2.155,-0.0192063927440841
2.16,-0.0193751016568582
2.165,-0.0195471905712009
2.17,-0.0197227531374659
2.175,-0.0199018869525722
2.18,-0.0200846937569744
2.185,-0.0202712796432996
2.19,-0.0204617552774879
2.195,-0.0206562361332299
2.2,-0.0208548427406808
2.205,-0.0210577009504148
2.21,-0.0212649422137004
2.215,-0.0214767038802531
2.22,-0.0216931295147185
2.225,-0.0219143692332507
2.23,-0.0221405800616178
2.235,-0.0223719263164607
2.24,-0.022608580011392
2.245,-0.0228507212897965
2.25,-0.0230985388863872
2.255,-0.0233522306196496
2.26,-0.0236120039176184
2.265,-0.0238780763795205
2.27,-0.0241506763761526
2.275,-0.0244300436920055
2.28,-0.0247164302125324
2.285,-0.0250101006601805
2.29,-0.0253113333831497
2.295,-0.0256204212012691
2.3,-0.025937672313714
2.305,-0.0262634112737832
2.31,-0.0265979800364179
2.315,-0.0269417390847504
2.32,-0.0272950686425066
2.325,-0.0276583699798068
2.33,-0.0280320668206616
2.335,-0.0284166068612776
2.34,-0.0288124634092133
2.345,-0.0292201371544728
2.35,-0.0296401580847705
2.355,-0.0300730875585001
2.36,-0.030519520550353
2.365,-0.0309800880861685
2.37,-0.0314554598854154
2.375,-0.031946347231686
2.38,-0.032453506093906
2.385,-0.0329777405235409
2.39,-0.0335199063558777
2.395,-0.0340809152468801
2.4,-0.0346617390806265
2.405,-0.0352634147866723
2.41,-0.0358870496112502
2.415,-0.0365338268917944
2.42,-0.037205012390131
2.425,-0.0379019612468944
2.43,-0.0386261256274403
2.435,-0.0393790631387762
2.44,-0.0401624461072811
2.445,-0.0409780718190159
2.45,-0.0418278738380208
2.455,-0.0427139345338445
2.46,-0.043638498967671
2.465,-0.044603990307509
2.47,-0.0456130269672388
2.475,-0.0466684416925376
2.48,-0.0477733028497747
2.485,-0.0489309382121721
2.49,-0.0501449615824951
2.495,-0.0514193026441447
2.5,-0.052758240494152
2.505,-0.0541664413844745
2.51,-0.0556490012837881
2.515,-0.0572114939737543
2.52,-0.0588600255144637
2.525,-0.0606012960577303
2.53,-0.0624426701586656
2.535,-0.064392256941987
2.54,-0.0664590017271238
2.545,-0.0686527910148535
2.55,-0.0709845730998491
2.555,-0.0734664970127441
2.56,-0.0761120730311416
2.565,-0.0789363586547388
2.57,-0.0819561747460215
2.575,-0.0851903575330105
2.58,-0.0886600534043917
2.585,-0.0923890649639218
2.59,-0.0964042587339122
2.595,-0.100736047315755
2.6,-0.10541896187236
2.605,-0.110492334682407
2.61,-0.116001116481795
2.615,-0.121996859691665
2.62,-0.128538906890663
2.625,-0.135695834641192
2.63,-0.143547216873585
2.635,-0.152185790638345
2.64,-0.161720131783671
2.645,-0.172277981287849
2.65,-0.184010407810847
2.655,-0.197097053151938
2.66,-0.211752791392112
2.665,-0.228236249306625
2.67,-0.246860799531114
2.675,-0.268008870400062
2.68,-0.292150749725761
2.685,-0.319869543536369
2.69,-0.351894661559026
2.695,-0.389147259222937
2.7,-0.432802662338676
2.705,-0.484377243642585
2.71,-0.545851014008261
2.715,-0.619843170155357
2.72,-0.709867405205057
2.725,-0.820709310614344
2.73,-0.958993723621772
2.735,-1.13405230414821
2.74,-1.35927259267205
2.745,-1.65422824132132
2.75,-2.04808417235144
2.755,-2.58507138449222
2.76,-3.33321959623439
2.765,-4.39768082595419
2.77,-5.93736961068607
2.775,-8.15884604653117
2.78,-11.0524193137648
2.785,-12.7712338082834
2.79,-10.7712104044755
2.795,-7.94891568331978
2.8,-5.83106442576726
2.805,-4.36437761252368
2.81,-3.34605511148423
2.815,-2.62588968120384
2.82,-2.10532433781217
2.825,-1.72068447807916
2.83,-1.43049560648128
2.835,-1.20731170688553
2.84,-1.03262765986865
2.845,-0.89372164275354
2.85,-0.781678427429624
2.855,-0.690134583398812
2.86,-0.614468795323552
2.865,-0.551270285135003
2.87,-0.497983703649844
2.875,-0.452667852750008
2.88,-0.413829059808187
2.885,-0.380304313584643
2.89,-0.351178095479444
2.895,-0.325722372670296
2.9,-0.303352741447208
2.905,-0.283595984787692
2.91,-0.266065800476843
2.915,-0.250444448532069
2.92,-0.236468735755513
2.925,-0.223919212163969
2.93,-0.212611769968124
2.935,-0.202391056777846
2.94,-0.193125271044666
2.945,-0.184702019514472
2.95,-0.177024997165032
2.955,-0.170011308933319
2.96,-0.163589295812945
2.965,-0.157696760009319
2.97,-0.152279507856503
2.975,-0.1472901473039
2.98,-0.142687090529306
2.985,-0.138433722749217
2.99,-0.134497706392306
2.995,-0.130850396074434
3,-0.127466344703508
