"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0202005978320967
2.005,-0.0203504739007154
2.01,-0.0205012999131336
2.015,-0.0206530836484036
2.02,-0.0208058329118633
2.025,-0.020959555537703
2.03,-0.0211142593915294
2.035,-0.0212699523729061
2.04,-0.0214266424178956
2.045,-0.0215843375015878
2.05,-0.0217430456406205
2.055,-0.0219027748956959
2.06,-0.0220635333740825
2.065,-0.022225329232123
2.07,-0.0223881706777284
2.075,-0.0225520659728653
2.08,-0.0227170234360448
2.085,-0.0228830514448061
2.09,-0.023050158438199
2.095,-0.0232183529192519
2.1,-0.0233876434574578
2.105,-0.0235580386912405
2.11,-0.0237295473304363
2.115,-0.0239021781587556
2.12,-0.0240759400362633
2.125,-0.0242508419018551
2.13,-0.0244268927757243
2.135,-0.0246041017618504
2.14,-0.0247824780504693
2.145,-0.0249620309205592
2.15,-0.0251427697423329
2.155,-0.0253247039797203
2.16,-0.0255078431928677
2.165,-0.0256921970406424
2.17,-0.0258777752831339
2.175,-0.0260645877841633
2.18,-0.0262526445138103
2.185,-0.0264419555509425
2.19,-0.0266325310857328
2.195,-0.0268243814222227
2.2,-0.0270175169808639
2.205,-0.027211948301075
2.21,-0.0274076860438251
2.215,-0.0276047409942034
2.22,-0.0278031240640176
2.225,-0.0280028462943935
2.23,-0.0282039188583978
2.235,-0.0284063530636566
2.24,-0.0286101603550007
2.245,-0.0288153523171214
2.25,-0.0290219406772361
2.255,-0.0292299373077708
2.26,-0.0294393542290578
2.265,-0.0296502036120515
2.27,-0.0298624977810541
2.275,-0.030076249216458
2.28,-0.0302914705575182
2.285,-0.0305081746051191
2.29,-0.0307263743245822
2.295,-0.0309460828484759
2.3,-0.0311673134794519
2.305,-0.0313900796931035
2.31,-0.0316143951408327
2.315,-0.0318402736527568
2.32,-0.0320677292406057
2.325,-0.032296776100681
2.33,-0.032527428616795
2.335,-0.0327597013632676
2.34,-0.032993609107926
2.345,-0.0332291668151283
2.35,-0.0334663896488216
2.355,-0.033705292975617
2.36,-0.0339458923678929
2.365,-0.0341882036069267
2.37,-0.0344322426860289
2.375,-0.0346780258137539
2.38,-0.0349255694170835
2.385,-0.035174890144667
2.39,-0.0354260048701015
2.395,-0.0356789306951963
2.4,-0.035933684953311
2.405,-0.0361902852127135
2.41,-0.0364487492799472
2.415,-0.0367090952032415
