"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0315367493453917
2.005,-0.0319979474164721
2.01,-0.0324725998644384
2.015,-0.0329608199884312
2.02,-0.0334627343827747
2.025,-0.0339784831733776
2.03,-0.0345082202741515
2.035,-0.0350521136642435
2.04,-0.0356103456869474
2.045,-0.0361831133711143
2.05,-0.0367706287761324
2.055,-0.0373731193613943
2.06,-0.0379908283814563
2.065,-0.0386240153079946
2.07,-0.0392729562798566
2.075,-0.0399379445825788
2.08,-0.040619291158765
2.085,-0.0413173251509098
2.09,-0.0420323944783281
2.095,-0.0427648664499178
2.1,-0.0435151284146965
2.105,-0.0442835884520996
2.11,-0.0450706761042178
2.115,-0.0458768431522874
2.12,-0.0467025644399266
2.125,-0.0475483387457321
2.13,-0.048414689708125
2.135,-0.0493021668054296
2.14,-0.0502113463944958
2.145,-0.0511428328113309
2.15,-0.0520972595374567
2.155,-0.0530752904360607
2.16,-0.0540776210621692
2.165,-0.0551049800515485
2.17,-0.0561581305931933
2.175,-0.0572378719908078
2.18,-0.0583450413189483
2.185,-0.0594805151799899
2.19,-0.0606452115685438
2.195,-0.0618400918504258
2.2,-0.0630661628638316
2.205,-0.0643244791509894
2.21,-0.0656161453291656
2.215,-0.066942318610636
2.22,-0.0683042114819203
2.225,-0.0697030945535157
2.23,-0.0711402995921507
2.235,-0.0726172227485902
2.24,-0.0741353279951363
2.245,-0.0756961507880546
2.25,-0.0773013019714508
2.255,-0.0789524719405103
2.26,-0.0806514350835406
2.265,-0.0824000545238125
2.27,-0.08420028718417
2.275,-0.0860541891991429
2.28,-0.0879639217016943
2.285,-0.0899317570139105
2.29,-0.0919600852737108
2.295,-0.0940514215323948
2.3,-0.0962084133611347
2.305,-0.0984338490078727
2.31,-0.100730666150002
2.315,-0.103101961292395
2.32,-0.105550999865001
2.325,-0.1080812270794
2.33,-0.110696279609413
2.335,-0.1133999981671
2.34,-0.116196441052565
2.345,-0.119089898763632
2.35,-0.122084909760125
2.355,-0.125186277487016
2.36,-0.128399088771271
2.365,-0.131728733719208
2.37,-0.135180927254196
2.375,-0.138761732449346
2.38,-0.142477585826279
2.385,-0.146335324809439
2.39,-0.150342217545983
2.395,-0.154505995324435
2.4,-0.158834887851095
2.405,-0.163337661672432
2.41,-0.16802366206438
2.415,-0.172902858746328
2.42,-0.177985895819294
2.425,-0.183284146374731
2.43,-0.188809772273601
2.435,-0.194575789655531
2.44,-0.200596140806168
2.445,-0.206885773088344
2.45,-0.213460725730885
2.455,-0.220338225369162
2.46,-0.227536791346194
2.465,-0.235076351913698
2.47,-0.242978372622241
2.475,-0.251265998360993
2.48,-0.25996421070431
2.485,-0.269100002448491
2.49,-0.278702571482229
2.495,-0.288803536434502
2.5,-0.299437176890266
2.505,-0.310640701365326
2.51,-0.322454546696668
2.515,-0.33492271304417
2.52,-0.348093139327314
2.525,-0.362018124651624
2.53,-0.376754802133409
2.535,-0.392365672529074
2.54,-0.408919206244682
2.545,-0.426490523673278
2.55,-0.445162165420735
2.555,-0.465024965880816
2.56,-0.486179045862116
2.565,-0.508734942619982
2.57,-0.532814898785025
2.575,-0.558554335403365
2.58,-0.586103538728485
2.585,-0.615629595671727
2.59,-0.647318619098041
2.595,-0.681378311652233
2.6,-0.718040925767393
2.605,-0.757566688243448
2.61,-0.800247770653841
2.615,-0.846412902281939
2.62,-0.896432740835341
2.625,-0.950726138472006
2.63,-1.00976746745889
2.635,-1.07409520197928
2.64,-1.14432199128654
2.645,-1.22114650583625
2.65,-1.30536739369405
2.655,-1.39789975111682
2.66,-1.49979459067286
2.665,-1.61226188474415
2.67,-1.73669787403759
2.675,-1.87471746213101
2.68,-2.02819267013883
2.685,-2.19929830147653
2.69,-2.39056616448269
2.695,-2.60494941449304
2.7,-2.84589879006606
2.705,-3.11745268894935
2.71,-3.42434306048935
2.715,-3.77211875646349
2.72,-4.16728675843357
2.725,-4.61746836868743
2.73,-5.13155915318535
2.735,-5.71986136250322
2.74,-6.39410937091509
2.745,-7.16719251329958
2.75,-8.05209813224754
2.755,-9.05891778014343
2.76,-10.1871792262734
2.765,-11.4075985800445
2.77,-12.6242073635701
2.775,-13.6218023053935
2.78,-14.081166732142
2.785,-13.8005716658338
2.79,-12.9186876655746
2.795,-11.7549974699787
2.8,-10.552306561898
2.805,-9.42679967593881
2.81,-8.41740362405273
2.815,-7.52839532936373
2.82,-6.75096064185032
2.825,-6.07241876876763
2.83,-5.47986158917029
2.835,-4.96146002610533
2.84,-4.50682825246393
2.845,-4.10702120730503
2.85,-3.75440150216188
2.855,-3.44247157782876
2.86,-3.16570876911566
2.865,-2.91941669981645
2.87,-2.69959642729071
2.875,-2.502836775969
2.88,-2.32622187513878
2.885,-2.16725356532761
2.89,-2.02378641931963
2.895,-1.8939733617327
2.9,-1.77622014713785
2.905,-1.66914722256426
2.91,-1.57155773814813
2.915,-1.48241067518212
2.92,-1.40079823498842
2.925,-1.32592677805831
2.93,-1.25710072452931
2.935,-1.1937089279786
2.94,-1.13521311802072
2.945,-1.08113807620808
2.95,-1.03106326671747
2.955,-0.984615690349446
2.96,-0.941463769210253
2.965,-0.901312101533655
2.97,-0.86389695262688
2.975,-0.828982369876849
2.98,-0.796356827939819
2.985,-0.765830325325389
2.99,-0.737231866121095
2.995,-0.710407271034666
3,-0.685217270625455
