"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0231010844408967
2.005,-0.0232848030081771
2.01,-0.0234690177067553
2.015,-0.0236537508580668
2.02,-0.0238390245740191
2.025,-0.024024860760152
2.03,-0.0242112811187688
2.035,-0.0243983071520905
2.04,-0.0245859601653768
2.045,-0.024774261270055
2.05,-0.0249632313868364
2.055,-0.0251528912488387
2.06,-0.0253432614046937
2.065,-0.0255343622216606
2.07,-0.0257262138887475
2.075,-0.0259188364198167
2.08,-0.0261122496567095
2.085,-0.026306473272366
2.09,-0.0265015267739446
2.095,-0.0266974295059684
2.1,-0.0268942006534442
2.105,-0.0270918592450373
2.11,-0.0272904241562087
2.115,-0.0274899141123925
2.12,-0.0276903476921769
2.125,-0.0278917433305018
2.13,-0.0280941193218653
2.135,-0.0282974938235462
2.14,-0.0285018848588544
2.145,-0.0287073103203879
2.15,-0.0289137879733083
2.155,-0.0291213354586469
2.16,-0.0293299702966338
2.165,-0.0295397098900293
2.17,-0.0297505715275068
2.175,-0.029962572387047
2.18,-0.0301757295393548
2.185,-0.0303900599513164
2.19,-0.0306055804894827
2.195,-0.0308223079235728
2.2,-0.0310402589300295
2.205,-0.0312594500955811
2.21,-0.031479897920872
2.215,-0.0317016188240936
2.22,-0.0319246291446822
2.225,-0.03214894514703
2.23,-0.0323745830242669
2.235,-0.0326015589020405
2.24,-0.032829888842396
2.245,-0.0330595888476401
2.25,-0.0332906748642903
2.255,-0.0335231627870581
2.26,-0.0337570684628922
2.265,-0.033992407695035
2.27,-0.034229196247185
2.275,-0.0344674498476688
2.28,-0.0347071841936782
2.285,-0.034948414955577
2.29,-0.0351911577812452
2.295,-0.0354354283005036
2.3,-0.035681242129565
2.305,-0.035928614875599
2.31,-0.036177562141299
2.315,-0.0364280995295558
2.32,-0.0366802426482045
2.325,-0.036934007114789
2.33,-0.0371894085614601
2.335,-0.0374464626398909
2.34,-0.0377051850263049
2.345,-0.0379655914265524
2.35,-0.0382276975812891
2.355,-0.0384915192712024
2.36,-0.0387570723223373
2.365,-0.0390243726115098
2.37,-0.0392934360717882
2.375,-0.0395642786980713
2.38,-0.0398369165527452
2.385,-0.0401113657714466
2.39,-0.0403876425688903
2.395,-0.0406657632448153
2.4,-0.0409457441900206
2.405,-0.0412276018924882
2.41,-0.0415113529436129
2.415,-0.0417970140445328
2.42,-0.0420846020125701
2.425,-0.0423741337877632
2.43,-0.0426656264395246
2.435,-0.0429590971733863
2.44,-0.0432545633378851
2.445,-0.0435520424315343
2.45,-0.0438515521099401
2.455,-0.0441531101930179
2.46,-0.0444567346723276
2.465,-0.0447624437185552
2.47,-0.0450702556890987
2.475,-0.0453801891357902
2.48,-0.0456922628127577
2.485,-0.0460064956844092
2.49,-0.0463229069335561
2.495,-0.0466415159696751
2.5,-0.046962342437328
2.505,-0.047285406224692
2.51,-0.0476107274722805
2.515,-0.0479383265817667
2.52,-0.0482682242250066
2.525,-0.0486004413531788
2.53,-0.0489349992061128
2.535,-0.0492719193217571
2.54,-0.0496112235458252
2.545,-0.0499529340416
2.55,-0.0502970732999174
2.555,-0.050643664149324
2.56,-0.0509927297663955
2.565,-0.0513442936862608
2.57,-0.0516983798132918
2.575,-0.0520550124319825
2.58,-0.0524142162180195
2.585,-0.0527760162495597
2.59,-0.0531404380186759
2.595,-0.0535075074430293
2.6,-0.0538772508777393
2.605,-0.0542496951274576
2.61,-0.0546248674586527
2.615,-0.0550027956121145
2.62,-0.0553835078156757
2.625,-0.0557670327971665
2.63,-0.0561533997975694
2.635,-0.0565426385844412
2.64,-0.05693477946554
2.645,-0.0573298533027024
2.65,-0.0577278915259812
2.655,-0.0581289261479933
2.66,-0.0585329897785538
2.665,-0.0589401156395569
2.67,-0.0593503375801022
2.675,-0.0597636900919045
2.68,-0.060180208324971
2.685,-0.0605999281035518
2.69,-0.0610228859423503
2.695,-0.0614491190630618
2.7,-0.0618786654111462
2.705,-0.0623115636729433
2.71,-0.0627478532930582
2.715,-0.0631875744920503
2.72,-0.06363076828446
2.725,-0.0640774764971025
2.73,-0.0645277417877272
2.735,-0.0649816076639743
2.74,-0.0654391185026683
2.745,-0.0659003195694535
2.75,-0.0663652570387577
2.755,-0.0668339780141193
2.76,-0.067306530548851
2.765,-0.0677829636670778
2.77,-0.0682633273851175
2.775,-0.0687476727332647
2.78,-0.0692360517779184
2.785,-0.0697285176441081
2.79,-0.0702251245384057
2.795,-0.0707259277722399
2.8,-0.0712309837855924
2.805,-0.0717403501711366
2.81,-0.0722540856987417
2.815,-0.0727722503404525
2.82,-0.0732949052958506
2.825,-0.0738221130178758
2.83,-0.0743539372390944
2.835,-0.0748904429983849
2.84,-0.0754316966681153
2.845,-0.0759777659817568
2.85,-0.0765287200619873
2.855,-0.0770846294492525
2.86,-0.0776455661308297
2.865,-0.0782116035703687
2.87,-0.0787828167379416
2.875,-0.0793592821406013
2.88,-0.0799410778534441
2.885,-0.0805282835512066
2.89,-0.0811209805403898
2.895,-0.0817192517919136
2.9,-0.0823231819743286
2.905,-0.0829328574875792
2.91,-0.083548366497327
2.915,-0.0841697989698521
2.92,-0.0847972467075234
2.925,-0.0854308033848593
2.93,-0.0860705645851963
2.935,-0.0867166278379512
2.94,-0.0873690926564964
2.945,-0.0880280605766573
2.95,-0.0886936351958487
2.955,-0.0893659222128457
2.96,-0.0900450294682034
2.965,-0.0907310669853182
2.97,-0.0914241470121998
2.975,-0.0921243840638592
2.98,-0.092831894965431
2.985,-0.0935467988959544
2.99,-0.0942692174328846
2.995,-0.0949992745972938
3,-0.0957370968998104
