"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0372025011989515
2.005,-0.0376604487434065
2.01,-0.0381239027083152
2.015,-0.0385929174856863
2.02,-0.0390675490962557
2.025,-0.0395478552182761
2.03,-0.0400338952170546
2.035,-0.0405257301753418
2.04,-0.0410234229244944
2.045,-0.041527038076499
2.05,-0.042036642056862
2.055,-0.0425523031383715
2.06,-0.0430740914757692
2.065,-0.0436020791413506
2.07,-0.0441363401615131
2.075,-0.0446769505542954
2.08,-0.0452239883679017
2.085,-0.0457775337202604
2.09,-0.0463376688396417
2.095,-0.0469044781063644
2.1,-0.0474780480955978
2.105,-0.048058467621324
2.11,-0.0486458277814597
2.115,-0.0492402220041953
2.12,-0.0498417460955641
2.125,-0.0504504982882882
2.13,-0.0510665792919218
2.135,-0.0516900923443627
2.14,-0.0523211432647085
2.145,-0.0529598405075678
2.15,-0.053606295218807
2.155,-0.0542606212928156
2.16,-0.0549229354313069
2.165,-0.0555933572037029
2.17,-0.0562720091091712
2.175,-0.0569590166403154
2.18,-0.0576545083486371
2.185,-0.0583586159117361
2.19,-0.0590714742023738
2.195,-0.059793221359414
2.2,-0.0605239988607074
2.205,-0.0612639515979943
2.21,-0.0620132279538282
2.215,-0.0627719798806855
2.22,-0.0635403629822096
2.225,-0.0643185365967402
2.23,-0.0651066638831555
2.235,-0.065904911909117
2.24,-0.0667134517417824
2.245,-0.0675324585410686
2.25,-0.0683621116555247
2.255,-0.0692025947209432
2.26,-0.070054095761731
2.265,-0.0709168072951882
2.27,-0.0717909264387504
2.275,-0.0726766550202959
2.28,-0.0735741996916303
2.285,-0.0744837720452211
2.29,-0.0754055887343323
2.295,-0.0763398715966214
2.3,-0.0772868477813462
2.305,-0.0782467498802797
2.31,-0.0792198160624685
2.315,-0.0802062902129568
2.32,-0.0812064220756084
2.325,-0.0822204674001585
2.33,-0.0832486880936429
2.335,-0.084291352376353
2.34,-0.0853487349424789
2.345,-0.0864211171255616
2.35,-0.0875087870689764
2.355,-0.0886120399015758
2.36,-0.0897311779186862
2.365,-0.0908665107686438
2.37,-0.0920183556450637
2.375,-0.093187037485037
2.38,-0.094372889173473
2.385,-0.095576251753801
2.39,-0.0967974746452385
2.395,-0.0980369158669127
2.4,-0.0992949422689911
2.405,-0.100571929771191
2.41,-0.101868263608821
2.415,-0.103184338586701
2.42,-0.104520559341233
2.425,-0.105877340610891
2.43,-0.107255107515496
2.435,-0.108654295844534
2.44,-0.110075352354927
2.445,-0.11151873507855
2.45,-0.112984913639883
2.455,-0.114474369584192
2.46,-0.115987596716625
2.465,-0.117525101452643
2.47,-0.119087403180202
2.475,-0.120675034634184
2.48,-0.122288542283498
2.485,-0.123928486731379
2.49,-0.125595443129391
2.495,-0.127290001605659
2.5,-0.129012767707905
2.505,-0.130764362861884
2.51,-0.132545424845801
2.515,-0.134356608281368
2.52,-0.136198585142205
2.525,-0.138072045280189
2.53,-0.139977696970603
2.535,-0.141916267476742
2.54,-0.143888503634847
2.545,-0.145895172460182
2.55,-0.147937061775096
2.555,-0.150014980860051
2.56,-0.152129761128516
2.565,-0.154282256826764
2.57,-0.156473345759602
2.575,-0.15870393004316
2.58,-0.160974936885851
2.585,-0.163287319398773
2.59,-0.165642057436747
2.595,-0.168040158471352
2.6,-0.170482658497393
2.605,-0.172970622974152
2.61,-0.175505147803056
2.615,-0.178087360343324
2.62,-0.180718420467257
2.625,-0.183399521656975
2.63,-0.186131892144451
2.635,-0.188916796096752
2.64,-0.191755534848568
2.645,-0.194649448184186
2.65,-0.197599915671117
2.655,-0.200608358047793
2.66,-0.203676238667798
2.665,-0.206805065003279
2.67,-0.209996390210242
2.675,-0.213251814758681
2.68,-0.216572988130555
2.685,-0.21996161058883
2.69,-0.223419435020936
2.695,-0.226948268860206
2.7,-0.230549976089034
2.705,-0.234226479327665
2.71,-0.23797976201276
2.715,-0.241811870670112
2.72,-0.245724917286088
2.725,-0.249721081782641
2.73,-0.253802614601
2.735,-0.257971839399414
2.74,-0.262231155870566
2.745,-0.266583042684742
2.75,-0.271030060564942
2.755,-0.275574855500625
2.76,-0.280220162107136
2.765,-0.284968807138155
2.77,-0.289823713158987
2.775,-0.294787902388988
2.78,-0.299864500721759
2.785,-0.305056741932319
2.79,-0.310367972080995
2.795,-0.315801654124195
2.8,-0.321361372742965
2.805,-0.327050839400743
2.81,-0.332873897642338
2.815,-0.33883452864697
2.82,-0.344936857048837
2.825,-0.351185157039454
2.83,-0.357583858766864
2.835,-0.364137555047632
2.84,-0.370851008408483
2.845,-0.377729158475429
2.85,-0.384777129729147
2.855,-0.392000239646618
2.86,-0.399404007250024
2.865,-0.40699416208523
2.87,-0.414776653653391
2.875,-0.422757661320589
2.88,-0.430943604731898
2.885,-0.439341154757705
2.89,-0.447957245001786
2.895,-0.456799083902284
2.9,-0.465874167458568
2.905,-0.475190292618791
2.91,-0.484755571364983
2.915,-0.494578445534604
2.92,-0.504667702419698
2.925,-0.515032491187113
2.93,-0.525682340165676
2.935,-0.536627175048844
2.94,-0.547877338063924
2.945,-0.559443608161989
2.95,-0.571337222285356
2.955,-0.583569897772761
2.96,-0.59615385596551
2.965,-0.609101847081351
2.97,-0.62242717642617
2.975,-0.636143732017494
2.98,-0.650266013697329
2.985,-0.664809163815979
2.99,-0.679788999572323
2.995,-0.695222047100385
3,-0.711125577396041
