"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0209819403248585
2.005,-0.0211320861273654
2.01,-0.0212829166084166
2.015,-0.0214344346728275
2.02,-0.0215866433601994
2.025,-0.0217395458439368
2.03,-0.0218931454303208
2.035,-0.0220474455576033
2.04,-0.0222024497951404
2.045,-0.0223581618425691
2.05,-0.0225145855290199
2.055,-0.0226717248123506
2.06,-0.0228295837784351
2.065,-0.0229881666404671
2.07,-0.023147477738303
2.075,-0.0233075215378469
2.08,-0.0234683026304455
2.085,-0.0236298257323455
2.09,-0.0237920956841481
2.095,-0.0239551174503143
2.1,-0.0241188961186994
2.105,-0.0242834369001042
2.11,-0.0244487451278688
2.115,-0.0246148262574858
2.12,-0.0247816858662422
2.125,-0.0249493296528956
2.13,-0.0251177634373624
2.135,-0.0252869931604469
2.14,-0.0254570248835969
2.145,-0.0256278647886654
2.15,-0.0257995191777182
2.155,-0.025971994472858
2.16,-0.0261452972160744
2.165,-0.0263194340691142
2.17,-0.0264944118133806
2.175,-0.0266702373498493
2.18,-0.0268469176990113
2.185,-0.0270244600008444
2.19,-0.0272028715147914
2.195,-0.0273821596197818
2.2,-0.0275623318142445
2.205,-0.0277433957161738
2.21,-0.0279253590632054
2.215,-0.028108229712696
2.22,-0.0282920156418481
2.225,-0.0284767249478436
2.23,-0.028662365847994
2.235,-0.0288489466799175
2.24,-0.0290364759017381
2.245,-0.0292249620922842
2.25,-0.0294144139513352
2.255,-0.0296048402998669
2.26,-0.0297962500803075
2.265,-0.0299886523568594
2.27,-0.0301820563157647
2.275,-0.0303764712656474
2.28,-0.0305719066378646
2.285,-0.0307683719868418
2.29,-0.0309658769904749
2.295,-0.0311644314504946
2.3,-0.0313640452929071
2.305,-0.031564728568396
2.31,-0.0317664914527832
2.315,-0.0319693442474772
2.32,-0.0321732973799569
2.325,-0.0323783614042692
2.33,-0.0325845470015215
2.335,-0.0327918649804226
2.34,-0.0330003262778178
2.345,-0.0332099419592433
2.35,-0.0334207232195029
2.355,-0.0336326813832525
2.36,-0.0338458279056027
2.365,-0.0340601743727381
2.37,-0.0342757325025494
2.375,-0.0344925141452835
2.38,-0.0347105312842095
2.385,-0.0349297960362806
2.39,-0.0351503206528545
2.395,-0.0353721175203717
2.4,-0.0355951991611005
2.405,-0.0358195782338572
2.41,-0.0360452675347673
2.415,-0.0362722799980222
2.42,-0.0365006286966638
2.425,-0.0367303268433819
2.43,-0.0369613877913074
2.435,-0.0371938250348512
2.44,-0.0374276522105227
2.445,-0.0376628830977961
2.45,-0.0378995316199587
2.455,-0.0381376118449996
2.46,-0.0383771379864933
2.465,-0.0386181244045034
2.47,-0.0388605856065072
2.475,-0.0391045362483217
2.48,-0.039349991135053
2.485,-0.0395969652220505
2.49,-0.0398454736158835
2.495,-0.0400955315753216
2.5,-0.0403471545123443
2.505,-0.0406003579931414
2.51,-0.0408551577391434
2.515,-0.0411115696280646
2.52,-0.0413696096949479
2.525,-0.041629294133244
2.53,-0.0418906392958716
2.535,-0.0421536616963249
2.54,-0.0424183780097724
2.545,-0.0426848050741829
2.55,-0.0429529598914424
2.555,-0.0432228596285135
2.56,-0.04349452161859
2.565,-0.0437679633622663
2.57,-0.0440432025287211
2.575,-0.0443202569569201
2.58,-0.0445991446568191
2.585,-0.0448798838105962
2.59,-0.0451624927738857
2.595,-0.0454469900770256
2.6,-0.0457333944263238
2.605,-0.0460217247053349
2.61,-0.0463119999761506
2.615,-0.0466042394806945
2.62,-0.0468984626420521
2.625,-0.0471946890657913
2.63,-0.0474929385413008
2.635,-0.0477932310431531
2.64,-0.0480955867324699
