"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.109926263959432
2.005,-0.114817296739163
2.01,-0.120028436009809
2.015,-0.125587065811673
2.02,-0.13152352562235
2.025,-0.137871496179672
2.03,-0.144668444722239
2.035,-0.151956140233012
2.04,-0.159781251419806
2.045,-0.168196042806005
2.05,-0.177259187559887
2.055,-0.18703671972175
2.06,-0.197603153500567
2.065,-0.209042803572435
2.07,-0.221451348167655
2.075,-0.234937686634257
2.08,-0.24962615570624
2.085,-0.265659184668853
2.09,-0.283200490040551
2.095,-0.302438936670582
2.1,-0.323593226147172
2.105,-0.346917617642634
2.11,-0.372708944212912
2.115,-0.401315263803936
2.12,-0.433146585244833
2.125,-0.468688244267636
2.13,-0.508517685557987
2.135,-0.553325651539269
2.14,-0.603943111829056
2.145,-0.661375724443645
2.15,-0.726848251663455
2.155,-0.801862233573295
2.16,-0.888271458132481
2.165,-0.988381516804655
2.17,-1.10508223614847
2.175,-1.24202538757979
2.18,-1.40386535608971
2.185,-1.59658828113095
2.19,-1.82796704321019
2.195,-2.10819794916647
2.2,-2.45080496169574
2.205,-2.87394886692879
2.21,-3.40237433880325
2.215,-4.07042200814778
2.22,-4.92696889366398
2.225,-6.04424983695078
2.23,-7.53556566580018
2.235,-9.59678337018559
2.24,-12.6262797231978
2.245,-17.7041139148876
2.25,-29.1182274022737
2.255,-20.3982774887038
2.26,-14.0747531846421
2.265,-10.6045587463772
2.27,-8.3246345549065
2.275,-6.7035794514639
2.28,-5.49998894901216
2.285,-4.58113978717017
2.29,-3.86532949313323
2.295,-3.29862334388793
2.3,-2.84378001922382
2.305,-2.47428689717357
2.31,-2.1708446559559
2.315,-1.91915826621225
2.32,-1.70848504226237
2.325,-1.53064933592948
2.33,-1.37935799834587
2.335,-1.24971605968555
2.34,-1.13787892180105
2.345,-1.04079936949411
2.35,-0.956041441069175
2.355,-0.881642053166567
2.36,-0.816007124716581
2.365,-0.75783288400218
2.37,-0.706045736462948
2.375,-0.659755936868116
2.38,-0.618221616899575
2.385,-0.580820644669373
2.39,-0.547028454057049
2.395,-0.516400458585635
2.4,-0.48855801125352
2.405,-0.463177125852231
2.41,-0.439979362991256
2.415,-0.418724423710683
2.42,-0.399204098223549
2.425,-0.381237296301469
2.43,-0.364665945799498
2.435,-0.349351591664407
2.44,-0.335172563031495
2.445,-0.322021603292798
2.45,-0.30980387924225
2.455,-0.298435302005486
2.46,-0.287841105518482
2.465,-0.277954638639118
2.47,-0.268716335173567
2.475,-0.260072832641504
2.48,-0.251976215849371
2.485,-0.244383365564795
2.49,-0.237255396000983
2.495,-0.230557167593533
2.5,-0.22425686381357
2.505,-0.218325622611367
2.51,-0.212737214604961
2.515,-0.207467761381071
2.52,-0.202495488312327
2.525,-0.197800507155063
2.53,-0.19336462440825
2.535,-0.189171172012549
2.54,-0.18520485746982
2.545,-0.181451630884509
2.55,-0.177898566783631
2.555,-0.1745337588717
2.56,-0.171346226131473
2.565,-0.168325828897066
2.57,-0.165463193709968
2.575,-0.162749645925592
2.58,-0.160177149172174
2.585,-0.157738250879266
2.59,-0.155426033192049
2.595,-0.153234068673122
2.6,-0.151156380267119
2.605,-0.149187405067284
2.61,-0.147321961478462
2.615,-0.145555219418955
2.62,-0.143882673245568
2.625,-0.142300117122566
2.63,-0.140803622587126
2.635,-0.139389518091803
2.64,-0.138054370328859
2.645,-0.136794967162832
2.65,-0.135608302016606
2.655,-0.134491559572801
2.66,-0.133442102667027
2.665,-0.132457460262537
2.67,-0.131535316407187
2.675,-0.130673500083921
2.68,-0.129869975874928
2.685,-0.129122835367665
2.69,-0.128430289238144
2.695,-0.127790659953171
2.7,-0.127202375038974
2.705,-0.126663960868715
2.71,-0.126174036925927
2.715,-0.125731310505004
2.72,-0.125334571813533
2.725,-0.124982689444549
2.73,-0.124674606189707
2.735,-0.124409335167152
2.74,-0.124185956240058
2.745,-0.124003612704245
2.75,-0.123861508225
2.755,-0.123758904005197
2.76,-0.123695116168271
2.765,-0.123669513341192
2.77,-0.12368151442382
2.775,-0.123730586532314
2.78,-0.123816243105293
2.785,-0.123938042162535
2.79,-0.124095584706871
2.795,-0.12428851326082
2.8,-0.124516510530216
2.805,-0.124779298187961
2.81,-0.125076635771449
2.815,-0.125408319688061
2.82,-0.125774182323564
2.825,-0.126174091248814
2.83,-0.126607948520632
2.835,-0.127075690073232
2.84,-0.127577285196974
2.845,-0.128112736101632
2.85,-0.128682077561764
2.855,-0.129285376642112
2.86,-0.129922732501394
2.865,-0.13059427627305
2.87,-0.131300171021971
2.875,-0.132040611776479
2.88,-0.132815825635127
2.885,-0.133626071948279
2.89,-0.134471642574612
2.895,-0.13535286221309
2.9,-0.136270088811168
2.905,-0.137223714050363
2.91,-0.138214163910591
2.915,-0.139241899314977
2.92,-0.140307416857177
2.925,-0.141411249613571
2.93,-0.142553968043045
2.935,-0.14373618097736
2.94,-0.144958536705573
2.945,-0.146221724156256
2.95,-0.147526474181733
2.955,-0.148873560948915
2.96,-0.150263803441826
2.965,-0.151698067081311
2.97,-0.153177265467946
2.975,-0.15470236225475
2.98,-0.156274373156772
2.985,-0.157894368105306
2.99,-0.1595634735551
2.995,-0.16128287495365
3,-0.163053819382362
