"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0240173970611999
2.005,-0.024228648999603
2.01,-0.0244427141437679
2.015,-0.0246595919095528
2.02,-0.0248792820195064
2.025,-0.0251017845104577
2.03,-0.0253270997412147
2.035,-0.0255552284003253
2.04,-0.0257861715139744
2.045,-0.0260199304539667
2.05,-0.0262565069458053
2.055,-0.0264959030769088
2.06,-0.0267381213049014
2.065,-0.0269831644660475
2.07,-0.0272310357837972
2.075,-0.027481738877447
2.08,-0.0277352777709145
2.085,-0.0279916569016693
2.09,-0.028250881129767
2.095,-0.0285129557470382
2.1,-0.028777886486395
2.105,-0.0290456795312905
2.11,-0.0293163415253212
2.115,-0.0295898795819763
2.12,-0.029866301294544
2.125,-0.0301456147461558
2.13,-0.0304278285200132
2.135,-0.0307129517097605
2.14,-0.0310009939300296
2.145,-0.0312919653271617
2.15,-0.0315858765900918
2.155,-0.031882738961422
2.16,-0.0321825642486775
2.165,-0.0324853648357399
2.17,-0.0327911536944903
2.175,-0.0330999443966269
2.18,-0.033411751125705
2.185,-0.0337265886893671
2.19,-0.0340444725317903
2.195,-0.0343654187463393
2.2,-0.0346894440884657
2.205,-0.0350165659887863
2.21,-0.0353468025664428
2.215,-0.0356801726426565
2.22,-0.0360166957545379
2.225,-0.036356392169154
2.23,-0.036699282897825
2.235,-0.0370453897106841
2.24,-0.0373947351515182
2.245,-0.0377473425528481
2.25,-0.0381032360512957
2.255,-0.0384624406032422
2.26,-0.0388249820007548
2.265,-0.0391908868878142
2.27,-0.0395601827768368
2.275,-0.0399328980655144
2.28,-0.0403090620539458
2.285,-0.0406887049621072
2.29,-0.0410718579476348
2.295,-0.041458553123953
2.3,-0.0418488235787207
2.305,-0.0422427033926517
2.31,-0.0426402276586734
2.315,-0.0430414325014582
2.32,-0.0434463550973089
2.325,-0.0438550336944495
2.33,-0.0442675076336698
2.335,-0.0446838173693968
2.34,-0.0451040044911528
2.345,-0.0455281117454208
2.35,-0.0459561830579518
2.355,-0.046388263556478
2.36,-0.0468243995938906
2.365,-0.0472646387718376
2.37,-0.0477090299648152
2.375,-0.0481576233446889
2.38,-0.0486104704057406
2.385,-0.0490676239901488
2.39,-0.0495291383140155
2.395,-0.0499950689938817
2.4,-0.050465473073772
2.405,-0.0509404090527626
2.41,-0.0514199369131001
2.415,-0.0519041181488754
2.42,-0.0523930157952635
2.425,-0.0528866944583544
2.43,-0.053385220345548
2.435,-0.0538886612965882
2.44,-0.0543970868152002
2.445,-0.0549105681013447
2.45,-0.0554291780841492
2.455,-0.0559529914554646
2.46,-0.0564820847041304
2.465,-0.0570165361508906
2.47,-0.0575564259840322
2.475,-0.0581018362957598
2.48,-0.0586528511192572
2.485,-0.0592095564665359
2.49,-0.0597720403670384
2.495,-0.0603403929070278
2.5,-0.0609147062697467
2.505,-0.0614950747764489
2.51,-0.0620815949282031
2.515,-0.0626743654486001
2.52,-0.0632734873272766
2.525,-0.0638790638643922
2.53,-0.0644912007159576
2.535,-0.0651100059401247
2.54,-0.0657355900444014
2.545,-0.0663680660338527
2.55,-0.0670075494602975
2.555,-0.0676541584724722
2.56,-0.0683080138672955
2.565,-0.0689692391421222
2.57,-0.0696379605481169
2.575,-0.07031430714472
2.58,-0.070998410855224
2.585,-0.0716904065235173
2.59,-0.0723904319719949
2.595,-0.0730986280606724
2.6,-0.0738151387475215
2.605,-0.0745401111500619
2.61,-0.0752736956082353
2.615,-0.0760160457485754
2.62,-0.0767673185497404
2.625,-0.0775276744093757
2.63,-0.0782972772123951
2.635,-0.0790762944006995
2.64,-0.0798648970442976
2.645,-0.0806632599139957
2.65,-0.0814715615555228
2.655,-0.0822899843652766
2.66,-0.0831187146676238
2.665,-0.0839579427938189
2.67,-0.084807863162601
2.675,-0.0856686743624612
2.68,-0.0865405792356538
2.685,-0.0874237849639728
2.69,-0.0883185031563327
2.695,-0.0892249499381782
2.7,-0.0901433460428152
2.705,-0.0910739169046279
2.71,-0.0920168927542847
2.715,-0.0929725087159533
2.72,-0.093941004906564
2.725,-0.0949226265371691
2.73,-0.0959176240164475
2.735,-0.0969262530564082
2.74,-0.0979487747803085
2.745,-0.0989854558328819
2.75,-0.100036568492887
2.755,-0.101102390788039
2.76,-0.102183206612384
2.765,-0.103279305846153
2.77,-0.104390984478177
2.775,-0.105518544730867
2.78,-0.106662295187876
2.785,-0.107822550924453
2.79,-0.108999633640566
2.795,-0.110193871796852
2.8,-0.111405600753458
2.805,-0.112635162911819
2.81,-0.113882907859456
2.815,-0.115149192517833
2.82,-0.116434381293384
2.825,-0.11773884623169
2.83,-0.119062967175001
2.835,-0.120407131923038
2.84,-0.121771736397233
2.845,-0.123157184808458
2.85,-0.124563889828296
2.855,-0.12599227276395
2.86,-0.127442763736866
2.865,-0.12891580186511
2.87,-0.130411835449646
2.875,-0.13193132216453
2.88,-0.133474729251122
2.885,-0.135042533716425
2.89,-0.136635222535593
2.895,-0.138253292858708
2.9,-0.139897252221957
2.905,-0.14156761876319
2.91,-0.143264921442083
2.915,-0.1449897002649
2.92,-0.146742506513951
2.925,-0.148523902981927
2.93,-0.150334464211081
2.935,-0.152174776737464
2.94,-0.154045439340239
2.945,-0.155947063296196
2.95,-0.157880272639604
2.955,-0.159845704427435
2.96,-0.161844009010109
2.965,-0.163875850307861
2.97,-0.16594190609283
2.975,-0.168042868276965
2.98,-0.170179443205863
2.985,-0.172352351958682
2.99,-0.174562330654173
2.995,-0.176810130763011
3,-0.179096519426478
