"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0193428491956823
2.005,-0.0195121598103781
2.01,-0.0196837478250251
2.015,-0.0198576339087101
2.02,-0.0200338395311918
2.025,-0.0202123869756681
2.03,-0.020393299352063
2.035,-0.0205766006108041
2.04,-0.0207623155571393
2.045,-0.0209504698659596
2.05,-0.0211410900972072
2.055,-0.0213342037118192
2.06,-0.0215298390882802
2.065,-0.0217280255397575
2.07,-0.0219287933318647
2.075,-0.0221321737010618
2.08,-0.0223381988737084
2.085,-0.0225469020857993
2.09,-0.0227583176034003
2.095,-0.0229724807437955
2.1,-0.0231894278973972
2.105,-0.0234091965504047
2.11,-0.0236318253082772
2.115,-0.0238573539200051
2.12,-0.0240858233032493
2.125,-0.0243172755703454
2.13,-0.0245517540552192
2.135,-0.0247893033412378
2.14,-0.0250299692900278
2.145,-0.0252737990713018
2.15,-0.0255208411937284
2.155,-0.0257711455368603
2.16,-0.0260247633841972
2.165,-0.0262817474574019
2.17,-0.0265421519516832
2.175,-0.0268060325724685
2.18,-0.0270734465733231
2.185,-0.0273444527952147
2.19,-0.02761911170717
2.195,-0.0278974854483596
2.2,-0.028179637871672
2.205,-0.0284656345888468
2.21,-0.0287555430171954
2.215,-0.0290494324280102
2.22,-0.0293473739966954
2.225,-0.0296494408547118
2.23,-0.029955708143384
2.235,-0.0302662530696661
2.24,-0.0305811549639244
2.245,-0.03090049533984
2.25,-0.0312243579565026
2.255,-0.0315528288827779
2.26,-0.03188599656407
2.265,-0.0322239518915425
2.27,-0.0325667882739455
2.275,-0.0329146017121011
2.28,-0.0332674908762122
2.285,-0.0336255571860891
2.29,-0.0339889048944138
2.295,-0.0343576411732018
2.3,-0.0347318762035457
2.305,-0.0351117232688743
2.31,-0.0354972988517692
2.315,-0.0358887227345886
2.32,-0.0362861181040298
2.325,-0.0366896116598032
2.33,-0.0370993337276148
2.335,-0.0375154183766564
2.34,-0.0379380035417982
2.345,-0.0383672311507084
2.35,-0.038803247256131
2.355,-0.0392462021735622
2.36,-0.039696250624567
2.365,-0.040153551886034
2.37,-0.0406182699456086
2.375,-0.0410905736636599
2.38,-0.0415706369420378
2.385,-0.0420586388999985
2.39,-0.0425547640576291
2.395,-0.0430592025271527
2.4,-0.0435721502125015
2.405,-0.0440938090175852
2.41,-0.0446243870636858
2.415,-0.045164098916461
2.42,-0.0457131658230324
2.425,-0.0462718159597049
2.43,-0.0468402846908685
2.435,-0.0474188148396692
2.44,-0.0480076569710829
2.445,-0.0486070696880704
2.45,-0.0492173199414971
2.455,-0.0498386833546339
2.46,-0.0504714445629388
2.465,-0.0511158975701154
2.47,-0.0517723461212417
2.475,-0.0524411040940091
2.48,-0.0531224959091028
2.485,-0.0538168569608282
2.49,-0.0545245340691801
2.495,-0.0552458859546053
2.5,-0.0559812837368748
2.505,-0.056731111459452
2.51,-0.0574957666409836
2.515,-0.0582756608555582
2.52,-0.0590712203435575
2.525,-0.0598828866550112
2.53,-0.0607111173276097
2.535,-0.0615563866015165
2.54,-0.0624191861735352
2.545,-0.0633000259931546
2.55,-0.0641994351033372
2.555,-0.0651179625291468
2.56,-0.0660561782174852
2.565,-0.0670146740315734
2.57,-0.0679940648040942
2.575,-0.0689949894532432
2.58,-0.0700181121663292
2.585,-0.0710641236559819
2.59,-0.0721337424945253
2.595,-0.0732277165325095
2.6,-0.0743468244080929
2.605,-0.0754918771545379
2.61,-0.0766637199138048
2.615,-0.0778632337651139
2.62,-0.0790913376782043
2.625,-0.0803489906020822
2.63,-0.0816371937011928
2.635,-0.0829569927523659
2.64,-0.0843094807172666
2.645,-0.0856958005069004
2.65,-0.0871171479566846
2.655,-0.0885747750327797
2.66,-0.0900699932930221
2.665,-0.0916041776288
2.67,-0.0931787703175744
2.675,-0.0947952854198354
2.68,-0.0964553135588476
2.685,-0.0981605271270884
2.69,-0.0999126859694394
2.695,-0.101713643600855
2.7,-0.103565354024853
2.705,-0.105469879229751
2.71,-0.107429397451732
2.715,-0.109446212308708
2.72,-0.111522762926547
2.725,-0.113661635200285
2.73,-0.11586557435867
2.735,-0.118137499031131
2.74,-0.120480517053961
2.745,-0.122897943298405
2.75,-0.125393319859677
2.755,-0.127970439015275
2.76,-0.130633369446911
2.765,-0.133386486327005
2.77,-0.136234506004185
2.775,-0.139182526189361
2.78,-0.142236072755007
2.785,-0.145401154527461
2.79,-0.148684327792201
2.795,-0.15209277266718
2.8,-0.15563438405832
2.805,-0.15931788063297
2.81,-0.163152936182898
2.815,-0.167150338966288
2.82,-0.171322186209376
2.825,-0.175682123032401
2.83,-0.180245637799185
2.835,-0.185030429477783
2.84,-0.190056867297252
2.845,-0.195348569098322
2.85,-0.20093313263698
2.855,-0.206843063992936
2.86,-0.213116959201695
2.865,-0.219801008627601
2.87,-0.226950906131348
2.875,-0.234634250759627
2.88,-0.242933513529693
2.885,-0.251949575326042
2.89,-0.261805659803591
2.895,-0.272651057938633
2.9,-0.284663119416378
2.905,-0.298044128469631
2.91,-0.313006221992257
2.915,-0.329731834277828
2.92,-0.348290114929352
2.925,-0.368487896424463
2.93,-0.389657088885583
2.935,-0.410462784482391
2.94,-0.428956656675402
2.945,-0.443136438025224
2.95,-0.451910676419942
2.955,-0.45576533197867
2.96,-0.456487846095139
2.965,-0.456225674340392
2.97,-0.456691675740554
2.975,-0.458905607749149
2.98,-0.46331342444669
2.985,-0.470011009907991
2.99,-0.478926881048341
2.995,-0.489934100169615
3,-0.502907596509311
