"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0268173647414427
2.005,-0.0271249877028655
2.01,-0.0274338478082957
2.015,-0.027744017410595
2.02,-0.0280555686132907
2.025,-0.0283685732835564
2.03,-0.0286831030653091
2.035,-0.0289992293924129
2.04,-0.0293170235019912
2.045,-0.0296365564478577
2.05,-0.029957899114082
2.055,-0.0302811222286981
2.06,-0.0306062963775317
2.065,-0.0309334920182233
2.07,-0.0312627794943693
2.075,-0.0315942290498611
2.08,-0.0319279108433867
2.085,-0.0322638949631363
2.09,-0.0326022514416767
2.095,-0.0329430502710597
2.1,-0.0332863614181216
2.105,-0.0336322548400182
2.11,-0.0339808004999902
2.115,-0.0343320683833664
2.12,-0.0346861285138218
2.125,-0.0350430509699024
2.13,-0.0354029059018123
2.135,-0.0357657635484965
2.14,-0.0361316942550113
2.145,-0.0365007684901945
2.15,-0.0368730568646644
2.155,-0.0372486301491393
2.16,-0.037627559293091
2.165,-0.0380099154437712
2.17,-0.0383957699655747
2.175,-0.0387851944597988
2.18,-0.0391782607847921
2.185,-0.0395750410764924
2.19,-0.0399756077694011
2.195,-0.0403800336179744
2.2,-0.0407883917184638
2.205,-0.0412007555312223
2.21,-0.0416171989034773
2.215,-0.0420377960926006
2.22,-0.0424626217898815
2.225,-0.0428917511448332
2.23,-0.0433252597900125
2.235,-0.0437632238664391
2.24,-0.0442057200495388
2.245,-0.0446528255757332
2.25,-0.0451046182695878
2.255,-0.0455611765716377
2.26,-0.0460225795668255
2.265,-0.0464889070136466
2.27,-0.0469602393739448
2.275,-0.0474366578434595
2.28,-0.0479182443830719
2.285,-0.048405081750849
2.29,-0.0488972535348269
2.295,-0.0493948441866285
2.3,-0.0498979390558878
2.305,-0.0504066244255548
2.31,-0.0509209875480495
2.315,-0.0514411166823469
2.32,-0.0519671011319868
2.325,-0.0524990312840517
2.33,-0.0530369986491251
2.335,-0.053581095902287
2.34,-0.0541314169251482
2.345,-0.0546880568489857
2.35,-0.055251112098978
2.355,-0.0558206804396089
2.36,-0.0563968610212397
2.365,-0.0569797544279209
2.37,-0.0575694627264605
2.375,-0.0581660895167629
2.38,-0.0587697399835543
2.385,-0.0593805209494389
2.39,-0.0599985409293875
2.395,-0.0606239101867132
2.4,-0.0612567407905121
2.405,-0.0618971466746761
2.41,-0.0625452436985134
2.415,-0.063201149709001
2.42,-0.06386498460473
2.425,-0.0645368704016241
2.43,-0.065216931300433
2.435,-0.0659052937561022
2.44,-0.0666020865490425
2.445,-0.0673074408583843
2.45,-0.0680214903372519
2.455,-0.0687443711901397
2.46,-0.0694762222524553
2.465,-0.0702171850722666
2.47,-0.0709674039943591
2.475,-0.0717270262466574
2.48,-0.0724962020290748
2.485,-0.0732750846048808
2.49,-0.0740638303946608
2.495,-0.0748625990729415
2.5,-0.0756715536675719
2.505,-0.0764908606619391
2.51,-0.0773206901001318
2.515,-0.0781612156950777
2.52,-0.0790126149398495
2.525,-0.0798750692221327
2.53,-0.0807487639420378
2.535,-0.0816338886333112
2.54,-0.0825306370880659
2.545,-0.0834392074851546
2.55,-0.0843598025222939
2.555,-0.0852926295520319
2.56,-0.0862379007217425
2.565,-0.0871958331176882
2.57,-0.0881666489133803
2.575,-0.0891505755222767
2.58,-0.090147845755036
2.585,-0.091158697981404
2.59,-0.0921833762969569
2.595,-0.0932221306947721
2.6,-0.0942752172422711
2.605,-0.0953428982633248
2.61,-0.0964254425258376
2.615,-0.0975231254349947
2.62,-0.0986362292323041
2.625,-0.0997650432006775
2.63,-0.100909863875719
2.635,-0.102070995263429
2.64,-0.10324874906454
2.645,-0.10444344490566
2.65,-0.105655410577559
2.655,-0.106884982280659
2.66,-0.108132504878146
2.665,-0.109398332156828
2.67,-0.110682827096046
2.675,-0.11198636214491
2.68,-0.113309319508123
2.685,-0.11465209144067
2.69,-0.116015080551697
2.695,-0.117398700117853
2.7,-0.118803374406451
2.705,-0.120229539008725
2.71,-0.121677641183581
2.715,-0.123148140212154
2.72,-0.124641507763561
2.725,-0.126158228272191
2.73,-0.127698799326988
2.735,-0.129263732073069
2.74,-0.130853551626125
2.745,-0.132468797500066
2.75,-0.134110024048288
2.755,-0.135777800919135
2.76,-0.137472713525936
2.765,-0.139195363532191
2.77,-0.140946369352398
2.775,-0.14272636666906
2.78,-0.14453600896644
2.785,-0.146375968081641
2.79,-0.148246934773602
2.795,-0.150149619310652
2.8,-0.152084752077245
2.805,-0.154053084200544
2.81,-0.156055388197607
2.815,-0.158092458643777
2.82,-0.160165112863131
2.825,-0.162274191641714
2.83,-0.164420559964348
2.835,-0.166605107775863
2.84,-0.168828750767623
2.845,-0.171092431190188
2.85,-0.173397118693112
2.855,-0.175743811192754
2.86,-0.178133535769171
2.865,-0.180567349593059
2.87,-0.183046340883853
2.875,-0.185571629900081
2.88,-0.188144369963102
2.885,-0.190765748515453
2.89,-0.193436988215002
2.895,-0.196159348066206
2.9,-0.198934124589814
2.905,-0.201762653032327
2.91,-0.204646308616748
2.915,-0.207586507835956
2.92,-0.210584709790382
2.925,-0.213642417571464
2.93,-0.216761179692565
2.935,-0.219942591569062
2.94,-0.223188297049372
2.945,-0.226499989998714
2.95,-0.229879415937539
2.955,-0.233328373736576
2.96,-0.23684871737051
2.965,-0.240442357732431
2.97,-0.244111264511219
2.975,-0.247857468134091
2.98,-0.251683061776724
2.985,-0.2555902034433
2.99,-0.259581118119019
2.995,-0.263658099997657
3,-0.267823514786869
