"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0240229808704783
2.005,-0.0242834075542575
2.01,-0.0245474709589558
2.015,-0.024815511361127
2.02,-0.0250879225280426
2.025,-0.0253651625557762
2.03,-0.0256477673558193
2.035,-0.0259363675532989
2.04,-0.026231709815238
2.045,-0.0265346839807786
2.05,-0.0268463578598632
2.055,-0.0271680222665587
2.06,-0.0275012498551555
2.065,-0.0278479727802505
2.07,-0.0282105863385638
2.075,-0.0285920889378864
2.08,-0.0289962735698018
2.085,-0.0294279934092536
2.09,-0.0298935358507986
2.095,-0.0304011579920202
2.1,-0.0309618671268034
2.105,-0.0315905808456681
2.11,-0.0323078886165533
2.115,-0.0331427896908082
2.12,-0.0341370570974602
2.125,-0.0353523836367826
2.13,-0.0368824166551549
2.135,-0.0388735914071595
2.14,-0.0415620252119897
2.145,-0.0453393300421135
2.15,-0.0508654798835262
2.155,-0.0592256791080099
2.16,-0.0719297792695814
2.165,-0.0896139573273223
2.17,-0.106826179418313
2.175,-0.109478833112897
2.18,-0.0950661505327609
2.185,-0.0774188123841785
2.19,-0.0642124200658087
2.195,-0.055589233966913
2.2,-0.0500755935193909
2.205,-0.0464998456278854
2.21,-0.0441317043364738
2.215,-0.0425353944540483
2.22,-0.0414483168067846
2.225,-0.0407080383121069
2.23,-0.0402110095948421
2.235,-0.0398892293447598
2.24,-0.0396967881243824
2.245,-0.0396019008221677
2.25,-0.0395820558993019
2.255,-0.0396209812361973
2.26,-0.0397066973851895
2.265,-0.0398302387528134
2.27,-0.039984795155797
2.275,-0.0401651240089055
2.28,-0.0403671404336567
2.285,-0.0405876266230852
2.29,-0.0408240225809358
2.295,-0.041074273309588
2.3,-0.0413367157569613
2.305,-0.0416099941649507
2.31,-0.0418929959733014
2.315,-0.0421848027822403
2.32,-0.0424846524725762
2.325,-0.0427919096803825
2.33,-0.0431060425894802
2.335,-0.0434266045458469
2.34,-0.0437532193842642
2.345,-0.0440855696362614
2.35,-0.0444233869916001
2.355,-0.0447664445351321
2.36,-0.045114550391839
2.365,-0.0454675424961039
2.37,-0.0458252842639899
2.375,-0.0461876609950325
2.38,-0.0465545768666742
2.385,-0.046925952412685
2.39,-0.0473017223987297
2.395,-0.0476818340254969
2.4,-0.0480662454031297
2.405,-0.048454924251365
2.41,-0.0488478467882575
2.415,-0.0492449967770607
2.42,-0.0496463647062773
2.425,-0.0500519470822341
2.43,-0.0504617458171003
2.435,-0.0508757676980788
2.44,-0.0512940239259482
2.445,-0.0517165297129424
2.45,-0.0521433039316225
2.455,-0.0525743688077031
2.46,-0.0530097496508042
2.465,-0.0534494746181053
2.47,-0.053893574506566
2.475,-0.0543420825700265
2.48,-0.0547950343580334
2.485,-0.055252467573706
2.49,-0.0557144219482804
2.495,-0.0561809391303598
2.5,-0.0566520625881048
2.505,-0.0571278375228854
2.51,-0.0576083107930751
2.515,-0.0580935308468626
2.52,-0.0585835476630771
2.525,-0.0590784126991799
2.53,-0.05957817884567
2.535,-0.0600829003861962
2.54,-0.0605926329628761
2.545,-0.0611074335462245
2.55,-0.0616273604093132
2.555,-0.0621524731056967
2.56,-0.0626828324508287
2.565,-0.0632185005065895
2.57,-0.0637595405687011
2.575,-0.06430601715676
2.58,-0.0648579960066868
2.585,-0.0654155440653884
2.59,-0.0659787294874684
2.595,-0.06654762163386
2.6,-0.0671222910721966
2.605,-0.0677028095788477
2.61,-0.0682892501425051
2.615,-0.0688816869691926
2.62,-0.069480195488666
2.625,-0.0700848523621069
2.63,-0.0706957354910273
2.635,-0.0713129240273612
2.64,-0.071936498384676
2.645,-0.0725665402504455
2.65,-0.073203132599388
2.655,-0.0738463597077739
2.66,-0.0744963071687551
2.665,-0.0751530619085888
2.67,-0.0758167122038309
2.675,-0.0764873476994431
2.68,-0.0771650594277613
2.685,-0.0778499398283893
2.69,-0.0785420827689482
2.695,-0.0792415835666963
2.7,-0.0799485390110286
2.705,-0.0806630473868287
2.71,-0.0813852084986958
2.715,-0.0821151236960254
2.72,-0.0828528958989757
2.725,-0.0835986296253118
2.73,-0.0843524310181115
2.735,-0.0851144078743929
2.74,-0.0858846696746184
2.745,-0.0866633276131414
2.75,-0.0874504946295426
2.755,-0.0882462854409462
2.76,-0.0890508165752691
2.765,-0.0898642064054335
2.77,-0.0906865751846106
2.775,-0.0915180450824323
2.78,-0.0923587402222462
2.785,-0.093208786719423
2.79,-0.0940683127207486
2.795,-0.0949374484448885
2.8,-0.0958163262239854
2.805,-0.0967050805464128
2.81,-0.0976038481006754
2.815,-0.0985127678205497
2.82,-0.0994319809314092
2.825,-0.100361630997845
2.83,-0.101301863972562
2.835,-0.1022528282466
2.84,-0.103214674700918
2.845,-0.104187556759353
2.85,-0.105171630443043
2.855,-0.106167054426258
2.86,-0.107173990093803
2.865,-0.108192601599898
2.87,-0.109223055928688
2.875,-0.110265522956353
2.88,-0.111320175514914
2.885,-0.112387189457708
2.89,-0.113466743726684
2.895,-0.114559020421449
2.9,-0.11566420487022
2.905,-0.116782485702644
2.91,-0.117914054924615
2.915,-0.119059107995084
2.92,-0.120217843904939
2.925,-0.121390465258024
2.93,-0.122577178354345
2.935,-0.123778193275498
2.94,-0.124993723972456
2.945,-0.126223988355663
2.95,-0.127469208387645
2.955,-0.128729610178054
2.96,-0.130005424081357
2.965,-0.131296884797118
2.97,-0.132604231473058
2.975,-0.133927707810866
2.98,-0.135267562174938
2.985,-0.136624047704039
2.99,-0.137997422426032
2.995,-0.139387949375739
3,-0.140795896715989
