"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0750322997151544
2.005,-0.0771122761452089
2.01,-0.079264262266426
2.015,-0.081491651114094
2.02,-0.0837980267542521
2.025,-0.086187177452063
2.03,-0.0886631098974466
2.035,-0.0912300645852915
2.04,-0.0938925324577568
2.045,-0.0966552729274864
2.05,-0.0995233334131159
2.055,-0.102502070532656
2.06,-0.105597173116112
2.065,-0.108814687216449
2.07,-0.112161043317921
2.075,-0.115643085963209
2.08,-0.11926810604589
2.085,-0.123043876043366
2.09,-0.126978688497138
2.095,-0.131081398083782
2.1,-0.135361467660789
2.105,-0.139829018717868
2.11,-0.144494886717092
2.115,-0.149370681864937
2.12,-0.154468855927581
2.125,-0.159802775778387
2.13,-0.165386804455097
2.135,-0.171236390605808
2.14,-0.177368167318644
2.145,-0.183800061463471
2.15,-0.190551414826862
2.155,-0.197643118497796
2.16,-0.205097762164665
2.165,-0.212939800218891
2.17,-0.221195736832019
2.175,-0.229894332488157
2.18,-0.239066834819344
2.185,-0.24874723701747
2.19,-0.258972567592875
2.195,-0.269783215830294
2.2,-0.281223297972496
2.205,-0.293341069959653
2.21,-0.306189393490673
2.215,-0.319826263278269
2.22,-0.334315404675866
2.225,-0.349726952400484
2.23,-0.366138222910854
2.235,-0.38363459518225
2.24,-0.402310517221514
2.245,-0.422270658775285
2.25,-0.443631234409339
2.255,-0.466521525610764
2.26,-0.491085635950463
2.265,-0.517484519843786
2.27,-0.545898333312714
2.275,-0.576529164694391
2.28,-0.609604214844857
2.285,-0.645379510536189
2.29,-0.684144252042094
2.295,-0.726225917106902
2.3,-0.771996269544427
2.305,-0.821878452810773
2.31,-0.876355388547797
2.315,-0.935979749214964
2.32,-1.00138583494998
2.325,-1.07330376083699
2.33,-1.15257645582316
2.335,-1.24018009381093
2.34,-1.33724872779043
2.345,-1.44510408834325
2.35,-1.56529175074958
2.355,-1.6996251873055
2.36,-1.8502396275544
2.365,-2.01965818450766
2.37,-2.21087342339766
2.375,-2.42744853518176
2.38,-2.67364366521813
2.385,-2.95457496138408
2.39,-3.27641692026306
2.395,-3.64666326225502
2.4,-4.07446894460217
2.405,-4.57110786958523
2.41,-5.15060040623666
2.415,-5.83059667613625
2.42,-6.6336512422122
2.425,-7.58909177980525
2.43,-8.7357230818345
2.435,-10.1253357211314
2.44,-11.8249035175028
2.445,-13.9034617691776
2.45,-16.3268407614348
2.455,-18.4640536110238
2.46,-18.5706393094373
2.465,-16.5441203587989
2.47,-14.146309904855
2.475,-12.0774145450195
2.48,-10.3876588770456
2.485,-9.00909735400434
2.49,-7.87364087369703
2.495,-6.92849589550715
2.5,-6.13424655959967
2.505,-5.46127896947072
2.51,-4.88697533003635
2.515,-4.39376201971292
2.52,-3.96777471635662
2.525,-3.59793392206856
2.53,-3.27529050504605
2.535,-2.99255131329689
2.54,-2.74372762981931
2.545,-2.52386957673265
2.55,-2.32886215932048
2.555,-2.15526651792417
2.56,-2.00019498629785
2.565,-1.86121184730837
2.57,-1.73625388860633
2.575,-1.62356638587501
2.58,-1.52165121871021
2.585,-1.42922460229716
2.59,-1.34518249078539
2.595,-1.26857213666735
2.6,-1.19856861525047
2.605,-1.13445537229452
2.61,-1.07560804553219
2.615,-1.02148096100777
2.62,-0.971595823075076
2.625,-0.925532209969362
2.63,-0.882919560709192
2.635,-0.843430397932228
2.64,-0.806774578361467
2.645,-0.772694400430087
2.65,-0.740960429093716
2.655,-0.711367922535844
2.66,-0.683733765502002
2.665,-0.657893830309516
2.67,-0.633700699903735
2.675,-0.611021698248167
2.68,-0.589737182307548
2.685,-0.569739057276472
2.69,-0.550929482817137
2.695,-0.533219743134991
2.7,-0.516529257930091
2.705,-0.500784714769907
2.71,-0.485919306359907
2.715,-0.47187205864312
2.72,-0.458587237721591
2.725,-0.446013825327967
2.73,-0.434105054040247
2.735,-0.422817994671505
2.74,-0.412113189316919
2.745,-0.401954324433119
2.75,-0.39230793908508
2.755,-0.383143164144887
2.76,-0.374431488781687
2.765,-0.366146551058124
2.77,-0.358263949857223
2.775,-0.350761075715441
2.78,-0.343616958441085
2.785,-0.336812129659321
2.79,-0.330328498651988
2.795,-0.324149240057126
2.8,-0.318258692164235
2.805,-0.312642264689978
2.81,-0.307286355048817
2.815,-0.302178272246469
2.82,-0.297306167622995
2.825,-0.292658971759462
2.83,-0.28822633693808
2.835,-0.283998584612893
2.84,-0.279966657407
2.845,-0.276122075204354
2.85,-0.272456894950005
2.855,-0.268963673813351
2.86,-0.265635435404894
2.865,-0.262465638768777
2.87,-0.259448149901868
2.875,-0.256577215575149
2.88,-0.253847439255692
2.885,-0.251253758947419
2.89,-0.24879142678671
2.895,-0.246455990244839
2.9,-0.244243274803524
2.905,-0.242149367982583
2.91,-0.240170604610187
2.915,-0.238303553236613
2.92,-0.236545003601393
2.925,-0.234891955072434
2.93,-0.233341605982896
2.935,-0.231891343798644
2.94,-0.230538736055038
2.945,-0.229281522007532
2.95,-0.228117604945463
2.955,-0.227045045123053
2.96,-0.22606205326577
2.965,-0.225166984613955
2.97,-0.224358333469071
2.975,-0.22363472821107
2.98,-0.222994926758252
2.985,-0.22243781244358
2.99,-0.221962390283854
2.995,-0.221567783620335
3,-0.221253231111463
