"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0360350410661655
2.005,-0.0366965634421063
2.01,-0.037375471359016
2.015,-0.0380722779249207
2.02,-0.038787517920959
2.025,-0.0395217488480059
2.03,-0.0402755520330718
2.035,-0.0410495337993788
2.04,-0.0418443267042993
2.045,-0.0426605908496621
2.05,-0.0434990152692271
2.055,-0.0443603193985841
2.06,-0.0452452546330051
2.065,-0.0461546059793286
2.07,-0.0470891938083418
2.075,-0.0480498757146407
2.08,-0.0490375484915498
2.085,-0.0500531502292245
2.09,-0.0510976625447225
2.095,-0.0521721129535863
2.1,-0.0532775773931713
2.105,-0.0544151829088837
2.11,-0.0555861105153532
2.115,-0.0567915982455661
2.12,-0.0580329444021911
2.125,-0.0593115110263554
2.13,-0.0606287276006052
2.135,-0.0619860950041516
2.14,-0.063385189740117
2.145,-0.0648276684562025
2.15,-0.0663152727821225
2.155,-0.0678498345093108
2.16,-0.0694332811405738
2.165,-0.071067641840096
2.17,-0.0727550538168267
2.175,-0.0744977691775105
2.18,-0.0762981622889632
2.185,-0.0781587376930346
2.19,-0.0800821386218047
2.195,-0.0820711561652659
2.2,-0.0841287391488669
2.205,-0.0862580047839276
2.21,-0.0884622501603714
2.215,-0.0907449646581924
2.22,-0.0931098433619063
2.225,-0.0955608015710766
2.23,-0.0981019905095892
2.235,-0.100737814347458
2.24,-0.103472948660888
2.245,-0.106312360470209
2.25,-0.109261330010381
2.255,-0.11232547440609
2.26,-0.115510773442661
2.265,-0.118823597645774
2.27,-0.122270738907421
2.275,-0.125859443923152
2.28,-0.129597450736889
2.285,-0.133493028724752
2.29,-0.137555022389579
2.295,-0.141792899382898
2.3,-0.146216803222931
2.305,-0.150837611235746
2.31,-0.15566699831367
2.315,-0.16071750716135
2.32,-0.166002625787328
2.325,-0.171536873098913
2.33,-0.177335893573031
2.335,-0.183416562107622
2.34,-0.189797100310062
2.345,-0.196497205654361
2.35,-0.203538195141363
2.355,-0.21094316533065
2.36,-0.218737170884766
2.365,-0.226947424082633
2.37,-0.235603518127044
2.375,-0.244737677500954
2.38,-0.254385039129758
2.385,-0.26458396869576
2.39,-0.275376417142915
2.395,-0.286808323224445
2.4,-0.298930068907081
2.405,-0.311796995582409
2.41,-0.325469990383686
2.415,-0.340016153508209
2.42,-0.355509559353957
2.425,-0.372032126559023
2.43,-0.389674614762644
2.435,-0.408537769185232
2.44,-0.428733638072372
2.445,-0.450387092813715
2.45,-0.473637586318194
2.455,-0.498641192233001
2.46,-0.525572976125332
2.465,-0.554629760164631
2.47,-0.586033355605416
2.475,-0.620034353050476
2.48,-0.656916579797969
2.485,-0.697002357465046
2.49,-0.740658722707809
2.495,-0.788304810721175
2.5,-0.840420647223879
2.505,-0.897557652288688
2.51,-0.960351231870117
2.515,-1.02953592438479
2.52,-1.10596368568772
2.525,-1.19062604350729
2.53,-1.2846810415545
2.535,-1.38948613728146
2.54,-1.50663853384604
2.545,-1.63802484198993
2.55,-1.7858825186306
2.555,-1.95287627193758
2.56,-2.14219364409122
2.565,-2.35766542161796
2.57,-2.60391860960634
2.575,-2.88657283569172
2.58,-3.21249592219383
2.585,-3.59014225389874
2.59,-4.03001085673766
2.595,-4.54528336840815
2.6,-5.15274440017188
2.605,-5.87416678509186
2.61,-6.73850173045729
2.615,-7.78553827971697
2.62,-9.07239719682015
2.625,-10.6857994673258
2.63,-12.7665036561897
2.635,-15.556373404319
2.64,-19.4143436331738
2.645,-23.3928459747408
2.65,-21.2450740605707
2.655,-17.0027129610889
2.66,-13.8658854180299
2.665,-11.5716024057804
2.67,-9.82169186328527
2.675,-8.44211938877207
2.68,-7.3285718184577
2.685,-6.41421774342019
2.69,-5.65361673210074
2.695,-5.0143773865859
2.7,-4.47255542214484
2.705,-4.00995417706768
2.71,-3.61244984236918
2.715,-3.26889966701189
2.72,-2.97039917947842
2.725,-2.70975842297109
2.73,-2.48112160872233
2.735,-2.27968428669683
2.74,-2.10147900152231
2.745,-1.94321036389748
2.75,-1.80212657888637
2.755,-1.67591836057997
2.76,-1.56263872245263
2.765,-1.46063887138823
2.77,-1.36851664707498
2.775,-1.28507481590832
2.78,-1.2092871608613
2.785,-1.14027077732016
2.79,-1.07726333678659
2.795,-1.01960434762541
2.8,-0.966719646943042
2.805,-0.918108516023797
2.81,-0.873332934945921
2.815,-0.832008588426976
2.82,-0.793797310830727
2.825,-0.758400718274983
2.83,-0.725554823449076
2.835,-0.695025466778008
2.84,-0.666604428030225
2.845,-0.640106106956996
2.85,-0.615364681316304
2.855,-0.592231666641674
2.86,-0.570573815125421
2.865,-0.550271301594011
2.87,-0.531216153231326
2.875,-0.513310886827938
2.88,-0.496467323197779
2.885,-0.480605553245208
2.89,-0.46565303417514
2.895,-0.451543797669416
2.9,-0.438217754626553
2.905,-0.425620083378947
2.91,-0.413700690242072
2.915,-0.402413732879525
2.92,-0.391717198339467
2.925,-0.381572528775685
2.93,-0.371944288845944
2.935,-0.362799869610952
2.94,-0.354109224463392
2.945,-0.345844633218095
2.95,-0.337980491008169
2.955,-0.330493119071597
2.96,-0.32336059488986
2.965,-0.316562599464246
2.97,-0.310080279794477
2.975,-0.303896124865299
2.98,-0.297993853654637
2.985,-0.292358313857445
2.99,-0.28697539017584
2.995,-0.281831921162141
3,-0.276915623719982
