"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00276373333741809
2.005,-0.00277138760062909
2.01,-0.00277906132042141
2.015,-0.00278675450777788
2.02,-0.00279446717482748
2.025,-0.00280219933487624
2.03,-0.00280995100246315
2.035,-0.00281772219339881
2.04,-0.00282551292480977
2.045,-0.00283332321519544
2.05,-0.00284115308446287
2.055,-0.0028490025539894
2.06,-0.00285687164666615
2.065,-0.00286476038695292
2.07,-0.00287266880093424
2.075,-0.00288059691637044
2.08,-0.00288854476276327
2.085,-0.00289651237140319
2.09,-0.00290449977543979
2.095,-0.00291250700993775
2.1,-0.00292053411194244
2.105,-0.00292858112054264
2.11,-0.00293664807694291
2.115,-0.00294473502453108
2.12,-0.00295284200894007
2.125,-0.00296096907813658
2.13,-0.00296911628247807
2.135,-0.00297728367480826
2.14,-0.0029854713105169
2.145,-0.0029936792476325
2.15,-0.00300190754690421
2.155,-0.00301015627188201
2.16,-0.00301842548900832
2.165,-0.00302671526770481
2.17,-0.00303502568047183
2.175,-0.00304335680297425
2.18,-0.00305170871413988
2.185,-0.00306008149626849
2.19,-0.00306847523512445
2.195,-0.00307689002004285
2.2,-0.00308532594404528
2.205,-0.00309378310394499
2.21,-0.00310226160046175
2.215,-0.0031107615383395
2.22,-0.00311928302646894
2.225,-0.00312782617800616
2.23,-0.00313639111050487
2.235,-0.00314497794604951
2.24,-0.00315358681137591
2.245,-0.0031622178380198
2.25,-0.00317087116246259
2.255,-0.00317954692626735
2.26,-0.00318824527622455
2.265,-0.00319696636451896
2.27,-0.00320571034887726
2.275,-0.00321447739273116
2.28,-0.00322326766538619
2.285,-0.00323208134218963
2.29,-0.00324091860470802
2.295,-0.00324977964090377
2.3,-0.00325866464532616
2.305,-0.00326757381928989
2.31,-0.00327650737109216
2.315,-0.00328546551618537
2.32,-0.00329444847740295
2.325,-0.00330345648516867
2.33,-0.0033124897777061
2.335,-0.00332154860127305
2.34,-0.00333063321038155
2.345,-0.00333974386803909
2.35,-0.00334888084598889
2.355,-0.0033580444249656
2.36,-0.0033672348949481
2.365,-0.00337645255541712
2.37,-0.00338569771563509
2.375,-0.00339497069491727
2.38,-0.00340427182292412
2.385,-0.00341360143995753
2.39,-0.00342295989724935
2.395,-0.00343234755728748
2.4,-0.0034417647941286
2.405,-0.00345121199372617
2.41,-0.00346068955427589
2.415,-0.00347019788655055
2.42,-0.00347973741426382
2.425,-0.00348930857444366
2.43,-0.00349891181780574
2.435,-0.00350854760913078
2.44,-0.00351821642768233
2.445,-0.00352791876760628
2.45,-0.00353765513835544
2.455,-0.00354742606513438
2.46,-0.00355723208932592
2.465,-0.00356707376897075
2.47,-0.00357695167923062
2.475,-0.00358686641288136
2.48,-0.00359681858080705
2.485,-0.00360680881252103
2.49,-0.00361683775669568
2.495,-0.0036269060817096
2.5,-0.0036370144761976
2.505,-0.00364716364965288
2.51,-0.00365735433299635
2.515,-0.00366758727920486
2.52,-0.00367786326394324
2.525,-0.00368818308619832
2.53,-0.003698547568966
2.535,-0.00370895755992096
2.54,-0.0037194139321462
2.545,-0.00372991758483748
2.55,-0.00374046944407826
2.555,-0.00375107046359621
2.56,-0.00376172162557098
2.565,-0.00377242394144479
2.57,-0.00378317845277453
2.575,-0.00379398623210804
2.58,-0.00380484838385836
2.585,-0.00381576604525919
2.59,-0.0038267403872874
2.595,-0.00383777261566861
2.6,-0.00384886397186639
2.605,-0.00386001573414086
2.61,-0.00387122921861705
2.615,-0.00388250578038019
2.62,-0.00389384681463671
2.625,-0.0039052537578771
2.63,-0.00391672808908708
2.635,-0.00392827133100702
2.64,-0.00393988505140775
2.645,-0.0039515708644301
2.65,-0.00396333043195336
2.655,-0.00397516546500239
2.66,-0.00398707772521454
2.665,-0.00399906902633557
2.67,-0.00401114123577726
2.675,-0.00402329627621087
2.68,-0.00403553612722899
2.685,-0.00404786282704028
2.69,-0.00406027847423085
2.695,-0.00407278522957768
2.7,-0.00408538531793352
2.705,-0.00409808103014076
2.71,-0.00411087472504466
2.715,-0.00412376883154819
2.72,-0.00413676585074306
2.725,-0.00414986835809285
2.73,-0.00416307900573305
2.735,-0.00417640052478545
2.74,-0.0041898357277972
2.745,-0.00420338751123764
2.75,-0.0042170588580783
2.755,-0.00423085284047028
2.76,-0.00424477262250473
2.765,-0.0042588214630602
2.77,-0.00427300271874746
2.775,-0.00428731984697116
2.78,-0.00430177640906106
2.785,-0.00431637607355082
2.79,-0.00433112261952069
2.795,-0.00434601994010419
2.8,-0.0043610720460779
2.805,-0.00437628306958733
2.81,-0.00439165726800799
2.815,-0.00440719902793199
2.82,-0.00442291286929071
2.825,-0.00443880344962531
2.83,-0.00445487556851835
2.835,-0.00447113417214813
2.84,-0.00448758435804869
2.845,-0.00450423137999529
2.85,-0.00452108065309074
2.855,-0.00453813775902368
2.86,-0.00455540845150925
2.865,-0.00457289866194522
2.87,-0.00459061450523408
2.875,-0.00460856228586405
2.88,-0.00462674850417062
2.885,-0.0046451798628414
2.89,-0.00466386327367024
2.895,-0.00468280586452562
2.9,-0.0047020149866166
2.905,-0.00472149822201169
2.91,-0.00474126339140894
2.915,-0.0047613185622401
2.92,-0.00478167205705591
2.925,-0.00480233246221848
2.93,-0.00482330863694333
2.935,-0.00484460972266308
2.94,-0.00486624515275813
2.945,-0.00488822466265836
2.95,-0.00491055830033204
2.955,-0.00493325643716513
2.96,-0.0049563297792877
2.965,-0.004979789379312
2.97,-0.00500364664855052
2.975,-0.005027913369694
2.98,-0.00505260171000143
2.985,-0.00507772423500593
2.99,-0.00510329392275491
2.995,-0.00512932417863386
3,-0.00515582885077647
