"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00248836606169603
2.005,-0.00249470500331498
2.01,-0.00250105791105672
2.015,-0.00250742474565194
2.02,-0.00251380546779072
2.025,-0.00252020003814192
2.03,-0.0025266084173695
2.035,-0.00253303056615666
2.04,-0.0025394664452261
2.045,-0.00254591601535643
2.05,-0.00255237923741783
2.055,-0.00255885607238269
2.06,-0.00256534648135549
2.065,-0.00257185042559981
2.07,-0.00257836786657021
2.075,-0.00258489876592661
2.08,-0.00259144308557875
2.085,-0.00259800078770638
2.09,-0.0026045718347979
2.095,-0.00261115618967251
2.1,-0.00261775381553521
2.105,-0.00262436467599031
2.11,-0.00263098873508962
2.115,-0.00263762595737014
2.12,-0.00264427630790128
2.125,-0.00265093975230223
2.13,-0.00265761625682302
2.135,-0.00266430578835315
2.14,-0.00267100831449784
2.145,-0.00267772380360503
2.15,-0.00268445222483003
2.155,-0.00269119354818178
2.16,-0.00269794774458076
2.165,-0.00270471478591591
2.17,-0.00271149464509962
2.175,-0.0027182872961391
2.18,-0.00272509271418556
2.185,-0.00273191087561725
2.19,-0.00273874175809531
2.195,-0.002745585340642
2.2,-0.00275244160371299
2.205,-0.0027593105292823
2.21,-0.00276619210090303
2.215,-0.00277308630381545
2.22,-0.0027799931250174
2.225,-0.00278691255335497
2.23,-0.00279384457962671
2.235,-0.00280078919666946
2.24,-0.0028077463994674
2.245,-0.00281471618524751
2.25,-0.00282169855359732
2.255,-0.00282869350657388
2.26,-0.0028357010488205
2.265,-0.00284272118768833
2.27,-0.00284975393336463
2.275,-0.002856799299005
2.28,-0.00286385730086353
2.285,-0.0028709279584424
2.29,-0.00287801129463274
2.295,-0.00288510733587375
2.3,-0.00289221611230228
2.305,-0.00289933765792262
2.31,-0.00290647201078401
2.315,-0.00291361921314462
2.32,-0.00292077931166938
2.325,-0.00292795235760646
2.33,-0.00293513840701019
2.335,-0.00294233752092046
2.34,-0.00294954976559428
2.345,-0.00295677521272767
2.35,-0.00296401393968623
2.355,-0.00297126602974151
2.36,-0.00297853157232669
2.365,-0.00298581066329606
2.37,-0.00299310340519518
2.375,-0.00300040990754163
2.38,-0.00300773028711537
2.385,-0.00301506466826657
2.39,-0.00302241318322714
2.395,-0.00302977597243979
2.4,-0.00303715318490336
2.405,-0.00304454497852019
2.41,-0.00305195152047041
2.415,-0.00305937298759307
2.42,-0.00306680956678356
2.425,-0.00307426145541529
2.43,-0.00308172886176221
2.435,-0.0030892120054465
2.44,-0.00309671111791707
2.445,-0.00310422644292621
2.45,-0.00311175823703218
2.455,-0.00311930677013472
2.46,-0.00312687232601145
2.465,-0.00313445520289478
2.47,-0.00314205571406341
2.475,-0.00314967418845775
2.48,-0.0031573109713168
2.485,-0.0031649664248621
2.49,-0.00317264092897988
2.495,-0.00318033488194948
2.5,-0.00318804870120744
2.505,-0.00319578282411842
2.51,-0.00320353770881453
2.515,-0.00321131383502894
2.52,-0.00321911170500957
2.525,-0.00322693184442497
