"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-5.1999935482214
2.005,-4.46482113307502
2.01,-3.76929502833268
2.015,-3.16676231303213
2.02,-2.66612511519334
2.025,-2.25764997208152
2.03,-1.92626912177241
2.035,-1.65715233276645
2.04,-1.4375747937003
2.045,-1.25723505889145
2.05,-1.10801163122456
2.055,-0.983572667167948
2.06,-0.8789961451005
2.065,-0.790449591860449
2.07,-0.714936026366966
2.075,-0.650098186118682
2.08,-0.594069687539439
2.085,-0.545362445761955
2.09,-0.502781544445863
2.095,-0.465360694433419
2.1,-0.432313088106433
2.105,-0.402993774087158
2.11,-0.376870678124947
2.115,-0.353502141664665
2.12,-0.332519399527328
2.125,-0.313612822151603
2.13,-0.296521044585735
2.135,-0.281022322808388
2.14,-0.266927619243429
2.145,-0.254075038977311
2.15,-0.242325327387983
2.155,-0.231558206757076
2.16,-0.221669379837426
2.165,-0.212568066556182
2.17,-0.204174969164402
2.175,-0.196420583480107
2.18,-0.18924379109384
2.185,-0.182590680757466
2.19,-0.176413557583665
2.195,-0.170670106837316
2.2,-0.165322685520629
2.205,-0.160337720035189
2.21,-0.155685192244226
2.215,-0.151338199485927
2.22,-0.147272576678264
2.225,-0.143466570742924
2.23,-0.139900559264804
2.235,-0.136556806676034
2.24,-0.133419252372902
2.245,-0.130473326090931
2.25,-0.127705786616712
2.255,-0.1251045805366
2.26,-0.122658718236664
2.265,-0.120358164795462
2.27,-0.118193743766961
2.275,-0.116157052148395
2.28,-0.114240385076979
2.285,-0.112436669009157
2.29,-0.110739402312579
2.295,-0.109142602350556
2.3,-0.107640758265281
2.305,-0.106228788773866
2.31,-0.10490200438294
2.315,-0.103656073506027
2.32,-0.102486992034951
2.325,-0.101391055974378
2.33,-0.100364836798067
2.335,-0.0994051592283057
2.34,-0.098509081177181
2.345,-0.0976738756202673
2.35,-0.0968970142015679
2.355,-0.0961761523927253
2.36,-0.0955091160511023
2.365,-0.0948938892400147
2.37,-0.0943286031911472
2.375,-0.0938115263038435
2.38,-0.0933410550893983
2.385,-0.0929157059802919
2.39,-0.0925341079354362
2.395,-0.0921949957826729
2.4,-0.091897204249476
2.405,-0.0916396626422628
2.41,-0.0914213901441894
2.415,-0.0912414917109984
2.42,-0.0910991545550077
2.425,-0.0909936452189011
2.43,-0.0909243072542392
2.435,-0.0908905595354978
2.44,-0.0908918952595999
2.445,-0.0909278817051441
2.45,-0.0909981608563155
2.455,-0.0911024510366606
2.46,-0.091240549751155
2.465,-0.0914123380064912
2.47,-0.0916177864768994
2.475,-0.0918569640172706
2.48,-0.0921300492134026
2.485,-0.0924373459255376
2.49,-0.0927793041642376
2.495,-0.0931565481955274
2.5,-0.0935699145981381
2.505,-0.0940205042384461
2.51,-0.0945097540322587
2.515,-0.0950395373352762
2.52,-0.095612306544968
2.525,-0.0962312992342702
2.53,-0.0969008420923299
2.535,-0.0976268092571939
2.54,-0.098417331274391
2.545,-0.099283923907835
2.55,-0.100243345864087
2.555,-0.101320774772973
2.56,-0.102555482427644
2.565,-0.10401151617206
2.57,-0.105799078205731
2.575,-0.108120589954324
2.58,-0.111379157637226
2.585,-0.116462458099727
2.59,-0.125576897526832
2.595,-0.144851048285792
2.6,-0.188193776681469
2.605,-0.221937274898564
2.61,-0.173065411921115
2.615,-0.140059076869974
2.62,-0.127207609814634
2.625,-0.122054850170731
2.63,-0.120006222086409
2.635,-0.119398204157854
2.64,-0.119548124167533
2.645,-0.12014121279421
2.65,-0.121018087493417
2.655,-0.122091883916474
2.66,-0.123312459539503
2.665,-0.124649557976041
2.67,-0.126084312470876
2.675,-0.127604697837146
2.68,-0.129202971905953
2.685,-0.130874173958228
2.69,-0.132615210870399
2.695,-0.134424283227962
2.7,-0.136300515032892
2.705,-0.13824370913246
2.71,-0.140254182437236
2.715,-0.142332653042533
2.72,-0.144480161881009
2.725,-0.146698017829891
2.73,-0.148987759061213
2.735,-0.15135112585036
2.74,-0.153790041613868
2.745,-0.156306599963581
2.75,-0.15890305623983
2.755,-0.161581822442712
2.76,-0.164345464793517
2.765,-0.16719670337621
2.77,-0.170138413462509
2.775,-0.173173628233772
2.78,-0.176305542692444
2.785,-0.17953751861399
2.79,-0.182873090433528
2.795,-0.186315971993837
2.8,-0.189870064106331
2.805,-0.193539462895816
2.81,-0.197328468914981
2.815,-0.201241597026711
2.82,-0.205283587062328
2.825,-0.209459415272041
2.83,-0.213774306590985
2.835,-0.218233747750353
2.84,-0.222843501268497
2.845,-0.227609620361779
2.85,-0.232538464819441
2.855,-0.237636717890779
2.86,-0.242911404236882
2.865,-0.248369909002578
2.87,-0.254019998067703
2.875,-0.259869839539658
2.88,-0.265928026552069
2.885,-0.272203601436516
2.89,-0.278706081336281
2.895,-0.2854454853322
2.9,-0.292432363151366
2.905,-0.299677825528998
2.91,-0.307193576292357
2.915,-0.314991946232855
2.92,-0.323085928827944
2.925,-0.331489217867881
2.93,-0.340216247033557
2.935,-0.349282231459418
2.94,-0.35870321129999
2.945,-0.368496097298442
2.95,-0.378678718330269
2.955,-0.389269870863543
2.96,-0.400289370238156
2.965,-0.411758103618079
2.97,-0.423698084411965
2.975,-0.436132507885917
2.98,-0.449085807605663
2.985,-0.46258371224137
2.99,-0.476653302143346
2.995,-0.49132306494777
3,-0.506622949293861
