"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.021110768794974
2.005,-0.0212644501761607
2.01,-0.0214190980698461
2.015,-0.0215747188849001
2.02,-0.0217313191212103
2.025,-0.02188890537065
2.03,-0.0220474843180776
2.035,-0.0222070627423084
2.04,-0.022367647517152
2.045,-0.0225292456124286
2.05,-0.0226918640950293
2.055,-0.0228555101299625
2.06,-0.0230201909814544
2.065,-0.0231859140140198
2.07,-0.023352686693599
2.075,-0.0235205165886663
2.08,-0.0236894113713974
2.085,-0.0238593788188168
2.09,-0.0240304268139938
2.095,-0.0242025633472299
2.1,-0.0243757965172931
2.105,-0.0245501345326377
2.11,-0.0247255857126722
2.115,-0.0249021584890324
2.12,-0.0250798614068695
2.125,-0.0252587031261648
2.13,-0.0254386924230734
2.135,-0.0256198381912588
2.14,-0.0258021494432789
2.145,-0.0259856353119758
2.15,-0.026170305051889
2.155,-0.026356168040694
2.16,-0.0265432337806543
2.165,-0.026731511900105
2.17,-0.0269210121549424
2.175,-0.0271117444301644
2.18,-0.027303718741395
2.185,-0.027496945236473
2.19,-0.0276914341970193
2.195,-0.0278871960400698
2.2,-0.0280842413197084
2.205,-0.0282825807287274
2.21,-0.0284822251003091
2.215,-0.0286831854097497
2.22,-0.0288854727761878
2.225,-0.0290890984643677
2.23,-0.0292940738864243
2.235,-0.0295004106037038
2.24,-0.0297081203286049
2.245,-0.0299172149264361
2.25,-0.0301277064173242
2.255,-0.0303396069781306
2.26,-0.0305529289443997
2.265,-0.0307676848123512
2.27,-0.0309838872408665
2.275,-0.0312015490535555
2.28,-0.0314206832407974
2.285,-0.0316413029618635
2.29,-0.0318634215470281
2.295,-0.0320870524997326
2.3,-0.0323122094987887
2.305,-0.0325389064005863
2.31,-0.0327671572413621
2.315,-0.0329969762394837
2.32,-0.0332283777977764
2.325,-0.0334613765058758
2.33,-0.0336959871426257
2.335,-0.0339322246784956
2.34,-0.0341701042780578
2.345,-0.0344096413024696
2.35,-0.0346508513120228
2.355,-0.0348937500687091
2.36,-0.035138353538825
2.365,-0.0353846778956376
2.37,-0.0356327395220475
2.375,-0.0358825550133443
2.38,-0.036134141179948
2.385,-0.0363875150502342
2.39,-0.0366426938733759
2.395,-0.0368996951222349
2.4,-0.0371585364962975
2.405,-0.0374192359246469
2.41,-0.0376818115689925
2.415,-0.0379462818267313
2.42,-0.0382126653340511
2.425,-0.0384809809691035
2.43,-0.038751247855188
2.435,-0.0390234853640195
2.44,-0.0392977131190223
2.445,-0.0395739509986634
2.45,-0.0398522191398777
2.455,-0.0401325379414912
2.46,-0.04041492806773
2.465,-0.040699410451773
2.47,-0.0409860062993531
2.475,-0.0412747370924074
2.48,-0.0415656245928008
2.485,-0.0418586908460893
2.49,-0.0421539581853386
2.495,-0.0424514492350045
2.5,-0.0427511869148821
2.505,-0.043053194444083
2.51,-0.0433574953451098
2.515,-0.0436641134479636
2.52,-0.0439730728943307
2.525,-0.04428439814181
2.53,-0.0445981139682373
2.535,-0.0449142454760412
2.54,-0.0452328180966799
