"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.101097492273228
2.005,-0.105538472862882
2.01,-0.110268802899313
2.015,-0.115313394946618
2.02,-0.120699854355156
2.025,-0.126458832290446
2.03,-0.132624433386377
2.035,-0.139234687808871
2.04,-0.146332099515845
2.045,-0.15396428495883
2.05,-0.162184719510038
2.055,-0.17105361266684
2.06,-0.180638937779994
2.065,-0.191017647926011
2.07,-0.202277116928372
2.075,-0.214516853860587
2.08,-0.227850551206545
2.085,-0.242408541966313
2.09,-0.258340760385723
2.095,-0.275820326005089
2.1,-0.295047903186939
2.105,-0.316257030664668
2.11,-0.339720671328787
2.115,-0.365759306076438
2.12,-0.394750993521189
2.125,-0.427143948660426
2.13,-0.463472370824312
2.135,-0.504376492216483
2.14,-0.550628148540709
2.145,-0.603163629163674
2.15,-0.663126199004208
2.155,-0.731921575358858
2.16,-0.811290904470276
2.165,-0.903407585062618
2.17,-1.01100688571247
2.175,-1.13756109122061
2.18,-1.28751849814061
2.185,-1.46663292870937
2.19,-1.68242313805964
2.195,-1.94482130336513
2.2,-2.26710178554658
2.205,-2.66723573852579
2.21,-3.16991637865026
2.215,-3.80969828935329
2.22,-4.63613667081556
2.225,-5.72292032772852
2.23,-7.18613736430223
2.235,-9.2272281186711
2.24,-12.2594458408416
2.245,-17.4442723117493
2.25,-32.0720084248733
2.255,-20.2617383332892
2.26,-13.7088316608091
2.265,-10.2231126758744
2.27,-7.95915606061024
2.275,-6.36380047129289
2.28,-5.18902672356273
2.285,-4.29909253764426
2.29,-3.61075339334407
2.295,-3.06933175807163
2.3,-2.63731116929926
2.305,-2.28817290079524
2.31,-2.00275604466067
2.315,-1.76697185763823
2.32,-1.57030656441934
2.325,-1.404810848024
2.33,-1.26440244630154
2.335,-1.14437626738544
2.34,-1.04105514626006
2.345,-0.951537614843255
2.35,-0.873513584973018
2.355,-0.805128188668564
2.36,-0.744880166004475
2.365,-0.691545304504931
2.37,-0.644118227645491
2.375,-0.601767751486945
2.38,-0.563802365075916
2.385,-0.529643329798604
2.39,-0.498803559806097
2.395,-0.470870923444956
2.4,-0.445494950980482
2.405,-0.422376185626637
2.41,-0.401257599866102
2.415,-0.381917636019379
2.42,-0.364164532214569
2.425,-0.347831671699927
2.43,-0.332773751543036
2.435,-0.318863611013257
2.44,-0.305989593864805
2.445,-0.29405334489835
2.45,-0.282967961473534
2.455,-0.272656436478924
2.46,-0.263050341686639
2.465,-0.254088710214098
2.47,-0.245717084578639
2.475,-0.237886703013947
2.48,-0.230553801664958
2.485,-0.223679014255066
2.49,-0.217226854030251
2.495,-0.211165265387867
2.5,-0.205465234716884
2.505,-0.200100451708063
2.51,-0.195047013813012
2.515,-0.190283167700735
2.52,-0.18578908252642
2.525,-0.18154665062846
2.53,-0.177539311935963
2.535,-0.173751898925061
2.54,-0.170170499427722
2.545,-0.166782334987543
2.55,-0.163575652785863
2.555,-0.160539629439519
2.56,-0.157664285206472
2.565,-0.154940407335416
2.57,-0.152359481465251
2.575,-0.149913630125254
2.58,-0.147595557510883
2.585,-0.145398499816278
2.59,-0.143316180495994
2.595,-0.141342769907021
2.6,-0.139472848850155
2.605,-0.137701375588367
2.61,-0.136023655970761
2.615,-0.134435316334885
2.62,-0.132932278898664
2.625,-0.13151073938659
2.63,-0.130167146664302
2.635,-0.128898184181174
2.64,-0.127700753043061
2.645,-0.126571956557154
2.65,-0.125509086108185
2.655,-0.12450960824075
2.66,-0.123571152835885
2.665,-0.122691502282262
2.67,-0.121868581552949
2.675,-0.121100449108271
2.68,-0.12038528855384
2.685,-0.119721400990472
2.69,-0.119107197999649
2.695,-0.11854119521445
2.7,-0.11802200643165
2.705,-0.11754833822592
2.71,-0.117118985032113
2.715,-0.11673282466612
2.72,-0.116388814259444
2.725,-0.116085986586857
2.73,-0.115823446770901
2.735,-0.115600369351472
2.74,-0.115415995713297
2.745,-0.11526963186911
2.75,-0.115160646601707
2.755,-0.115088469974263
2.76,-0.115052592225134
2.765,-0.115052563071648
2.77,-0.115087991456983
2.775,-0.115158545785908
2.78,-0.115263954709373
2.785,-0.115404008535431
2.79,-0.115578561365647
2.795,-0.115787534083514
2.8,-0.116030918355728
2.805,-0.116308781850895
2.81,-0.116621274936269
2.815,-0.116968639185051
2.82,-0.117351218120061
2.825,-0.117769470741044
2.83,-0.118223988541803
2.835,-0.118715516933049
2.84,-0.119244982264281
2.845,-0.119813526007929
2.85,-0.120422548164501
2.855,-0.121073762614716
2.86,-0.121769268048074
2.865,-0.122511639325461
2.87,-0.123304045809826
2.875,-0.124150405492629
2.88,-0.125055586884181
2.885,-0.12602567492726
2.89,-0.12706832301842
2.895,-0.12819322102085
2.9,-0.129412719323136
2.905,-0.130742661601699
2.91,-0.132203492977135
2.915,-0.133821721921187
2.92,-0.135631813118057
2.925,-0.137678549061213
2.93,-0.140019762995743
2.935,-0.142728993498011
2.94,-0.14589680655745
2.945,-0.149627885319664
2.95,-0.154028072420394
2.955,-0.159171650897683
2.96,-0.165037647280142
2.965,-0.171415441668404
2.97,-0.17782055345517
2.975,-0.183521965805278
2.98,-0.187773780158914
2.985,-0.190165465786538
2.99,-0.190811266479842
2.995,-0.190218616279627
3,-0.188994025943945
