"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.109424216787931
2.005,-0.122456801225522
2.01,-0.138198682870015
2.015,-0.157445399314518
2.02,-0.18130347593821
2.025,-0.211346721351195
2.03,-0.249871220986712
2.035,-0.300326130770531
2.04,-0.368071084045581
2.045,-0.46177031404544
2.05,-0.596098370063904
2.055,-0.797323916893199
2.06,-1.11568118362306
2.065,-1.65510045928808
2.07,-2.65147860735055
2.075,-4.7017208677098
2.08,-9.5532159636129
2.085,-16.6672955105504
2.09,-7.8044670327501
2.095,-4.05536092783727
2.1,-2.39382406823525
2.105,-1.55341453409745
2.11,-1.08247642442153
2.115,-0.796295058698971
2.12,-0.610877354385705
2.125,-0.484455048328187
2.13,-0.394636314975503
2.135,-0.328639093215394
2.14,-0.27877304481813
2.145,-0.240201590668925
2.15,-0.20976611849504
2.155,-0.185336070796779
2.16,-0.165433568360716
2.165,-0.149008139815283
2.17,-0.135296919795661
2.175,-0.123735282365999
2.18,-0.113898194075016
2.185,-0.105460813666853
2.19,-0.0981714591248298
2.195,-0.0918327046027091
2.2,-0.0862879328931747
2.205,-0.0814116179672962
2.21,-0.0771022017535619
2.215,-0.0732768036168659
2.22,-0.0698672432778193
2.225,-0.0668170175813612
2.23,-0.0640789785050038
2.235,-0.061613532582499
2.24,-0.0593872321466376
2.245,-0.0573716639168404
2.25,-0.0555425653200323
2.255,-0.0538791167376626
2.26,-0.052363370758865
2.265,-0.0509797889428088
2.27,-0.0497148635488967
2.275,-0.0485568068738892
2.28,-0.0474952947259872
2.285,-0.0465212535116793
2.29,-0.0456266826583476
2.295,-0.0448045058220548
2.3,-0.0440484456653169
2.305,-0.0433529180294363
2.31,-0.0427129421402014
2.315,-0.0421240641275055
2.32,-0.0415822916476814
2.325,-0.0410840378023667
2.33,-0.0406260728717172
2.335,-0.0402054826406948
2.34,-0.0398196323078668
2.345,-0.0394661351371405
2.35,-0.0391428251525493
2.355,-0.0388477332902353
2.36,-0.0385790665157085
2.365,-0.0383351894918972
2.37,-0.0381146084475649
2.375,-0.0379159569490802
2.38,-0.0377379833227557
2.385,-0.0375795395123142
2.39,-0.0374395711871056
2.395,-0.0373171089429951
2.4,-0.0372112604600057
2.405,-0.0371212034994822
2.41,-0.0370461796395882
2.415,-0.0369854886613691
2.42,-0.0369384835092926
2.425,-0.0369045657599855
2.43,-0.0368831815414257
2.435,-0.0368738178521241
2.44,-0.0368759992361031
2.445,-0.0368892847749136
2.45,-0.0369132653626439
2.455,-0.03694756123392
2.46,-0.0369918197184128
2.465,-0.0370457131985422
2.47,-0.0371089372496093
2.475,-0.037181208944079
2.48,-0.0372622653036753
2.485,-0.0373518618848347
2.49,-0.0374497714845941
2.495,-0.0375557829554014
2.5,-0.0376697001185804
2.505,-0.0377913407672358
2.51,-0.0379205357503512
2.515,-0.038057128130714
2.52,-0.0382009724099849
2.525,-0.0383519338149781
2.53,-0.0385098876397604
2.535,-0.0386747186386971
2.54,-0.038846320466118
2.545,-0.0390245951586019
2.55,-0.0392094526563367
2.555,-0.0394008103602627
2.56,-0.0395985927221478
2.565,-0.0398027308648387
2.57,-0.0400131622303207
2.575,-0.0402298302533582
2.58,-0.0404526840587319
2.585,-0.0406816781802138
2.59,-0.0409167722996549
2.595,-0.041157931004617
2.6,-0.041405123563204
2.605,-0.0416583237147945
2.61,-0.0419175094755053
2.615,-0.0421826629573716
2.62,-0.0424537702001786
2.625,-0.0427308210151534
2.63,-0.0430138088396122
2.635,-0.0433027306018403
2.64,-0.0435975865955234
2.645,-0.0438983803630652
2.65,-0.0442051185872132
2.655,-0.0445178109904666
2.66,-0.0448364702417537
2.665,-0.0451611118698977
2.67,-0.0454917541834974
2.675,-0.045828418196792
2.68,-0.0461711275611566
2.685,-0.0465199085019015
2.69,-0.0468747897600588
2.695,-0.0472358025388921
2.7,-0.0476029804548209
2.705,-0.0479763594925671
2.71,-0.0483559779642726
2.715,-0.0487418764723729
2.72,-0.0491340978760458
2.725,-0.0495326872610674
2.73,-0.0499376919128696
2.735,-0.0503491612927095
2.74,-0.0507671470167371
2.745,-0.0511917028379047
2.75,-0.0516228846305175
2.755,-0.0520607503774082
2.76,-0.0525053601595247
2.765,-0.0529567761479547
2.77,-0.0534150625981769
2.775,-0.0538802858465715
2.78,-0.0543525143090318
2.785,-0.0548318184816557
2.79,-0.0553182709434481
2.795,-0.0558119463609582
2.8,-0.0563129214948216
2.805,-0.0568212752081565
2.81,-0.0573370884767561
2.815,-0.0578604444010728
2.82,-0.0583914282199181
2.825,-0.0589301273258796
2.83,-0.0594766312824259
2.835,-0.0600310318426484
2.84,-0.0605934229696711
2.845,-0.0611639008586517
2.85,-0.0617425639604097
2.855,-0.0623295130066513
2.86,-0.0629248510367699
2.865,-0.0635286834262541
2.87,-0.0641411179166395
2.875,-0.0647622646470957
2.88,-0.0653922361875386
2.885,-0.0660311475733657
2.89,-0.0666791163417776
2.895,-0.0673362625696979
2.9,-0.0680027089133004
2.905,-0.0686785806491819
2.91,-0.0693640057171504
2.915,-0.0700591147646917
2.92,-0.0707640411931004
2.925,-0.0714789212053107
2.93,-0.072203893855462
2.935,-0.072939101100181
2.94,-0.0736846878516493
2.945,-0.074440802032493
2.95,-0.0752075946324602
2.955,-0.0759852197669947
2.96,-0.0767738347376968
2.965,-0.0775736000946986
2.97,-0.0783846797010482
2.975,-0.079207240799076
2.98,-0.0800414540788104
2.985,-0.0808874937485132
2.99,-0.0817455376073354
2.995,-0.0826157671201853
3,-0.0834983674948008
