"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0237773112680146
2.005,-0.0239928142603772
2.01,-0.0242101142409042
2.015,-0.0244292142083981
2.02,-0.024650117593642
2.025,-0.0248728282605467
2.03,-0.0250973505074208
2.035,-0.0253236890683844
2.04,-0.0255518491149224
2.045,-0.0257818362575763
2.05,-0.0260136565477642
2.055,-0.0262473164797539
2.06,-0.0264828229927412
2.065,-0.0267201834731022
2.07,-0.0269594057567534
2.075,-0.0272004981316465
2.08,-0.0274434693404208
2.085,-0.0276883285831575
2.09,-0.0279350855202997
2.095,-0.02818375027568
2.1,-0.0284343334397033
2.105,-0.028686846072655
2.11,-0.0289412997081334
2.115,-0.0291977063566537
2.12,-0.0294560785093263
2.125,-0.0297164291417345
2.13,-0.0299787717179108
2.135,-0.0302431201944532
2.14,-0.0305094890248006
2.145,-0.0307778931636031
2.15,-0.0310483480712889
2.155,-0.0313208697187145
2.16,-0.0315954745919905
2.165,-0.0318721796974345
2.17,-0.0321510025666596
2.175,-0.0324319612618265
2.18,-0.0327150743810224
2.185,-0.0330003610637763
2.19,-0.0332878409967453
2.195,-0.0335775344195273
2.2,-0.0338694621306271
2.205,-0.0341636454935771
2.21,-0.0344601064431948
2.215,-0.0347588674920113
2.22,-0.0350599517368372
2.225,-0.0353633828654868
2.23,-0.035669185163666
2.235,-0.0359773835220039
2.24,-0.0362880034432649
2.245,-0.0366010710496957
2.25,-0.0369166130905557
2.255,-0.0372346569498024
2.26,-0.0375552306539452
2.265,-0.0378783628800713
2.27,-0.0382040829640335
2.275,-0.0385324209088192
2.28,-0.0388634073930845
2.285,-0.039197073779878
2.29,-0.0395334521255251
2.295,-0.0398725751887162
2.3,-0.0402144764397494
2.305,-0.040559190069988
2.31,-0.0409067510014899
2.315,-0.0412571948968245
2.32,-0.0416105581690906
2.325,-0.0419668779921332
2.33,-0.0423261923109462
2.335,-0.0426885398522852
2.34,-0.0430539601354847
2.345,-0.0434224934834735
2.35,-0.0437941810340052
2.355,-0.0441690647511187
2.36,-0.0445471874367639
2.365,-0.0449285927427113
2.37,-0.0453133251826308
2.375,-0.0457014301444246
2.38,-0.0460929539027843
2.385,-0.0464879436319673
2.39,-0.0468864474188154
2.395,-0.0472885142760248
2.4,-0.0476941941556465
2.405,-0.0481035379628195
2.41,-0.0485165975697842
2.415,-0.0489334258301352
2.42,-0.0493540765933118
2.425,-0.0497786047193907
2.43,-0.0502070660941136
2.435,-0.0506395176441909
2.44,-0.0510760173528939
2.445,-0.0515166242758953
2.45,-0.0519613985574334
2.455,-0.0524104014467277
2.46,-0.052863695314706
2.465,-0.0533213436710152
2.47,-0.0537834111813563
2.475,-0.0542499636850984
2.48,-0.0547210682132162
2.485,-0.0551967930065443
2.49,-0.0556772075343578
2.495,-0.0561623825132648
2.5,-0.0566523899264425
2.505,-0.0571473030432065
2.51,-0.0576471964389273
2.515,-0.0581521460152841
2.52,-0.0586622290208859
2.525,-0.0591775240722391
2.53,-0.0596981111751034
2.535,-0.0602240717461764
2.54,-0.0607554886352143
2.545,-0.0612924461474837
2.55,-0.0618350300666372
2.555,-0.0623833276779715
2.56,-0.0629374277920945
2.565,-0.0634974207690004
2.57,-0.0640633985425548
2.575,-0.0646354546454219
2.58,-0.0652136842344042
2.585,-0.0657981841162295
2.59,-0.0663890527737872
2.595,-0.066986390392799
2.6,-0.0675902988889818
2.605,-0.0682008819356392
2.61,-0.0688182449917704
2.615,-0.069442495330618
2.62,-0.070073742068758
2.625,-0.0707120961956505
2.63,-0.0713576706037016
2.635,-0.0720105801188833
2.64,-0.0726709415318162
2.645,-0.0733388736294363
2.65,-0.0740144972271895
2.655,-0.0746979352017618
2.66,-0.0753893125244098
2.665,-0.0760887562948141
2.67,-0.0767963957755532
2.675,-0.0775123624271443
2.68,-0.0782367899436957
2.685,-0.0789698142891627
2.69,-0.0797115737342208
2.695,-0.0804622088937856
2.7,-0.0812218627651502
2.705,-0.0819906807667943
2.71,-0.0827688107778349
2.715,-0.0835564031781754
2.72,-0.0843536108893203
2.725,-0.0851605894158838
2.73,-0.08597749688782
2.735,-0.0868044941033567
2.74,-0.0876417445726728
2.745,-0.0884894145623067
2.75,-0.0893476731403234
2.755,-0.0902166922222488
2.76,-0.0910966466177844
2.765,-0.0919877140783108
2.77,-0.092890075345194
2.775,-0.0938039141989199
2.78,-0.0947294175090433
2.785,-0.0956667752849989
2.79,-0.0966161807277506
2.795,-0.0975778302823369
2.8,-0.0985519236912697
2.805,-0.0995386640488687
2.81,-0.100538257856482
2.815,-0.101550915078641
2.82,-0.102576849200175
2.825,-0.103616277284251
2.83,-0.104669420031431
2.835,-0.105736501839662
2.84,-0.106817750865327
2.845,-0.107913399085268
2.85,-0.109023682359869
2.855,-0.110148840497184
2.86,-0.11128911731813
2.865,-0.11244476072276
2.87,-0.113616022757639
2.875,-0.114803159684339
2.88,-0.116006432049061
2.885,-0.117226104753403
2.89,-0.118462447126302
2.895,-0.119715732997154
2.9,-0.120986240770143
2.905,-0.122274253499777
2.91,-0.123580058967672
2.915,-0.124903949760574
2.92,-0.126246223349664
2.925,-0.12760718217116
2.93,-0.128987133708208
2.935,-0.130386390574108
2.94,-0.13180527059689
2.945,-0.133244096905238
2.95,-0.134703198015822
2.955,-0.136182907921988
2.96,-0.13768356618391
2.965,-0.139205518020147
2.97,-0.140749114400684
2.975,-0.142314712141418
2.98,-0.143902674000147
2.985,-0.145513368774101
2.99,-0.147147171398954
2.995,-0.148804463049419
3,-0.150485631241414
