"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0198059397446903
2.005,-0.0200210103362152
2.01,-0.0202336552536052
2.015,-0.0204439828292783
2.02,-0.0206521007134116
2.025,-0.0208581158813892
2.03,-0.0210621346410447
2.035,-0.0212642626396685
2.04,-0.021464604870763
2.045,-0.0216632656806121
2.05,-0.0218603487745862
2.055,-0.0220559572232492
2.06,-0.0222501934682337
2.065,-0.0224431593278842
2.07,-0.0226349560027063
2.075,-0.0228256840805712
2.08,-0.0230154435417165
2.085,-0.0232043337635198
2.09,-0.0233924535250727
2.095,-0.0235799010115183
2.1,-0.0237667738181934
2.105,-0.0239531689545373
2.11,-0.0241391828478143
2.115,-0.0243249113465879
2.12,-0.0245104497240101
2.125,-0.0246958926808957
2.13,-0.0248813343485731
2.135,-0.0250668682915208
2.14,-0.0252525875098171
2.145,-0.0254385844413525
2.15,-0.0256249509638426
2.155,-0.0258117783966232
2.16,-0.0259991575022463
2.165,-0.026187178487844
2.17,-0.0263759310063051
2.175,-0.0265655041572135
2.18,-0.0267559864875994
2.185,-0.0269474659924473
2.19,-0.0271400301150229
2.195,-0.0273337657469522
2.2,-0.0275287592281189
2.205,-0.0277250963463209
2.21,-0.0279228623367122
2.215,-0.0281221418810386
2.22,-0.0283230191066494
2.225,-0.0285255775852818
2.23,-0.0287299003316354
2.235,-0.0289360698017129
2.24,-0.0291441678909554
2.245,-0.0293542759321181
2.25,-0.0295664746929713
2.255,-0.0297808443737195
2.26,-0.0299974646042284
2.265,-0.030216414441006
2.27,-0.0304377723639465
2.275,-0.0306616162728554
2.28,-0.0308880234837229
2.285,-0.0311170707247646
2.29,-0.0313488341322256
2.295,-0.0315833892459288
2.3,-0.0318208110045982
2.305,-0.0320611737409209
2.31,-0.0323045511763549
2.315,-0.0325510164157088
2.32,-0.0328006419414373
2.325,-0.0330534996077064
2.33,-0.0333096606341734
2.335,-0.0335691955995361
2.34,-0.0338321744347846
2.345,-0.0340986664162047
2.35,-0.034368740158108
2.355,-0.0346424636052807
2.36,-0.0349199040251648
2.365,-0.0352011279997523
2.37,-0.0354862014171993
2.375,-0.0357751894631463
2.38,-0.0360681566117603
2.385,-0.0363651666164694
2.39,-0.0366662825004116
2.395,-0.0369715665465663
2.4,-0.0372810802876066
2.405,-0.0375948844954073
2.41,-0.037913039170268
2.415,-0.0382356035298111
2.42,-0.0385626359975451
2.425,-0.0388941941911256
2.43,-0.0392303349102578
2.435,-0.0395711141242902
2.44,-0.0399165869594481
2.445,-0.0402668076857341
2.45,-0.0406218297034819
2.455,-0.040981705529538
2.46,-0.0413464867831153
2.465,-0.041716224171238
2.47,-0.0420909674738619
2.475,-0.0424707655285989
2.48,-0.0428556662150517
2.485,-0.0432457164387796
2.49,-0.0436409621148643
2.495,-0.0440414481510801
2.5,-0.0444472184306561
2.505,-0.0448583157946405
2.51,-0.0452747820238361
2.515,-0.0456966578203155
2.52,-0.0461239827885181
2.525,-0.0465567954159042
2.53,-0.046995133053165
2.535,-0.0474390318939878
2.54,-0.0478885269543752
2.545,-0.0483436520514789
2.55,-0.0488044397819962
2.555,-0.0492709215000475
2.56,-0.0497431272946232
2.565,-0.0502210859664862
2.57,-0.0507048250046078
2.575,-0.0511943705620908
2.58,-0.0516897474315697
2.585,-0.0521909790200937
2.59,-0.0526980873234762
2.595,-0.0532110929001113
2.6,-0.0537300148442193
2.605,-0.0542548707585818
2.61,-0.0547856767266465
2.615,-0.0553224472841231
2.62,-0.0558651953899469
2.625,-0.0564139323966755
2.63,-0.0569686680202684
2.635,-0.0575294103092733
2.64,-0.0580961656133608
2.645,-0.0586689385512694
2.65,-0.0592477319780684
2.655,-0.0598325469517938
2.66,-0.0604233826994102
2.665,-0.0610202365821157
2.67,-0.0616231040599484
2.675,-0.0622319786556975
2.68,-0.0628468519181336
2.685,-0.0634677133844865
2.69,-0.0640945505422308
2.695,-0.0647273487901245
2.7,-0.0653660913984633
2.705,-0.0660107594686341
2.71,-0.0666613318918403
2.715,-0.067317785307072
2.72,-0.0679800940582717
2.725,-0.0686482301506703
2.73,-0.0693221632063435
2.735,-0.0700018604188839
2.74,-0.0706872865072524
2.745,-0.071378403668769
2.75,-0.0720751715312014
2.755,-0.0727775471040135
2.76,-0.0734854847286553
2.765,-0.0741989360279807
2.77,-0.0749178498547074
2.775,-0.0756421722389709
2.78,-0.0763718463348514
2.785,-0.0771068123660154
2.79,-0.0778470075702958
2.795,-0.0785923661433121
2.8,-0.0793428191810688
2.805,-0.0800982946214998
2.81,-0.0808587171849953
2.815,-0.0816240083138436
2.82,-0.082394086110621
2.825,-0.0831688652754428
2.83,-0.0839482570421725
2.835,-0.0847321691134332
2.84,-0.0855205055945338
2.845,-0.086313166926213
2.85,-0.0871100498162091
2.855,-0.0879110471696532
2.86,-0.0887160480182399
2.865,-0.0895249374481829
2.87,-0.0903375965269382
2.875,-0.0911539022286581
2.88,-0.0919737273583747
2.885,-0.0927969404748998
2.89,-0.0936234058123996
2.895,-0.0944529832006856
2.9,-0.0952855279840885
2.905,-0.096120890939065
2.91,-0.0969589181903486
2.915,-0.0977994511257543
2.92,-0.0986423263095505
2.925,-0.0994873753944108
2.93,-0.100334425031907
2.935,-0.101183296781549
2.94,-0.102033807018349
2.945,-0.102885766838865
2.95,-0.103738981965751
2.955,-0.104593252650749
2.96,-0.105448373576161
2.965,-0.106304133754722
2.97,-0.10716031642791
2.975,-0.108016698962638
2.98,-0.108873052746337
2.985,-0.109729143080402
2.99,-0.110584729071981
2.995,-0.111439563524096
3,-0.112293392824087
