"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0993900937899057
2.005,-0.104643457992181
2.01,-0.110323843644189
2.015,-0.116477675973167
2.02,-0.123157751246115
2.025,-0.130424303085934
2.03,-0.138346280784612
2.035,-0.147002888719984
2.04,-0.156485449036763
2.045,-0.166899666741215
2.05,-0.17836839861275
2.055,-0.19103505668745
2.06,-0.205067816059448
2.065,-0.220664848931126
2.07,-0.238060877235888
2.075,-0.257535431892219
2.08,-0.279423338067981
2.085,-0.304128127589371
2.09,-0.332139333555107
2.095,-0.364054980455224
2.1,-0.400611093669718
2.105,-0.442720787660417
2.11,-0.491526563192347
2.115,-0.548471021428148
2.12,-0.615393553428357
2.125,-0.694664108202586
2.13,-0.789370551813102
2.135,-0.903584484662447
2.14,-1.04274344167233
2.145,-1.21420804815307
2.15,-1.42808574047737
2.155,-1.69846618718537
2.16,-2.04530164610883
2.165,-2.49731403049579
2.17,-3.09657163331473
2.175,-3.90587137537759
2.18,-5.02108193854285
2.185,-6.59277034833772
2.19,-8.86380437079905
2.195,-12.1889799461204
2.2,-16.1761061715451
2.205,-15.4088547432442
2.21,-11.4006940433298
2.215,-8.39712885264353
2.22,-6.3497682618596
2.225,-4.92245993757017
2.23,-3.90025050890438
2.235,-3.15058592613484
2.24,-2.58910639945224
2.245,-2.16049786621437
2.25,-1.82759824979491
2.255,-1.56491497599377
2.26,-1.35462848263309
2.265,-1.18406323722484
2.27,-1.04405382304034
2.275,-0.927870074620402
2.28,-0.8304981237078
2.285,-0.748151876475638
2.29,-0.677936037922868
2.295,-0.61761030580019
2.3,-0.565422082022261
2.305,-0.519986235108648
2.31,-0.480197605324587
2.315,-0.445166587547913
2.32,-0.414171179004188
2.325,-0.386620911145933
2.33,-0.362029454955884
2.335,-0.339993623794953
2.34,-0.320177143310408
2.345,-0.302298008543159
2.35,-0.286118566451709
2.355,-0.271437688949971
2.36,-0.258084564969906
2.365,-0.245913758716505
2.37,-0.234801267747649
2.375,-0.224641376938078
2.38,-0.215344147394206
2.385,-0.206833404164027
2.39,-0.199045090171545
2.395,-0.191925827415178
2.4,-0.185431453175401
2.405,-0.179525152850938
2.41,-0.174174565919289
2.415,-0.169346912694795
2.42,-0.165000958337479
2.425,-0.161075104173449
2.43,-0.157473357180867
2.435,-0.154056654103239
2.44,-0.150653815661718
2.445,-0.147103754385119
2.45,-0.14331669988128
2.455,-0.139312428249803
2.46,-0.135201727292711
2.465,-0.131126926954185
2.47,-0.127207373369954
2.475,-0.123516290426663
2.48,-0.120084044713705
2.485,-0.116911868228286
2.49,-0.113985158820527
2.495,-0.111282677602005
2.5,-0.108781814838356
2.505,-0.10646116975825
2.51,-0.104301576737607
2.515,-0.102286332017182
2.52,-0.100401055251693
2.525,-0.0986334136561576
2.53,-0.0969728187745138
2.535,-0.0954101437154685
2.54,-0.093937477815212
2.545,-0.092547921352083
2.55,-0.0912354169507865
2.555,-0.0899946123403193
2.56,-0.0888207489654061
2.565,-0.0877095715136291
2.57,-0.0866572541995832
2.575,-0.0856603404197144
2.58,-0.0847156930708912
2.585,-0.0838204533902426
2.59,-0.0829720066282669
2.595,-0.0821679532269965
2.6,-0.0814060844568455
2.605,-0.0806843616858078
2.61,-0.0800008986258878
2.615,-0.0793539460350718
2.62,-0.0787418784574353
2.625,-0.078163182665485
2.63,-0.0776164475330032
2.635,-0.0771003551173488
2.64,-0.076613672770218
2.645,-0.0761552461279955
2.65,-0.0757239928583894
2.655,-0.07531889706072
2.66,-0.0749390042339821
2.665,-0.0745834167403424
2.67,-0.0742512897029019
2.675,-0.0739418272857531
2.68,-0.0736542793117955
2.685,-0.0733879381802365
2.69,-0.0731421360507777
2.695,-0.0729162422660378
2.7,-0.0727096609873766
2.705,-0.0725218290224559
2.71,-0.0723522138255875
2.715,-0.0722003116541384
2.72,-0.0720656458662575
2.725,-0.071947765346878
2.73,-0.0718462430503798
2.735,-0.0717606746496265
2.74,-0.0716906772820894
2.745,-0.0716358883848354
2.75,-0.0715959646109588
2.755,-0.0715705808207386
2.76,-0.0715594291415675
2.765,-0.0715622180911281
2.77,-0.0715786717589671
2.775,-0.071608529041926
2.78,-0.0716515429294027
2.785,-0.0717074798347401
2.79,-0.07177611896934
2.795,-0.0718572517564535
2.8,-0.0719506812817926
2.805,-0.0720562217784129
2.81,-0.0721736981434807
2.815,-0.0723029454847179
2.82,-0.0724438086946089
2.825,-0.0725961420504246
2.83,-0.072759808838446
2.835,-0.072934681000771
2.84,-0.0731206388032953
2.845,-0.0733175705234912
2.85,-0.073525372156792
2.855,-0.0737439471404044
2.86,-0.0739732060934975
2.865,-0.0742130665727816
2.87,-0.0744634528425649
2.875,-0.074724295658466
2.88,-0.0749955320639184
2.885,-0.0752771051988199
2.89,-0.0755689641195986
2.895,-0.0758710636300434
2.9,-0.0761833641223669
2.905,-0.0765058314278662
2.91,-0.0768384366767313
2.915,-0.0771811561665025
2.92,-0.0775339712386948
2.925,-0.0778968681632037
2.93,-0.0782698380301105
2.935,-0.0786528766484591
2.94,-0.0790459844517244
2.945,-0.0794491664096274
2.95,-0.0798624319459728
2.955,-0.0802857948622586
2.96,-0.0807192732667907
2.965,-0.0811628895090211
2.97,-0.081616670118924
2.975,-0.0820806457511583
2.98,-0.0825548511338209
2.985,-0.0830393250216087
2.99,-0.0835341101532014
2.995,-0.0840392532126903
3,-0.0845548047949112
