"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-3.3609305563319
2.005,-2.5262197725267
2.01,-1.9439164260997
2.015,-1.53166740460258
2.02,-1.2334830181354
2.025,-1.01286398379562
2.03,-0.846056009972165
2.035,-0.717393407596024
2.04,-0.616348615314234
2.045,-0.535700839223429
2.05,-0.470395796174656
2.055,-0.416826482962642
2.06,-0.372371694749289
2.065,-0.335094392263863
2.07,-0.303540845000962
2.075,-0.276604442715235
2.08,-0.253431751806478
2.085,-0.233356652912383
2.09,-0.215853458693491
2.095,-0.200503064961496
2.1,-0.186968186070029
2.105,-0.174975011452999
2.11,-0.164299461013448
2.115,-0.154756775115228
2.12,-0.146193550619836
2.125,-0.138481590773685
2.13,-0.131513113940668
2.135,-0.125196990133983
2.14,-0.11945576201993
2.145,-0.114223269816302
2.15,-0.109442744860099
2.155,-0.105065269718156
2.16,-0.101048527096561
2.165,-0.0973557779259939
2.17,-0.0939550225847609
2.175,-0.0908183094904852
2.18,-0.0879211631195668
2.185,-0.0852421095316106
2.19,-0.08276228214421
2.195,-0.0804650941595458
2.2,-0.0783359669391947
2.205,-0.0763621059435202
2.21,-0.07453231773622
2.215,-0.0728368631037875
2.22,-0.0712673426218619
2.225,-0.0698166120485781
2.23,-0.0684787257280971
2.235,-0.0672489066671715
2.24,-0.0661235419159166
2.245,-0.065100200964712
2.25,-0.0641776723634031
2.255,-0.0633560084337016
2.26,-0.0626365576515477
2.265,-0.0620219455467827
2.27,-0.0615159325370765
2.275,-0.061123024088897
2.28,-0.0608476289238838
2.285,-0.060692458325266
2.29,-0.0606557704383581
2.295,-0.0607271033269462
2.3,-0.0608815628409951
2.305,-0.0610739073223721
2.31,-0.0612357370521784
2.315,-0.0612810163761825
2.32,-0.0611239235320662
2.325,-0.0607057283986553
2.33,-0.0600173686050277
2.335,-0.0591027654891957
2.34,-0.0580404393421892
2.345,-0.0569160723639749
2.35,-0.0558012313659716
2.355,-0.0547445464400126
2.36,-0.0537727613722759
2.365,-0.0528962518983948
2.37,-0.0521150246005725
2.375,-0.0514234386911384
2.38,-0.0508133470925806
2.385,-0.0502759535208342
2.39,-0.0498027966195625
2.395,-0.0493862007665613
2.4,-0.0490194265171975
2.405,-0.0486966651101056
2.41,-0.0484129606470336
2.415,-0.0481641056381976
2.42,-0.0479465333509939
2.425,-0.0477572179242328
2.43,-0.0475935865105425
2.435,-0.0474534442926253
2.44,-0.04733491160891
2.445,-0.0472363717747841
2.45,-0.0471564280258799
2.455,-0.0470938680821669
2.46,-0.0470476350003618
2.465,-0.0470168031776096
2.47,-0.0470005585585962
2.475,-0.046998182267134
2.48,-0.0470090370275223
2.485,-0.0470325558610549
2.49,-0.0470682326415202
2.495,-0.0471156141733912
2.5,-0.0471742935208065
2.505,-0.047243904367296
2.51,-0.047324116227788
2.515,-0.0474146303677835
2.52,-0.0475151763114771
2.525,-0.0476255088421419
2.53,-0.0477454054154925
2.535,-0.0478746639208377
2.54,-0.0480131007361667
2.545,-0.0481605490325859
2.55,-0.0483168572911245
2.555,-0.0484818880009471
2.56,-0.0486555165131796
2.565,-0.0488376300286924
2.57,-0.0490281267015354
2.575,-0.0492269148426171
2.58,-0.0494339122105744
2.585,-0.0496490453787284
2.59,-0.0498722491685714
2.595,-0.0501034661418
2.6,-0.0503426461438416
2.605,-0.05058974589293
2.61,-0.0508447286095547
2.615,-0.0511075636818573
2.62,-0.051378226363019
2.625,-0.0516566974973429
2.63,-0.0519429632720563
2.635,-0.0522370149922646
2.64,-0.0525388488768102
2.645,-0.0528484658730571
2.65,-0.0531658714888526
2.655,-0.053491075640157
2.66,-0.0538240925129305
2.665,-0.0541649404381499
2.67,-0.0545136417788024
2.675,-0.054870222828009
2.68,-0.0552347137173316
2.685,-0.0556071483346002
2.69,-0.0559875642505326
2.695,-0.0563760026535857
2.7,-0.0567725082924798
2.705,-0.0571771294259256
2.71,-0.0575899177791515
2.715,-0.058010928506792
2.72,-0.0584402201618636
2.725,-0.0588778546704715
2.73,-0.0593238973120134
2.735,-0.0597784167045892
2.74,-0.0602414847954592
2.745,-0.0607131768563053
2.75,-0.0611935714831729
2.755,-0.061682750600909
2.76,-0.0621807994719719
2.765,-0.0626878067095275
2.77,-0.063203864294689
2.775,-0.063729067597873
2.78,-0.0642635154041195
2.785,-0.0648073099424507
2.79,-0.065360556919066
2.795,-0.0659233655544819
2.8,-0.0664958486244814
2.805,-0.0670781225049801
2.81,-0.0676703072206647
2.815,-0.0682725264975498
2.82,-0.0688849078193721
2.825,-0.0695075824879036
2.83,-0.0701406856871695
2.835,-0.0707843565516726
2.84,-0.0714387382386184
2.845,-0.0721039780042357
2.85,-0.0727802272842298
2.855,-0.0734676417784815
2.86,-0.074166381540028
2.865,-0.0748766110684593
2.87,-0.0755984994077891
2.875,-0.0763322202489356
2.88,-0.0770779520369179
2.885,-0.077835878082872
2.89,-0.0786061866810474
2.895,-0.0793890712309031
2.9,-0.0801847303644606
2.905,-0.0809933680790525
2.91,-0.0818151938756621
2.915,-0.0826504229030041
2.92,-0.0834992761075521
2.925,-0.0843619803896786
2.93,-0.0852387687661442
2.935,-0.086129880539141
2.94,-0.0870355614721089
2.945,-0.0879560639725692
2.95,-0.0888916472822353
2.955,-0.0898425776746502
2.96,-0.0908091286606344
2.965,-0.0917915812018309
2.97,-0.0927902239326519
2.975,-0.0938053533909527
2.98,-0.0948372742577545
2.985,-0.0958862996063563
2.99,-0.0969527511612518
2.995,-0.0980369595671714
3,-0.0991392646686809
