"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0251362120560536
2.005,-0.0258298278389253
2.01,-0.0265778032130424
2.015,-0.0273863101537182
2.02,-0.0282624221018622
2.025,-0.0292142760111351
2.03,-0.0302512693008678
2.035,-0.0313843005568324
2.04,-0.0326260654182397
2.045,-0.0339914225600859
2.05,-0.0354978493591096
2.055,-0.037166013198069
2.06,-0.039020493109986
2.065,-0.041090698606195
2.07,-0.0434120495752309
2.075,-0.0460275053457846
2.08,-0.0489895658258884
2.085,-0.052362918401408
2.09,-0.0562279794035751
2.095,-0.0606856918993949
2.1,-0.0658641143040233
2.105,-0.0719276035150341
2.11,-0.0790898244435327
2.115,-0.087632514271262
2.12,-0.0979330908638748
2.125,-0.110506184010095
2.13,-0.126067681038814
2.135,-0.145636295604259
2.14,-0.170699846301741
2.145,-0.203497559438668
2.15,-0.24751992156501
2.155,-0.308438168894702
2.16,-0.39593539188285
2.165,-0.52757054255756
2.17,-0.737635761107483
2.175,-1.09960559695079
2.18,-1.79045523332647
2.185,-3.3053049380925
2.19,-7.37269014764196
2.195,-32.5211671886497
2.2,-7.78319701535945
2.205,-3.48654578379246
2.21,-1.90027890414058
2.215,-1.17732407571066
2.22,-0.797809429342936
2.225,-0.576870190677134
2.23,-0.437895644537686
2.235,-0.345139051995791
2.24,-0.2802845407043
2.245,-0.233218894015044
2.25,-0.198009053321678
2.255,-0.170996192637054
2.26,-0.149827945942906
2.265,-0.132937629164972
2.27,-0.119249854224422
2.275,-0.108006943398089
2.28,-0.0986627647663454
2.285,-0.090815696862702
2.29,-0.0841650947291387
2.295,-0.0784823051928653
2.3,-0.073590935203273
2.305,-0.0693531485710429
2.31,-0.065659976391443
2.315,-0.0624243527359144
2.32,-0.0595760340922545
2.325,-0.0570578422552503
2.33,-0.0548228509982633
2.335,-0.0528322550712774
2.34,-0.0510537387840558
2.345,-0.0494602146843746
2.35,-0.0480288394006016
2.355,-0.0467402391630443
2.36,-0.0455778954537602
2.365,-0.0445276540276911
2.37,-0.0435773297743886
2.375,-0.0427163866132709
2.38,-0.0419356765630058
2.385,-0.0412272257999447
2.39,-0.0405840582727841
2.395,-0.040000049519151
2.4,-0.0394698049115656
2.405,-0.0389885577728559
2.41,-0.0385520837370783
2.415,-0.0381566284592593
2.42,-0.037798846345918
2.425,-0.0374757484255207
2.43,-0.037184657831766
2.435,-0.0369231716539478
2.44,-0.0366891281334292
2.445,-0.0364805783660494
2.45,-0.0362957618159077
2.455,-0.0361330850643693
2.46,-0.0359911033142529
2.465,-0.0358685042479524
2.47,-0.035764093902839
2.475,-0.0356767842805714
2.48,-0.0356055824509404
2.485,-0.0355495809475092
2.49,-0.0355079492827173
2.495,-0.0354799264356232
2.5,-0.035464814186763
2.505,-0.0354619711925397
2.51,-0.0354708077067862
2.515,-0.0354907808698439
2.52,-0.035521390496418
2.525,-0.0355621753027109
2.53,-0.0356127095212091
2.535,-0.0356725998582134
2.54,-0.0357414827550118
2.545,-0.035819021918528
2.55,-0.0359049060915611
2.555,-0.0359988470364006
2.56,-0.0361005777087914
2.565,-0.0362098506020489
2.57,-0.0363264362433499
2.575,-0.0364501218265452
2.58,-0.0365807099674666
2.585,-0.0367180175693733
2.59,-0.036861874787582
2.595,-0.0370121240834945
2.6,-0.0371686193593453
2.605,-0.0373312251659398
2.61,-0.0374998159764232
2.615,-0.0376742755199257
2.62,-0.0378544961695325
2.625,-0.0380403783796011
2.63,-0.0382318301679917
2.635,-0.0384287666391618
2.64,-0.0386311095445262
2.645,-0.038838786876861
2.65,-0.0390517324957649
2.655,-0.0392698857815522
2.66,-0.0394931913151857
2.665,-0.0397215985820399
2.67,-0.0399550616975665
2.675,-0.0401935391530632
2.68,-0.0404369935798937
2.685,-0.0406853915307212
2.69,-0.0409387032763887
2.695,-0.0411969026172461
2.7,-0.0414599667077608
2.705,-0.041727875893443
2.71,-0.0420006135591408
2.715,-0.0422781659878121
2.72,-0.0425605222290784
2.725,-0.0428476739767482
2.73,-0.0431396154547518
2.735,-0.0434363433107942
2.74,-0.0437378565172531
2.745,-0.0440441562787702
2.75,-0.0443552459460813
2.755,-0.0446711309356717
2.76,-0.0449918186548228
2.765,-0.0453173184317304
2.77,-0.0456476414503327
2.775,-0.0459828006895543
2.78,-0.0463228108666481
2.785,-0.0466676883844173
2.79,-0.0470174512820395
2.795,-0.047372119189268
2.8,-0.0477317132838355
2.805,-0.0480962562517953
2.81,-0.0484657722507166
2.815,-0.0488402868754719
2.82,-0.0492198271265363
2.825,-0.0496044213806067
2.83,-0.0499940993634227
2.835,-0.0503888921246852
2.84,-0.0507888320149315
2.845,-0.0511939526642567
2.85,-0.0516042889628106
2.855,-0.0520198770429551
2.86,-0.0524407542629994
2.865,-0.052866959192436
2.87,-0.0532985315986025
2.875,-0.0537355124346903
2.88,-0.054177943829066
2.885,-0.0546258690757855
2.89,-0.0550793326263291
2.895,-0.0555383800824017
2.9,-0.0560030581898562
2.905,-0.0564734148336114
2.91,-0.0569494990335654
2.915,-0.0574313609414386
2.92,-0.0579190518385434
2.925,-0.0584126241344203
2.93,-0.0589121313662945
2.935,-0.0594176281993532
2.94,-0.0599291704278285
2.945,-0.0604468149767956
2.95,-0.0609706199047182
2.955,-0.0615006444067184
2.96,-0.0620369488184935
2.965,-0.0625795946209551
2.97,-0.0631286444454589
2.975,-0.063684162079717
2.98,-0.0642462124742873
2.985,-0.0648148617496875
2.99,-0.0653901772040927
2.995,-0.0659722273216043
3,-0.0665610817810879
