"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.126029152905209
2.005,-0.131120163842791
2.01,-0.136502260146495
2.015,-0.142196994110324
2.02,-0.148227910309197
2.025,-0.154620767506624
2.03,-0.161403789531922
2.035,-0.168607949475068
2.04,-0.176267292285918
2.045,-0.184419301743489
2.05,-0.19310531880947
2.055,-0.202371019634629
2.06,-0.212266962991655
2.065,-0.222849218718611
2.07,-0.234180090942162
2.075,-0.246328952494242
2.08,-0.259373210146618
2.085,-0.273399424198322
2.09,-0.28850461072901
2.095,-0.304797760688662
2.1,-0.322401617198499
2.105,-0.341454761329244
2.11,-0.36211406763409
2.115,-0.384557604397311
2.12,-0.408988070624269
2.125,-0.43563688315446
2.13,-0.46476905410018
2.135,-0.496689032614494
2.14,-0.531747727738012
2.145,-0.570350983311799
2.15,-0.612969844986273
2.155,-0.66015304751158
2.16,-0.712542263371614
2.165,-0.770890798711632
2.17,-0.836086608872301
2.175,-0.909180745917224
2.18,-0.991422660063334
2.185,-1.08430417596238
2.19,-1.18961447861491
2.195,-1.30950910360455
2.2,-1.44659677000483
2.205,-1.60404896526626
2.21,-1.78573853632168
2.215,-1.99641520253658
2.22,-2.24192790428039
2.225,-2.52950618963462
2.23,-2.86811519291028
2.235,-3.26890044001384
2.24,-3.74573754172216
2.245,-4.31589125370605
2.25,-5.00074824903111
2.255,-5.82645454143578
2.26,-6.82385443915635
2.265,-8.02570337366429
2.27,-9.45443841138849
2.275,-11.0793546876638
2.28,-12.6926315156203
2.285,-13.7167656827727
2.29,-13.4885832736509
2.295,-12.2021733272607
2.3,-10.5881138107421
2.305,-9.06932548977274
2.31,-7.76374039717252
2.315,-6.67295577381761
2.32,-5.76813216754326
2.325,-5.01702370592727
2.33,-4.39113264094727
2.335,-3.86692917601041
2.34,-3.4254352776157
2.345,-3.05145945620048
2.35,-2.73285413090603
2.355,-2.45988738262411
2.36,-2.22473648092615
2.365,-2.02108740334359
2.37,-1.84382061608555
2.375,-1.68876514658779
2.38,-1.55250606449397
2.385,-1.43223351139399
2.39,-1.32562399673122
2.395,-1.23074675745388
2.4,-1.14598961583
2.405,-1.07000004108337
2.41,-1.00163810091752
2.415,-0.939938742411995
2.42,-0.884081419908337
2.425,-0.833365531116177
2.43,-0.787190463398024
2.435,-0.745039314349324
2.44,-0.706465552964461
2.445,-0.671082044020438
2.45,-0.638551979582356
2.455,-0.608581355916658
2.46,-0.580912707810511
2.465,-0.555319870074531
2.47,-0.531603581463956
2.475,-0.509587782153554
2.48,-0.489116484360186
2.485,-0.470051118353201
2.49,-0.452268274181593
2.495,-0.435657773949143
2.5,-0.420121021139457
2.505,-0.405569582918318
2.51,-0.391923968980809
2.515,-0.379112576725177
2.52,-0.367070777607635
2.525,-0.355740123686571
2.53,-0.345067656777906
2.535,-0.335005305457302
2.54,-0.325509357471707
2.545,-0.316539997052858
2.55,-0.3080608982313
2.555,-0.300038866589376
2.56,-0.292443523012923
2.565,-0.2852470239425
2.57,-0.278423813416479
2.575,-0.271950402866512
2.58,-0.265805175190754
2.585,-0.259968210109248
2.59,-0.254421128213325
2.595,-0.2491469514676
2.6,-0.244129978219773
2.605,-0.239355671026921
2.61,-0.234810555824757
2.615,-0.230482131153355
2.62,-0.226358786314121
2.625,-0.222429727471926
2.63,-0.218684910836769
2.635,-0.215114982163694
2.64,-0.211711221900339
2.645,-0.208465495390333
2.65,-0.205370207609586
2.655,-0.202418261972488
2.66,-0.199603022797592
2.665,-0.196918281068464
2.67,-0.194358223165721
2.675,-0.19191740228189
2.68,-0.18959071226211
2.685,-0.187373363641269
2.69,-0.18526086167273
2.695,-0.183248986165495
2.7,-0.181333772965852
2.705,-0.179511496936839
2.71,-0.177778656304059
2.715,-0.176131958250228
2.72,-0.174568305653045
2.725,-0.173084784872266
2.73,-0.171678654501787
2.735,-0.170347335011915
2.74,-0.169088399215385
2.745,-0.167899563498578
2.75,-0.16677867976674
2.755,-0.165723728058983
2.76,-0.164732809795655
2.765,-0.163804141627083
2.77,-0.162936049859486
2.775,-0.162126965440327
2.78,-0.161375419492432
2.785,-0.160680039393521
2.79,-0.160039545405708
2.795,-0.159452747868262
2.8,-0.158918544976736
2.805,-0.158435921182558
2.81,-0.158003946259986
2.815,-0.157621775101974
2.82,-0.157288648323834
2.825,-0.157003893773636
2.83,-0.156766929072411
2.835,-0.156577265335269
2.84,-0.156434512258244
2.845,-0.156338384795347
2.85,-0.156288711697551
2.855,-0.156285446240985
2.86,-0.156328679537369
2.865,-0.156418656896385
2.87,-0.156555797798843
2.875,-0.15674072014166
2.88,-0.156974269530995
2.885,-0.157257554526922
2.89,-0.157591988878139
2.895,-0.157979341921016
2.9,-0.158421798440701
2.905,-0.15892202938098
2.91,-0.1594832748093
2.915,-0.160109440439862
2.92,-0.160805208710117
2.925,-0.161576164777278
2.93,-0.162428936685439
2.935,-0.163371347124572
2.94,-0.164412571365164
2.945,-0.165563291745647
2.95,-0.166835833114219
2.955,-0.168244255519375
2.96,-0.169804370033225
2.965,-0.171533631180676
2.97,-0.173450846249999
2.975,-0.175575630508687
2.98,-0.177927532953603
2.985,-0.180524767185694
2.99,-0.183382515942834
2.995,-0.186510845240472
3,-0.189912369372233
