"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0412193959602233
2.005,-0.0420622975278222
2.01,-0.0429359431388464
2.015,-0.0438413634110602
2.02,-0.0447796438651769
2.025,-0.0457519281392479
2.03,-0.046759421427692
2.035,-0.0478033941628794
2.04,-0.048885185958787
2.045,-0.0500062098380596
2.05,-0.0511679567657526
2.055,-0.0523720005151779
2.06,-0.0536200028937096
2.065,-0.0549137193590039
2.07,-0.0562550050590202
2.075,-0.0576458213324442
2.08,-0.0590882427097682
2.085,-0.0605844644590951
2.09,-0.0621368107253547
2.095,-0.0637477433163288
2.1,-0.0654198711944477
2.105,-0.0671559607393662
2.11,-0.0689589468530926
2.115,-0.0708319449870248
2.12,-0.0727782641786851
2.125,-0.0748014211954404
2.13,-0.0769051558930485
2.135,-0.0790934479088188
2.14,-0.0813705348225022
2.145,-0.0837409319330695
2.15,-0.0862094538164613
2.155,-0.088781237848483
2.16,-0.0914617698985486
2.165,-0.0942569124244108
2.17,-0.0971729352255598
2.175,-0.100216549144307
2.18,-0.103394943039171
2.185,-0.106715824395552
2.19,-0.11018746398486
2.195,-0.11381874503587
2.2,-0.117619217442073
2.205,-0.12159915759784
2.21,-0.125769634535051
2.215,-0.13014258312255
2.22,-0.13473088519535
2.225,-0.139548459600795
2.23,-0.144610362288065
2.235,-0.149932897728512
2.24,-0.155533743140988
2.245,-0.16143208721346
2.25,-0.167648785265003
2.255,-0.174206533087227
2.26,-0.18113006204929
2.265,-0.188446358454997
2.27,-0.196184910615717
2.275,-0.204377987662211
2.28,-0.213060954779061
2.285,-0.222272630326528
2.29,-0.232055691241825
2.295,-0.242457134213909
2.3,-0.253528801440283
2.305,-0.265327981345505
2.31,-0.27791809652476
2.315,-0.291369493440191
2.32,-0.305760351127582
2.325,-0.321177729471481
2.33,-0.337718781609452
2.335,-0.355492159894535
2.34,-0.374619650784559
2.345,-0.395238081296764
2.35,-0.417501548591086
2.355,-0.441584035238674
2.36,-0.467682486315911
2.365,-0.496020441303875
2.37,-0.526852334717443
2.375,-0.560468605522339
2.38,-0.597201788114564
2.385,-0.637433798723478
2.39,-0.68160468286194
2.395,-0.730223154858405
2.4,-0.783879343410329
2.405,-0.843260262472065
2.41,-0.909168661079872
2.415,-0.982546077283038
2.42,-1.06450114104154
2.425,-1.15634445285751
2.43,-1.25963172735121
2.435,-1.37621735786121
2.44,-1.50832116073837
2.445,-1.65861183767901
2.45,-1.83031170666016
2.455,-2.02732857273648
2.46,-2.25442234593611
2.465,-2.51741631903877
2.47,-2.82346611884817
2.475,-3.18140356089509
2.48,-3.60217835722624
2.485,-4.09942802776493
2.49,-4.69021414487105
2.495,-5.39596350011535
2.5,-6.24361368102545
2.505,-7.26675982537612
2.51,-8.5057603536225
2.515,-10.0024561313472
2.52,-11.7724351217143
2.525,-13.6951343086225
2.53,-15.2166363732533
2.535,-15.3203723869098
2.54,-13.9299345494495
2.545,-12.0492998056121
2.55,-10.2903460322453
2.555,-8.79800239992337
2.56,-7.56228400076903
2.565,-6.54192120572448
2.57,-5.69620384007912
2.575,-4.99122700970852
2.58,-4.3999366734091
2.585,-3.90094667800845
2.59,-3.47733057072911
2.595,-3.1156296020551
2.6,-2.80508268559761
2.605,-2.53703673004059
2.61,-2.30449497981952
2.615,-2.10176943628137
2.62,-1.92421182314376
2.625,-1.76800414780051
2.63,-1.62999477315208
2.635,-1.50756945883819
2.64,-1.39854942334647
2.645,-1.3011103915666
2.65,-1.2137180171239
2.655,-1.13507613861736
2.66,-1.06408513766491
2.665,-0.999808281596298
2.67,-0.941444403462042
2.675,-0.888305632526305
2.68,-0.839799166112033
2.685,-0.795412288387395
2.69,-0.754700008309071
2.695,-0.717274818711094
2.7,-0.682798179961284
2.705,-0.65097341117614
2.71,-0.621539734628395
2.715,-0.594267268478271
2.72,-0.568952802210862
2.725,-0.545416220401629
2.73,-0.523497465383797
2.735,-0.503053949393681
2.74,-0.483958342859912
2.745,-0.466096678491659
2.75,-0.44936672134261
2.755,-0.433676563579428
2.76,-0.41894340965785
2.765,-0.4050925233158
2.77,-0.392056312476969
2.775,-0.379773532015158
2.78,-0.368188587515265
2.785,-0.357250925806123
2.79,-0.34691450023322
2.795,-0.337137300466744
2.8,-0.327880938167681
2.805,-0.319110281114142
2.81,-0.310793129465453
2.815,-0.302899928747396
2.82,-0.295403514906866
2.825,-0.288278887432236
2.83,-0.281503007085236
2.835,-0.275054615258302
2.84,-0.268914072369988
2.845,-0.263063213052136
2.85,-0.257485216174639
2.855,-0.25216448800423
2.86,-0.247086557009605
2.865,-0.242237979011019
2.87,-0.237606251533206
2.875,-0.233179736359461
2.88,-0.228947589405244
2.885,-0.224899697134481
2.89,-0.221026618832773
2.895,-0.217319534131342
2.9,-0.213770195244813
2.905,-0.210370883446757
2.91,-0.207114369360153
2.915,-0.203993876686583
2.92,-0.201003049039104
2.925,-0.198135919579911
2.93,-0.19538688319574
2.935,-0.192750670972276
2.94,-0.190222326753571
2.945,-0.187797185594688
2.95,-0.185470853935322
2.955,-0.183239191339526
2.96,-0.181098293662126
2.965,-0.179044477516275
2.97,-0.177074265928721
2.975,-0.17518437508049
2.98,-0.17337170204037
2.985,-0.171633313407433
2.99,-0.16996643478664
2.995,-0.168368441028638
3,-0.166836847171264
