"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0246141331645418
2.005,-0.024822869915668
2.01,-0.0250324069552366
2.015,-0.0252427740550789
2.02,-0.0254540007897202
2.025,-0.0256661165401276
2.03,-0.0258791504974813
2.035,-0.0260931316669264
2.04,-0.0263080888713514
2.045,-0.026524050755123
2.05,-0.026741045787867
2.055,-0.0269591022682377
2.06,-0.0271782483276841
2.065,-0.0273985119342369
2.07,-0.0276199208963144
2.075,-0.0278425028665272
2.08,-0.0280662853454945
2.085,-0.0282912956856935
2.09,-0.0285175610953259
2.095,-0.028745108642181
2.1,-0.0289739652575636
2.105,-0.0292041577402056
2.11,-0.0294357127602476
2.115,-0.0296686568631965
2.12,-0.0299030164739816
2.125,-0.030138817900973
2.13,-0.0303760873401055
2.135,-0.0306148508789884
2.14,-0.0308551345010796
2.145,-0.0310969640899074
2.15,-0.031340365433322
2.155,-0.0315853642278124
2.16,-0.0318319860828563
2.165,-0.0320802565253354
2.17,-0.0323302010040036
2.175,-0.0325818448940185
2.18,-0.0328352135015087
2.185,-0.0330903320682404
2.19,-0.0333472257763283
2.195,-0.0336059197530128
2.2,-0.0338664390755209
2.205,-0.0341288087759968
2.21,-0.0343930538464985
2.215,-0.0346591992440923
2.22,-0.0349272698960214
2.225,-0.0351972907049492
2.23,-0.0354692865543234
2.235,-0.0357432823137803
2.24,-0.0360193028447167
2.245,-0.0362973730058749
2.25,-0.0365775176591067
2.255,-0.0368597616751884
2.26,-0.0371441299397817
2.265,-0.037430647359469
2.27,-0.0377193388679447
2.275,-0.0380102294322974
2.28,-0.0383033440594239
2.285,-0.0385987078025645
2.29,-0.038896345767992
2.295,-0.039196283121791
2.3,-0.0394985450968232
2.305,-0.039803156999808
2.31,-0.040110144218554
2.315,-0.0404195322293423
2.32,-0.0407313466044787
2.325,-0.0410456130199801
2.33,-0.0413623572634454
2.335,-0.0416816052420959
2.34,-0.0420033829909832
2.345,-0.0423277166813695
2.35,-0.0426546326293094
2.355,-0.042984157304408
2.36,-0.04331631733878
2.365,-0.0436511395362062
2.37,-0.0439886508814911
2.375,-0.0443288785500478
2.38,-0.0446718499176773
2.385,-0.0450175925705854
2.39,-0.0453661343156219
2.395,-0.0457175031907735
2.4,-0.0460717274758577
2.405,-0.0464288357035069
2.41,-0.0467888566703899
2.415,-0.0471518194486805
2.42,-0.0475177533978253
2.425,-0.0478866881765545
2.43,-0.0482586537552051
2.435,-0.0486336804283046
2.44,-0.0490117988274795
2.445,-0.0493930399346574
2.45,-0.0497774350955764
2.455,-0.0501650160336262
2.46,-0.0505558148640178
2.465,-0.0509498641082877
2.47,-0.0513471967091626
2.475,-0.0517478460457594
2.48,-0.0521518459491725
2.485,-0.0525592307184219
2.49,-0.0529700351367977
2.495,-0.0533842944885976
2.5,-0.0538020445762594
2.505,-0.0542233217379207
2.51,-0.0546481628654153
2.515,-0.0550766054226815
2.52,-0.0555086874646359
2.525,-0.0559444476565178
2.53,-0.0563839252936838
2.535,-0.0568271603218993
2.54,-0.0572741933581339
2.545,-0.0577250657118618
2.55,-0.0581798194068725
2.555,-0.0586384972036407
2.56,-0.0591011426222453
2.565,-0.0595677999658192
2.57,-0.060038514344634
2.575,-0.0605133317007337
2.58,-0.0609922988331984
2.585,-0.0614754634240317
2.59,-0.061962874064683
2.595,-0.0624545802832412
2.6,-0.062950632572281
2.605,-0.063451082417435
2.61,-0.063955982326637
2.615,-0.0644653858601267
2.62,-0.0649793476611699
2.625,-0.0654979234875916
2.63,-0.0660211702440331
2.635,-0.0665491460150713
2.64,-0.0670819100991346
2.645,-0.067619523043263
2.65,-0.0681620466787691
2.655,-0.0687095441577505
2.66,-0.0692620799905515
2.665,-0.0698197200841422
2.67,-0.0703825317814662
2.675,-0.0709505839017803
2.68,-0.0715239467819993
2.685,-0.0721026923190924
2.69,-0.0726868940135233
2.695,-0.0732766270138013
2.7,-0.0738719681621508
2.705,-0.074472996041322
2.71,-0.0750797910225863
2.715,-0.0756924353149485
2.72,-0.0763110130155763
2.725,-0.0769356101615351
2.73,-0.0775663147828014
2.735,-0.0782032169566143
2.74,-0.0788464088632336
2.745,-0.0794959848430589
2.75,-0.0801520414552225
2.755,-0.0808146775376654
2.76,-0.0814839942687131
2.765,-0.0821600952302314
2.77,-0.0828430864723618
2.775,-0.0835330765799096
2.78,-0.0842301767404029
2.785,-0.0849345008138984
2.79,-0.0856461654045136
2.795,-0.0863652899338291
2.8,-0.0870919967161005
2.805,-0.0878264110354053
2.81,-0.088568661224738
2.815,-0.0893188787471268
2.82,-0.0900771982787923
2.825,-0.0908437577944162
2.83,-0.0916186986545783
2.835,-0.0924021656954409
2.84,-0.0931943073206554
2.845,-0.0939952755956526
2.85,-0.0948052263443006
2.855,-0.0956243192480329
2.86,-0.0964527179474769
2.865,-0.0972905901466857
2.87,-0.0981381077199878
2.875,-0.0989954468215901
2.88,-0.0998627879979222
2.885,-0.100740316302868
2.89,-0.101628221415891
2.895,-0.102526697763182
2.9,-0.103435944641881
2.905,-0.10435616634743
2.91,-0.105287572304172
2.915,-0.106230377199263
2.92,-0.107184801119971
2.925,-0.108151069694446
2.93,-0.109129414236075
2.935,-0.110120071891483
2.94,-0.11112328579227
2.945,-0.112139305210583
2.95,-0.113168385718652
2.955,-0.114210789352305
2.96,-0.115266784778641
2.965,-0.116336647467929
2.97,-0.117420659869844
2.975,-0.11851911159411
2.98,-0.119632299595713
2.985,-0.120760528364769
2.99,-0.121904110121138
2.995,-0.123063365013938
3,-0.124238621326048
