"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0218975435946659
2.005,-0.0220920529402533
2.01,-0.0222877361760902
2.015,-0.0224846096953059
2.02,-0.022682690037641
2.025,-0.0228819938919865
2.03,-0.0230825380989589
2.035,-0.0232843396534838
2.04,-0.023487415707419
2.045,-0.0236917835721919
2.05,-0.0238974607214825
2.055,-0.0241044647939162
2.06,-0.0243128135958009
2.065,-0.0245225251038755
2.07,-0.0247336174681103
2.075,-0.0249461090145187
2.08,-0.0251600182480167
2.085,-0.0253753638552994
2.09,-0.0255921647077551
2.095,-0.0258104398644299
2.1,-0.026030208574987
2.105,-0.0262514902827478
2.11,-0.0264743046277273
2.115,-0.0266986714497374
2.12,-0.0269246107915072
2.125,-0.0271521429018463
2.13,-0.0273812882388406
2.135,-0.0276120674731117
2.14,-0.0278445014910756
2.145,-0.0280786113982769
2.15,-0.0283144185227544
2.155,-0.0285519444184271
2.16,-0.0287912108685676
2.165,-0.0290322398892649
2.17,-0.0292750537329801
2.175,-0.0295196748921194
2.18,-0.0297661261026611
2.185,-0.0300144303478282
2.19,-0.0302646108618101
2.195,-0.030516691133529
2.2,-0.0307706949104704
2.205,-0.0310266462025374
2.21,-0.0312845692859815
2.215,-0.0315444887073797
2.22,-0.0318064292876499
2.225,-0.0320704161261377
2.23,-0.0323364746047561
2.235,-0.0326046303921685
2.24,-0.0328749094480489
2.245,-0.0331473380273827
2.25,-0.0334219426848329
2.255,-0.0336987502791769
2.26,-0.0339777879777753
2.265,-0.034259083261149
2.27,-0.0345426639275706
2.275,-0.0348285580977539
2.28,-0.0351167942196041
2.285,-0.0354074010730207
2.29,-0.0357004077747768
2.295,-0.0359958437834832
2.3,-0.0362937389045869
2.305,-0.0365941232954845
2.31,-0.0368970274706725
2.315,-0.0372024823069897
2.32,-0.0375105190489458
2.325,-0.0378211693140911
2.33,-0.0381344650985085
2.335,-0.0384504387823519
2.34,-0.0387691231354762
2.345,-0.0390905513231639
2.35,-0.0394147569119125
2.355,-0.0397417738753243
2.36,-0.0400716366000743
2.365,-0.0404043798919711
2.37,-0.0407400389821037
2.375,-0.0410786495330898
2.38,-0.0414202476454042
2.385,-0.0417648698638101
2.39,-0.0421125531838874
2.395,-0.0424633350586523
2.4,-0.0428172534052865
2.405,-0.0431743466119662
2.41,-0.043534653544784
2.415,-0.0438982135547849
2.42,-0.0442650664851201
2.425,-0.0446352526782871
2.43,-0.045008812983492
2.435,-0.0453857887641363
2.44,-0.0457662219054029
2.445,-0.04615015482195
2.45,-0.0465376304657592
2.455,-0.0469286923340772
2.46,-0.0473233844774769
2.465,-0.0477217515080668
2.47,-0.0481238386078077
2.475,-0.0485296915369777
2.48,-0.0489393566427424
2.485,-0.0493528808678965
2.49,-0.0497703117597026
2.495,-0.0501916974789086
2.5,-0.0506170868088704
2.505,-0.0510465291648502
2.51,-0.051480074603437
2.515,-0.0519177738321425
2.52,-0.0523596782191133
2.525,-0.0528058398030384
2.53,-0.0532563113031889
2.535,-0.053711146129618
2.54,-0.0541703983935442
2.545,-0.0546341229178798
2.55,-0.0551023752479337
2.555,-0.055575211662305
2.56,-0.0560526891839167
2.565,-0.0565348655912598
2.57,-0.0570217994298147
2.575,-0.0575135500236314
2.58,-0.0580101774871339
2.585,-0.0585117427370924
2.59,-0.0590183075047988
2.595,-0.0595299343484506
2.6,-0.0600466866657042
2.605,-0.0605686287064847
2.61,-0.0610958255859543
2.615,-0.061628343297738
2.62,-0.0621662487273243
2.625,-0.0627096096657371
2.63,-0.0632584948233773
2.635,-0.0638129738441416
2.64,-0.0643731173197468
2.645,-0.064938996804305
2.65,-0.0655106848291352
2.655,-0.0660882549178154
2.66,-0.0666717816015098
2.665,-0.0672613404345192
2.67,-0.0678570080101201
2.675,-0.0684588619766424
2.68,-0.0690669810538482
2.685,-0.0696814450495632
2.69,-0.070302334876587
2.695,-0.0709297325699009
2.7,-0.0715637213041593
2.705,-0.0722043854114877
2.71,-0.0728518103995532
2.715,-0.0735060829699766
2.72,-0.074167291037039
2.725,-0.0748355237467023
2.73,-0.0755108714959631
2.735,-0.0761934259525375
2.74,-0.0768832800748744
2.745,-0.0775805281325157
2.75,-0.0782852657268002
2.755,-0.0789975898119404
2.76,-0.0797175987164311
2.765,-0.0804453921648548
2.77,-0.081181071300038
2.775,-0.0819247387056215
2.78,-0.0826764984289801
2.785,-0.0834364560045766
2.79,-0.084204718477689
2.795,-0.0849813944285691
2.8,-0.0857665939970278
2.805,-0.0865604289074023
2.81,-0.0873630124940251
2.815,-0.0881744597270795
2.82,-0.0889948872389368
2.825,-0.0898244133509403
2.83,-0.0906631581006663
2.835,-0.0915112432696603
2.84,-0.0923687924116549
2.845,-0.0932359308812893
2.85,-0.0941127858633231
2.855,-0.0949994864023815
2.86,-0.095896163433208
2.865,-0.0968029498114638
2.87,-0.0977199803450551
2.875,-0.0986473918260347
2.88,-0.0995853230630491
2.885,-0.100533914914372
2.89,-0.101493310321521
2.895,-0.102463654343469
2.9,-0.103445094191466
2.905,-0.104437779264487
2.91,-0.105441861185291
2.915,-0.106457493837141
2.92,-0.107484833401191
2.925,-0.108524038394496
2.93,-0.109575269708754
2.935,-0.110638690649711
2.94,-0.111714466977278
2.945,-0.112802766946367
2.95,-0.113903761348473
2.955,-0.115017623553982
2.96,-0.116144529555246
2.965,-0.117284658010457
2.97,-0.118438190288276
2.975,-0.119605310513283
2.98,-0.120786205612264
2.985,-0.121981065361294
2.99,-0.123190082433708
2.995,-0.124413452448929
3,-0.125651374022168
