"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0216746693503419
2.005,-0.021847380264866
2.01,-0.0220211567456691
2.015,-0.0221960093969597
2.02,-0.0223719487179306
2.025,-0.022548985109119
2.03,-0.0227271288786517
2.035,-0.0229063902484192
2.04,-0.0230867793601636
2.045,-0.023268306281484
2.05,-0.0234509810117516
2.055,-0.0236348134879612
2.06,-0.0238198135905111
2.065,-0.02400599114889
2.07,-0.0241933559473285
2.075,-0.0243819177303418
2.08,-0.024571686208243
2.085,-0.0247626710625841
2.09,-0.0249548819515239
2.095,-0.0251483285151473
2.1,-0.0253430203807406
2.105,-0.0255389671679809
2.11,-0.025736178494116
2.115,-0.0259346639790557
2.12,-0.0261344332504349
2.125,-0.0263354959486391
2.13,-0.026537861731759
2.135,-0.0267415402805193
2.14,-0.0269465413031825
2.145,-0.0271528745403837
2.15,-0.0273605497699394
2.155,-0.0275695768116434
2.16,-0.0277799655319901
2.165,-0.0279917258489059
2.17,-0.028204867736413
2.175,-0.0284194012292974
2.18,-0.0286353364277343
2.185,-0.02885268350189
2.19,-0.0290714526964921
2.195,-0.0292916543354086
2.2,-0.0295132988261594
2.205,-0.0297363966644487
2.21,-0.029960958438659
2.215,-0.0301869948343448
2.22,-0.03041451663869
2.225,-0.0306435347449682
2.23,-0.0308740601569887
2.235,-0.0311061039935294
2.24,-0.0313396774927616
2.245,-0.031574792016663
2.25,-0.0318114590554391
2.255,-0.0320496902319113
2.26,-0.0322894973059318
2.265,-0.0325308921787789
2.27,-0.0327738868975468
2.275,-0.0330184936595629
2.28,-0.0332647248167517
2.285,-0.0335125928800737
2.29,-0.0337621105239045
2.295,-0.0340132905904507
2.3,-0.0342661460941623
2.305,-0.0345206902261652
2.31,-0.034776936358679
2.315,-0.0350348980494584
2.32,-0.0352945890462511
2.325,-0.0355560232912525
2.33,-0.035819214925589
2.335,-0.0360841782937893
2.34,-0.0363509279483156
2.345,-0.0366194786540576
2.35,-0.0368898453928855
2.355,-0.0371620433682039
2.36,-0.0374360880095167
2.365,-0.0377119949770455
2.37,-0.0379897801663193
2.375,-0.0382694597128375
2.38,-0.0385510499967231
2.385,-0.0388345676474215
2.39,-0.039120029548398
2.395,-0.0394074528418984
2.4,-0.0396968549337116
2.405,-0.0399882534979641
2.41,-0.0402816664819623
2.415,-0.040577112111046
2.42,-0.0408746088934724
2.425,-0.041174175625355
2.43,-0.0414758313956254
2.435,-0.0417795955910172
2.44,-0.0420854879011122
2.445,-0.0423935283233962
2.45,-0.0427037371683819
2.455,-0.0430161350647433
2.46,-0.0433307429645135
2.465,-0.0436475821483135
2.47,-0.043966674230624
2.475,-0.0442880411650945
2.48,-0.0446117052499181
2.485,-0.0449376891332242
2.49,-0.0452660158185492
2.495,-0.0455967086703187
2.5,-0.0459297914194148
2.505,-0.0462652881687622
2.51,-0.0466032233989951
2.515,-0.0469436219741443
2.52,-0.0472865091474068
2.525,-0.0476319105669481
2.53,-0.0479798522817792
2.535,-0.0483303607476589
2.54,-0.0486834628330963
2.545,-0.0490391858253742
2.55,-0.0493975574366508
2.555,-0.0497586058101184
2.56,-0.0501223595262266
2.565,-0.0504888476089541
2.57,-0.0508580995321671
2.575,-0.0512301452260279
2.58,-0.0516050150834593
2.585,-0.0519827399667159
2.59,-0.0523633512139649
2.595,-0.0527468806459972
2.6,-0.053133360572961
2.605,-0.0535228238011942
2.61,-0.0539153036401206
2.615,-0.0543108339092138
2.62,-0.0547094489450565
2.625,-0.0551111836084509
2.63,-0.0555160732916274
2.635,-0.0559241539255097
2.64,-0.0563354619870862
2.645,-0.0567500345068396
2.65,-0.0571679090762731
2.655,-0.0575891238555034
2.66,-0.0580137175809666
2.665,-0.058441729573168
2.67,-0.0588731997445639
2.675,-0.0593081686074933
2.68,-0.059746677282229
2.685,-0.0601887675050963
2.69,-0.0606344816366907
2.695,-0.0610838626701968
2.7,-0.0615369542397877
2.705,-0.061993800629131
2.71,-0.062454446779988
2.715,-0.0629189383008968
2.72,-0.0633873214759868
2.725,-0.0638596432738593
2.73,-0.0643359513565818
2.735,-0.0648162940888073
2.74,-0.0653007205469529
2.745,-0.065789280528526
2.75,-0.0662820245615315
2.755,-0.0667790039139995
2.76,-0.0672802706036216
2.765,-0.0677858774074866
2.77,-0.0682958778719421
2.775,-0.0688103263225618
2.78,-0.0693292778742325
2.785,-0.0698527884413484
2.79,-0.070380914748135
2.795,-0.0709137143390754
2.8,-0.0714512455894757
2.805,-0.071993567716137
2.81,-0.0725407407881583
2.815,-0.0730928257378543
2.82,-0.0736498843718066
2.825,-0.0742119793820489
2.83,-0.074779174357357
2.835,-0.0753515337946937
2.84,-0.0759291231107673
2.845,-0.076512008653726
2.85,-0.0771002577149982
2.855,-0.0776939385412398
2.86,-0.0782931203464696
2.865,-0.0788978733242612
2.87,-0.0795082686601638
2.875,-0.0801243785441991
2.88,-0.0807462761835301
2.885,-0.0813740358152559
2.89,-0.082007732719377
2.895,-0.0826474432318763
2.9,-0.0832932447579637
2.905,-0.0839452157854743
2.91,-0.0846034358983913
2.915,-0.0852679857905704
2.92,-0.0859389472795453
2.925,-0.086616403320559
2.93,-0.087300438020696
2.935,-0.0879911366532247
2.94,-0.0886885856720193
2.945,-0.089392872726231
2.95,-0.0901040866750589
2.955,-0.0908223176027034
2.96,-0.0915476568334837
2.965,-0.0922801969471148
2.97,-0.093020031794151
2.975,-0.0937672565116062
2.98,-0.09452196753872
2.985,-0.095284262632922
2.99,-0.096054240885944
2.995,-0.096832002740113
3,-0.0976176500048185
