"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0245959106479596
2.005,-0.0248147584323851
2.01,-0.0250343426010401
2.015,-0.0252547050022443
2.02,-0.0254758870263303
2.025,-0.0256979296125823
2.03,-0.0259208732561678
2.035,-0.0261447580150186
2.04,-0.0263696235167296
2.045,-0.0265955089654163
2.05,-0.0268224531485885
2.055,-0.0270504944439929
2.06,-0.0272796708264573
2.065,-0.0275100198747533
2.07,-0.027741578778425
2.075,-0.0279743843446476
2.08,-0.0282084730050754
2.085,-0.0284438808227215
2.09,-0.0286806434988195
2.095,-0.0289187963797206
2.1,-0.0291583744638007
2.105,-0.0293994124083915
2.11,-0.0296419445367259
2.115,-0.0298860048449252
2.12,-0.0301316270089905
2.125,-0.0303788443918568
2.13,-0.0306276900504412
2.135,-0.0308781967427763
2.14,-0.0311303969351337
2.145,-0.0313843228092359
2.15,-0.0316400062694708
2.155,-0.0318974789502015
2.16,-0.0321567722230771
2.165,-0.0324179172044391
2.17,-0.0326809447627699
2.175,-0.0329458855261952
2.18,-0.0332127698900564
2.185,-0.0334816280245578
2.19,-0.0337524898824671
2.195,-0.0340253852069021
2.2,-0.0343003435391882
2.205,-0.0345773942267967
2.21,-0.0348565664313622
2.215,-0.0351378891367917
2.22,-0.0354213911574594
2.225,-0.0357071011464949
2.23,-0.0359950476041641
2.235,-0.0362852588863591
2.24,-0.0365777632131801
2.245,-0.0368725886776293
2.25,-0.0371697632544202
2.255,-0.0374693148088785
2.26,-0.0377712711059971
2.265,-0.0380756598195748
2.27,-0.0383825085415174
2.275,-0.0386918447912231
2.28,-0.0390036960251438
2.285,-0.0393180896464553
2.29,-0.0396350530148862
2.295,-0.0399546134566771
2.3,-0.0402767982746966
2.305,-0.0406016347587135
2.31,-0.0409291501958171
2.315,-0.0412593718810175
2.32,-0.0415923271279768
2.325,-0.041928043279974
2.33,-0.0422665477209678
2.335,-0.0426078678869088
2.34,-0.0429520312771936
2.345,-0.0432990654663294
2.35,-0.0436489981157863
2.355,-0.0440018569860567
2.36,-0.0443576699489041
2.365,-0.0447164649998523
2.37,-0.0450782702708555
2.375,-0.0454431140432269
2.38,-0.0458110247607478
2.385,-0.046182031043067
2.39,-0.0465561616992887
2.395,-0.046933445741832
2.4,-0.0473139124005399
2.405,-0.0476975911370217
2.41,-0.0480845116593025
2.415,-0.0484747039366855
2.42,-0.0488681982149495
2.425,-0.0492650250317794
2.43,-0.0496652152325137
2.435,-0.0500687999861851
2.44,-0.050475810801849
2.445,-0.0508862795452482
2.45,-0.0513002384557613
2.455,-0.0517177201637226
2.46,-0.0521387577080215
2.465,-0.0525633845540829
2.47,-0.0529916346121849
2.475,-0.0534235422561257
2.48,-0.0538591423422575
2.485,-0.0542984702289074
2.49,-0.0547415617961643
2.495,-0.0551884534660684
2.5,-0.0556391822231822
2.505,-0.0560937856356078
2.51,-0.0565523018763691
2.515,-0.057014769745289
2.52,-0.0574812286912373
2.525,-0.0579517188348678
2.53,-0.0584262809918164
2.535,-0.0589049566963423
2.54,-0.0593877882254628
2.545,-0.0598748186235838
2.55,-0.0603660917276226
2.555,-0.0608616521926501
2.56,-0.0613615455180645
2.565,-0.0618658180742561
2.57,-0.0623745171299114
2.575,-0.062887690879774
2.58,-0.0634053884730644
2.585,-0.0639276600424272
2.59,-0.0644545567335189
2.595,-0.0649861307351817
2.6,-0.0655224353102652
2.605,-0.0660635248270713
2.61,-0.0666094547914715
2.615,-0.06716028187968
2.62,-0.0677160639717204
2.625,-0.0682768601856031
2.63,-0.0688427309121864
2.635,-0.0694137378508272
2.64,-0.0699899440456992
2.645,-0.0705714139229734
2.65,-0.0711582133287008
2.655,-0.0717504095675324
2.66,-0.0723480714422673
2.665,-0.0729512692942039
2.67,-0.0735600750443738
2.675,-0.0741745622356444
2.68,-0.0747948060757088
2.685,-0.075420883480989
2.69,-0.0760528731214867
2.695,-0.0766908554665747
2.7,-0.0773349128317666
2.705,-0.0779851294264876
2.71,-0.0786415914028642
2.715,-0.0793043869055614
2.72,-0.079973606122668
2.725,-0.0806493413377013
2.73,-0.0813316869826823
2.735,-0.0820207396923908
2.74,-0.0827165983597571
2.745,-0.0834193641924535
2.75,-0.0841291407706913
2.755,-0.0848460341062711
2.76,-0.0855701527028808
2.765,-0.086301607617723
2.77,-0.0870405125244302
2.775,-0.0877869837773574
2.78,-0.0885411404772608
2.785,-0.0893031045383627
2.79,-0.0900730007568864
2.795,-0.0908509568810685
2.8,-0.0916371036826549
2.805,-0.0924315750299571
2.81,-0.0932345079624858
2.815,-0.0940460427671775
2.82,-0.0948663230562626
2.825,-0.0956954958468378
2.83,-0.0965337116421243
2.835,-0.0973811245144832
2.84,-0.0982378921902468
2.845,-0.0991041761363281
2.85,-0.0999801416487475
2.855,-0.100865957943023
2.86,-0.101761798246544
2.865,-0.102667839892904
2.87,-0.103584264418279
2.875,-0.104511257659876
2.88,-0.105449009856497
2.885,-0.106397715751265
2.89,-0.107357574696561
2.895,-0.108328790761199
2.9,-0.109311572839921
2.905,-0.11030613476523
2.91,-0.111312695421606
2.915,-0.112331478862203
2.92,-0.113362714427994
2.925,-0.114406636869505
2.93,-0.115463486471132
2.935,-0.116533509178089
2.94,-0.11761695672611
2.945,-0.118714086773855
2.95,-0.119825163038178
2.955,-0.120950455432233
2.96,-0.122090240206533
2.965,-0.12324480009297
2.97,-0.124414424451914
2.975,-0.12559940942238
2.98,-0.12680005807538
2.985,-0.128016680570503
2.99,-0.129249594315776
2.995,-0.130499124130876
3,-0.131765602413751
