"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0206109608357503
2.005,-0.020762887411645
2.01,-0.0209157958328871
2.015,-0.0210697080641665
2.02,-0.0212246474052262
2.025,-0.0213806386240499
2.03,-0.0215377081064663
2.035,-0.0216958840244931
2.04,-0.0218551965261472
2.045,-0.0220156779499311
2.05,-0.0221773630676626
2.055,-0.0223402893600794
2.06,-0.0225044973302502
2.065,-0.0226700308609187
2.07,-0.0228369376228574
2.075,-0.0230052695427224
2.08,-0.0231750833404989
2.085,-0.0233464411485273
2.09,-0.0235194112265331
2.095,-0.023694068789975
2.1,-0.0238704969726209
2.105,-0.0240487879486278
2.11,-0.0242290442449618
2.115,-0.024411380281718
2.12,-0.0245959241865592
2.125,-0.0247828199400739
2.13,-0.0249722299225925
2.135,-0.0251643379501538
2.14,-0.0253593529094273
2.145,-0.0255575131298518
2.15,-0.0257590916679174
2.155,-0.0259644027266466
2.16,-0.0261738094961175
2.165,-0.026387733784291
2.17,-0.0266066679183203
2.175,-0.026831189545876
2.18,-0.0270619801683566
2.185,-0.0272998485150353
2.19,-0.0275457602502891
2.195,-0.0278008760415181
2.2,-0.0280666007720392
2.205,-0.0283446477655405
2.21,-0.0286371234571649
2.215,-0.0289466402504841
2.22,-0.0292764687363954
2.225,-0.0296307456581033
2.23,-0.0300147620381489
2.235,-0.0304353685049154
2.24,-0.0309015550995585
2.245,-0.0314252960445664
2.25,-0.0320228057433318
2.255,-0.0327164485458006
2.26,-0.0335377158180098
2.265,-0.0345319973966797
2.27,-0.0357664695615129
2.275,-0.0373435935725009
2.28,-0.0394251181250341
2.285,-0.0422765822800437
2.29,-0.0463535109699272
2.295,-0.0524751723653633
2.3,-0.0621814387160452
2.305,-0.0784175386976142
2.31,-0.10626706553144
2.315,-0.149221093113557
2.32,-0.185460135039567
2.325,-0.169622169022425
2.33,-0.125990078641752
2.335,-0.0927443353757956
2.34,-0.0728265983904205
2.345,-0.061068779858638
2.35,-0.0538548723285302
2.355,-0.0492259456016853
2.36,-0.046137028404898
2.365,-0.0440104197981433
2.37,-0.0425117741232209
2.375,-0.0414387600486396
2.38,-0.0406638895907558
2.385,-0.0401039148908195
2.39,-0.0397027471465472
2.395,-0.0394215433150594
2.4,-0.0392327449290188
2.405,-0.0391163771394425
2.41,-0.0390576842196167
2.415,-0.0390455795513501
2.42,-0.0390716057349692
2.425,-0.0391292222012584
2.43,-0.0392133078534372
2.435,-0.0393198078047027
2.44,-0.0394454784921128
2.445,-0.039587701108128
2.45,-0.0397443432236109
2.455,-0.0399136548982886
2.46,-0.0400941898021132
2.465,-0.0402847446995122
2.47,-0.0404843125706022
2.475,-0.0406920459679055
2.48,-0.0409072281320645
2.485,-0.0411292500440533
2.49,-0.0413575920590019
2.495,-0.0415918091049059
2.5,-0.0418315186764728
2.505,-0.0420763910363776
2.51,-0.0423261411717017
2.515,-0.0425805221549965
2.52,-0.0428393196362469
2.525,-0.0431023472506505
2.53,-0.0433694427721135
2.535,-0.0436404648770507
2.54,-0.043915290410267
2.545,-0.0441938120657123
2.55,-0.044475936411688
2.555,-0.0447615822031941
2.56,-0.0450506789347176
2.565,-0.0453431655950395
2.57,-0.0456389895924979
2.575,-0.0459381058245875
2.58,-0.0462404758701344
2.585,-0.0465460672860309
2.59,-0.0468548529933042
2.595,-0.0471668107399042
2.6,-0.0474819226294073
2.605,-0.0478001747066742
2.61,-0.0481215565927099
2.615,-0.048446061162283
2.62,-0.048773684258663
2.625,-0.0491044244407663
2.63,-0.0494382827586248
2.635,-0.0497752625536484
2.64,-0.0501153692806796
2.645,-0.0504586103492032
2.65,-0.0508049949814886
2.655,-0.0511545340856513
2.66,-0.0515072401419642
2.665,-0.0518631271009146
2.67,-0.0522222102916891
2.675,-0.0525845063399961
2.68,-0.0529500330941617
2.685,-0.0533188095586818
2.69,-0.0536908558344179
2.695,-0.0540661930647792
2.7,-0.0544448433872731
2.705,-0.0548268298899122
2.71,-0.0552121765719792
2.715,-0.0556009083087672
2.72,-0.0559930508198924
2.725,-0.0563886306408667
2.73,-0.0567876750976278
2.735,-0.0571902122837829
2.74,-0.0575962710402941
2.745,-0.0580058809374535
2.75,-0.0584190722588914
2.755,-0.0588358759875185
2.76,-0.0592563237932078
2.765,-0.0596804480220922
2.77,-0.060108281687378
2.775,-0.0605398584615279
2.78,-0.0609752126697516
2.785,-0.06141437928471
2.79,-0.0618573939223264
2.795,-0.0623042928386903
2.8,-0.0627551129279298
2.805,-0.06320989172104
2.81,-0.0636686673856179
2.815,-0.0641314787264026
2.82,-0.0645983651866709
2.825,-0.0650693668503827
2.83,-0.065544524445066
2.835,-0.0660238793454242
2.84,-0.0665074735776375
2.845,-0.0669953498243166
2.85,-0.0674875514301386
2.855,-0.0679841224080811
2.86,-0.0684851074463144
2.865,-0.0689905519156994
2.87,-0.069500501877863
2.875,-0.0700150040939225
2.88,-0.0705341060337573
2.885,-0.0710578558859088
2.89,-0.0715863025680389
2.895,-0.0721194957380135
2.9,-0.0726574858055609
2.905,-0.0732003239445189
2.91,-0.0737480621057174
2.915,-0.0743007530304382
2.92,-0.074858450264506
2.925,-0.0754212081730124
2.93,-0.0759890819556595
2.935,-0.076562127662771
2.94,-0.0771404022119497
2.945,-0.0777239634054166
2.95,-0.0783128699480412
2.955,-0.0789071814660784
2.96,-0.0795069585266213
2.965,-0.0801122626578254
2.97,-0.0807231563698515
2.975,-0.0813397031766341
2.98,-0.081961967618436
2.985,-0.0825900152852461
2.99,-0.0832239128410104
2.995,-0.0838637280487808
3,-0.0845095297967478
