"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.034191191698876
2.005,-0.0347785016824324
2.01,-0.0353803260706083
2.015,-0.0359970881438699
2.02,-0.036629227838438
2.025,-0.0372772025099399
2.03,-0.037941487738043
2.035,-0.0386225781747161
2.04,-0.0393209884387354
2.045,-0.04003725405936
2.05,-0.0407719324722092
2.055,-0.0415256040707011
2.06,-0.0422988733165248
2.065,-0.0430923699129707
2.07,-0.0439067500451825
2.075,-0.0447426976916373
2.08,-0.045600926011613
2.085,-0.0464821788135619
2.09,-0.0473872321098739
2.095,-0.0483168957637923
2.1,-0.0492720152346834
2.105,-0.0502534734284571
2.11,-0.0512621926602982
2.115,-0.052299136737509
2.12,-0.0533653131709154
2.125,-0.0544617755238014
2.13,-0.0555896259082661
2.135,-0.0567500176394351
2.14,-0.0579441580590873
2.145,-0.0591733115409071
2.15,-0.0604388026908022
2.155,-0.061742019756714
2.16,-0.0630844182636175
2.165,-0.0644675248906807
2.17,-0.0658929416090289
2.175,-0.067362350100105
2.18,-0.0688775164764292
2.185,-0.0704402963283335
2.19,-0.0720526401224404
2.195,-0.073716598979879
2.2,-0.0754343308647531
2.205,-0.0772081072161516
2.21,-0.0790403200600312
2.215,-0.0809334896405948
2.22,-0.0828902726145821
2.225,-0.0849134708558369
2.23,-0.0870060409221322
2.235,-0.0891711042410834
2.24,-0.0914119580775963
2.245,-0.0937320873512819
2.25,-0.0961351773790728
2.255,-0.0986251276257772
2.26,-0.10120606655352
2.265,-0.10388236767042
2.27,-0.106658666888937
2.275,-0.109539881315966
2.28,-0.112531229609344
2.285,-0.11563825404981
2.29,-0.11886684449328
2.295,-0.122223264386156
2.3,-0.12571417904625
2.305,-0.12934668643426
2.31,-0.133128350665834
2.315,-0.13706723854221
2.32,-0.141171959409314
2.325,-0.145451708690584
2.33,-0.14991631547899
2.335,-0.154576294619078
2.34,-0.159442903760861
2.345,-0.164528205925317
2.35,-0.169845138186767
2.355,-0.175407587151488
2.36,-0.181230471996333
2.365,-0.187329835926713
2.37,-0.193722947022284
2.375,-0.20042840956258
2.38,-0.207466287066332
2.385,-0.214858238439506
2.39,-0.222627668811679
2.395,-0.230799896851239
2.4,-0.239402340591721
2.405,-0.248464724078604
2.41,-0.258019307463913
2.415,-0.268101143541223
2.42,-0.278748364133684
2.425,-0.290002500230684
2.43,-0.301908840325177
2.435,-0.314516832044307
2.44,-0.327880532904303
2.445,-0.342059116871424
2.45,-0.357117444391267
2.455,-0.373126704678054
2.46,-0.39016514035563
2.465,-0.408318866036394
2.47,-0.427682794139528
2.475,-0.448361683213467
2.48,-0.47047132626745
2.485,-0.494139899160844
2.49,-0.519509491969775
2.495,-0.546737849463438
2.5,-0.576000350377406
2.505,-0.607492259042576
2.51,-0.641431287049723
2.515,-0.678060506870739
2.52,-0.717651663489927
2.525,-0.760508933746618
2.53,-0.806973185657329
2.535,-0.857426790549101
2.54,-0.912299037994258
2.545,-0.972072195188233
2.55,-1.03728823543632
2.555,-1.10855623022025
2.56,-1.18656034918852
2.565,-1.27206833261149
2.57,-1.36594017730757
2.575,-1.4691365896535
2.58,-1.58272647945791
2.585,-1.70789235605178
2.59,-1.84593188732961
2.595,-1.99825301825468
2.6,-2.16635881844526
2.605,-2.35181651540748
2.61,-2.55620283139394
2.615,-2.78101465356573
2.62,-3.02753020150304
2.625,-3.29660146759843
2.63,-3.58835471728768
2.635,-3.90177457414688
2.64,-4.23415364771163
2.645,-4.58041304343686
2.65,-4.93235389951157
2.655,-5.27800246052726
2.66,-5.60136271118833
2.665,-5.88304078291783
2.67,-6.10220652370211
2.675,-6.23999055304058
2.68,-6.28360790324958
2.685,-6.22966334614468
2.69,-6.08504916370857
2.695,-5.86496635537543
2.7,-5.58910366392428
2.705,-5.2776843638786
2.71,-4.94863102416679
2.715,-4.61618921145615
2.72,-4.29070845796244
2.725,-3.97908701135256
2.73,-3.68547342017841
2.735,-3.41197973764577
2.74,-3.15929386589406
2.745,-2.92715914188928
2.75,-2.71472856186834
2.755,-2.52081558449862
2.76,-2.3440656344957
2.765,-2.18306951904249
2.77,-2.03643562716722
2.775,-1.90283359794064
2.78,-1.78101866758462
2.785,-1.66984322252587
2.79,-1.56826010024725
2.795,-1.47532075002328
2.8,-1.39017035476984
2.805,-1.31204131033526
2.81,-1.24024597251105
2.815,-1.17416925031889
2.82,-1.11326140008983
2.825,-1.05703122531661
2.83,-1.0050397888967
2.835,-0.95689468091352
2.84,-0.912244845243823
2.845,-0.870775944249138
2.85,-0.832206227273936
2.855,-0.796282861990165
2.86,-0.762778685327143
2.865,-0.731489331144394
2.87,-0.702230693831773
2.875,-0.67483668992477
2.88,-0.649157283127741
2.885,-0.625056741543451
2.89,-0.602412099229576
2.895,-0.581111797335056
2.9,-0.561054482956255
2.905,-0.542147946471925
2.91,-0.524308180464958
2.915,-0.507458545428121
2.92,-0.491529029297632
2.925,-0.476455589483326
2.93,-0.462179567488661
2.935,-0.44864716746017
2.94,-0.435808991093698
2.945,-0.42361962227362
2.95,-0.412037255647823
2.955,-0.401023364061281
2.96,-0.390542400398086
2.965,-0.380561529927933
2.97,-0.371050389728876
2.975,-0.361980872173011
2.98,-0.353326929823466
2.985,-0.345064399406853
2.99,-0.33717084280122
2.995,-0.329625403220697
3,-0.322408674989119
