"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0368089596926815
2.005,-0.0372127034813432
2.01,-0.0376192042261192
2.015,-0.0380284814135122
2.02,-0.0384405551766619
2.025,-0.0388554463036125
2.03,-0.0392731762457709
2.035,-0.0396937671265746
2.04,-0.0401172417504099
2.045,-0.0405436236117236
2.05,-0.0409729369043837
2.055,-0.0414052065312611
2.06,-0.0418404581140609
2.065,-0.0422787180033902
2.07,-0.0427200132890758
2.075,-0.0431643718107432
2.08,-0.0436118221686491
2.085,-0.0440623937347722
2.09,-0.0445161166641941
2.095,-0.0449730219067402
2.1,-0.0454331412189151
2.105,-0.0458965071761171
2.11,-0.0463631531851708
2.115,-0.0468331134971408
2.12,-0.0473064232204648
2.125,-0.0477831183344132
2.13,-0.0482632357028616
2.135,-0.0487468130884127
2.14,-0.0492338891668425
2.145,-0.0497245035419207
2.15,-0.0502186967605622
2.155,-0.0507165103283762
2.16,-0.0512179867255736
2.165,-0.0517231694232808
2.17,-0.0522321029002183
2.175,-0.0527448326598308
2.18,-0.0532614052478062
2.185,-0.053781868270041
2.19,-0.0543062704110328
2.195,-0.0548346614527376
2.2,-0.0553670922938962
2.205,-0.0559036149698277
2.21,-0.056444282672725
2.215,-0.0569891497724537
2.22,-0.057538271837869
2.225,-0.0580917056586644
2.23,-0.0586495092677812
2.235,-0.0592117419643752
2.24,-0.0597784643373671
2.245,-0.0603497382895873
2.25,-0.0609256270625515
2.255,-0.0615061952618508
2.26,-0.062091508883212
2.265,-0.0626816353392249
2.27,-0.0632766434867539
2.275,-0.0638766036550886
2.28,-0.0644815876747926
2.285,-0.0650916689073441
2.29,-0.0657069222755501
2.295,-0.0663274242947421
2.3,-0.0669532531048549
2.305,-0.067584488503296
2.31,-0.0682212119787609
2.315,-0.0688635067459204
2.32,-0.0695114577810743
2.325,-0.0701651518587559
2.33,-0.0708246775893606
2.335,-0.0714901254577954
2.34,-0.0721615878632163
2.345,-0.072839159159845
2.35,-0.0735229356989654
2.355,-0.0742130158720677
2.36,-0.074909500155224
2.365,-0.0756124911547356
2.37,-0.0763220936540743
2.375,-0.07703841466219
2.38,-0.0777615634631837
2.385,-0.0784916516674631
2.39,-0.0792287932643596
2.395,-0.0799731046763181
2.4,-0.0807247048146797
2.405,-0.0814837151371288
2.41,-0.0822502597068369
2.415,-0.0830244652534285
2.42,-0.0838064612357478
2.425,-0.0845963799065705
2.43,-0.0853943563792729
2.435,-0.0862005286965825
2.44,-0.0870150379014193
2.445,-0.087838028109996
2.45,-0.0886696465871646
2.455,-0.0895100438241738
2.46,-0.0903593736188743
2.465,-0.0912177931585066
2.47,-0.0920854631051121
2.475,-0.0929625476837564
2.48,-0.0938492147735807
2.485,-0.0947456360018492
2.49,-0.0956519868410926
2.495,-0.0965684467094703
2.5,-0.0974951990744754
2.505,-0.0984324315601201
2.51,-0.0993803360577281
2.515,-0.100339108840515
2.52,-0.101308950682041
2.525,-0.102290066978775
2.53,-0.103282667876882
2.535,-0.104286968403409
2.54,-0.105303188602089
2.545,-0.106331553673905
2.55,-0.107372294122665
2.555,-0.108425645905727
2.56,-0.109491850590175
2.565,-0.11057115551461
2.57,-0.111663813956824
2.575,-0.112770085307596
2.58,-0.113890235250887
2.585,-0.115024535950693
2.59,-0.116173266244865
2.595,-0.117336711846168
2.6,-0.118515165550932
2.605,-0.119708927455602
2.61,-0.120918305181544
2.615,-0.122143614108469
2.62,-0.12338517761689
2.625,-0.124643327339943
2.63,-0.125918403425093
2.635,-0.127210754806073
2.64,-0.128520739485604
2.645,-0.129848724829317
2.65,-0.131195087871439
2.655,-0.13256021563279
2.66,-0.133944505451572
2.665,-0.135348365327691
2.67,-0.136772214281088
2.675,-0.138216482724854
2.68,-0.13968161285375
2.685,-0.141168059048893
2.69,-0.142676288299354
2.695,-0.144206780641498
2.7,-0.14576002961687
2.705,-0.14733654274956
2.71,-0.14893684204396
2.715,-0.150561464503873
2.72,-0.152210962674063
2.725,-0.153885905205288
2.73,-0.155586877443958
2.735,-0.157314482047673
2.74,-0.159069339627826
2.745,-0.160852089420683
2.75,-0.162663389988274
2.755,-0.164503919950601
2.76,-0.16637437875073
2.765,-0.168275487454318
2.77,-0.170207989585406
2.775,-0.172172652000157
2.78,-0.174170265800512
2.785,-0.176201647289747
2.79,-0.178267638971967
2.795,-0.180369110597808
2.8,-0.182506960258608
2.805,-0.184682115531493
2.81,-0.186895534677916
2.815,-0.189148207898314
2.82,-0.191441158645718
2.825,-0.193775445001225
2.83,-0.19615216111441
2.835,-0.198572438711966
2.84,-0.201037448677848
2.845,-0.20354840270859
2.85,-0.206106555047342
2.855,-0.208713204300642
2.86,-0.211369695341817
2.865,-0.214077421305331
2.87,-0.216837825676326
2.875,-0.219652404480058
2.88,-0.222522708575767
2.885,-0.225450346060023
2.89,-0.22843698478452
2.895,-0.23148435499355
2.9,-0.234594252086558
2.905,-0.237768539511228
2.91,-0.241009151792807
2.915,-0.244318097705368
2.92,-0.247697463590846
2.925,-0.251149416831736
2.93,-0.254676209483356
2.935,-0.258280182071571
2.94,-0.261963767561692
2.945,-0.265729495504336
2.95,-0.26957999636357
2.955,-0.273518006032557
2.96,-0.277546370541414
2.965,-0.281668050961455
2.97,-0.285886128509449
2.975,-0.290203809854519
2.98,-0.294624432629399
2.985,-0.299151471146523
2.99,-0.303788542317826
2.995,-0.308539411775476
3,-0.313408000188474
