"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.037086624086523
2.005,-0.0377966693725869
2.01,-0.0385268054815985
2.015,-0.0392776622997303
2.02,-0.0400498978107661
2.025,-0.040844199533931
2.03,-0.0416612860485918
2.035,-0.0425019086118493
2.04,-0.0433668528754574
2.045,-0.0442569407090977
2.05,-0.0451730321374949
2.055,-0.0461160273995064
2.06,-0.0470868691380355
2.065,-0.0480865447301845
2.07,-0.0491160887680264
2.075,-0.0501765857010554
2.08,-0.0512691726524456
2.085,-0.0523950424221769
2.09,-0.0535554466912438
2.095,-0.0547516994423705
2.1,-0.0559851806139918
2.105,-0.0572573400057188
2.11,-0.058569701455151
2.115,-0.0599238673076218
2.12,-0.0613215232024252
2.125,-0.0627644432012533
2.13,-0.0642544952868235
2.135,-0.0657936472624405
2.14,-0.0673839730858967
2.145,-0.0690276596745159
2.15,-0.0707270142214259
2.155,-0.0724844720671759
2.16,-0.0743026051750512
2.165,-0.0761841312631891
2.17,-0.0781319236519051
2.175,-0.080149021890495
2.18,-0.0822386432343166
2.185,-0.0844041950502677
2.19,-0.0866492882367472
2.195,-0.0889777517534314
2.2,-0.0913936483661536
2.205,-0.0939012917235182
2.21,-0.0965052648946017
2.215,-0.0992104405111898
2.22,-0.102022002674052
2.225,-0.104945470800589
2.23,-0.107986725611367
2.235,-0.111152037475871
2.24,-0.114448097363312
2.245,-0.117882050673481
2.25,-0.12146153425529
2.255,-0.125194716958013
2.26,-0.129090344102228
2.265,-0.133157786305661
2.27,-0.137407093153584
2.275,-0.141849052265774
2.28,-0.146495254383199
2.285,-0.151358165178876
2.29,-0.156451204590667
2.295,-0.161788834580752
2.3,-0.167386656349566
2.305,-0.173261518173776
2.31,-0.179431635201366
2.315,-0.185916722726071
2.32,-0.192738144682444
2.325,-0.199919079357029
2.33,-0.207484704606871
2.335,-0.215462405221084
2.34,-0.223882005463613
2.345,-0.232776030306162
2.35,-0.242179999412596
2.355,-0.252132758585256
2.36,-0.262676854148526
2.365,-0.273858956648179
2.37,-0.285730341314354
2.375,-0.298347434004676
2.38,-0.31177243285358
2.385,-0.326074017654063
2.39,-0.341328161150692
2.395,-0.357619059003859
2.4,-0.375040198287925
2.405,-0.393695588126724
2.41,-0.413701180592063
2.415,-0.435186515473711
2.42,-0.458296629196082
2.425,-0.483194276287434
2.43,-0.510062521752858
2.435,-0.539107774904887
2.44,-0.570563350224278
2.445,-0.604693659365489
2.45,-0.641799161386582
2.455,-0.682222226817563
2.46,-0.72635410675108
2.465,-0.774643242625841
2.47,-0.827605208198852
2.475,-0.88583464550061
2.48,-0.950019645406385
2.485,-1.02095913615149
2.49,-1.0995839866554
2.495,-1.18698271516048
2.5,-1.28443292984556
2.505,-1.393439933603
2.51,-1.51578432338827
2.515,-1.65358093845278
2.52,-1.80935220934223
2.525,-1.9861199028998
2.53,-2.18752056003424
2.535,-2.4179517645368
2.54,-2.68275906802017
2.545,-2.98847745814892
2.55,-3.3431476425961
2.555,-3.75673786761952
2.56,-4.24171975285505
2.565,-4.81387791012691
2.57,-5.49348993536546
2.575,-6.30711913028604
2.58,-7.29046190506188
2.585,-8.4930625544862
2.59,-9.98631285633515
2.595,-11.8764173790212
2.6,-14.3169526335915
2.605,-17.4336144248386
2.61,-20.420410145856
2.615,-19.7895720287722
2.62,-16.5578776770235
2.625,-13.6623995360597
2.63,-11.4268096459574
2.635,-9.69062001255215
2.64,-8.31318633601459
2.645,-7.19954485676639
2.65,-6.28559540223131
2.655,-5.52655827430783
2.66,-4.89002229452305
2.665,-4.35181709212725
2.67,-3.89348475672108
2.675,-3.50066564919158
2.68,-3.16202433190048
2.685,-2.86850768536159
2.69,-2.61281586278716
2.695,-2.38901498190101
2.7,-2.19224751810801
2.705,-2.0185120634763
2.71,-1.86449355562777
2.715,-1.727430966862
2.72,-1.60501324720208
2.725,-1.49529685550925
2.73,-1.39663996083664
2.735,-1.30764963014593
2.74,-1.22713920847481
2.745,-1.15409375095807
2.75,-1.08764185267349
2.755,-1.0270325889697
2.76,-0.971616557981642
2.765,-0.920830231139088
2.77,-0.874182982896694
2.775,-0.831246299509284
2.78,-0.791644767192481
2.785,-0.755048518967936
2.79,-0.721166881805086
2.795,-0.689743015060483
2.8,-0.66054937052316
2.805,-0.633383835781998
2.81,-0.608066447821841
2.815,-0.584436584034513
2.82,-0.562350554214926
2.825,-0.541679530395612
2.83,-0.52230776217903
2.835,-0.504131034046826
2.84,-0.487055328347693
2.845,-0.470995663598154
2.85,-0.455875082619639
2.855,-0.441623769075661
2.86,-0.428178274322655
2.865,-0.415480839272668
2.87,-0.403478798287858
2.875,-0.392124054067734
2.88,-0.381372614117235
2.885,-0.371184180751308
2.89,-0.361521787744124
2.895,-0.35235147770463
2.9,-0.343642015084592
2.905,-0.33536463042525
2.91,-0.327492792044195
2.915,-0.320002001871998
2.92,-0.312869612582282
2.925,-0.306074663530762
2.93,-0.299597733338062
2.935,-0.29342080722569
2.94,-0.287527157451291
2.945,-0.281901235393803
2.95,-0.276528574015874
2.955,-0.271395699584589
2.96,-0.266490051664473
2.965,-0.261799910512957
2.97,-0.257314331109351
2.975,-0.253023083136773
2.98,-0.248916596313612
2.985,-0.244985910538764
2.99,-0.24122263037422
2.995,-0.237618883440793
3,-0.234167282348683
