"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.028329924819987
2.005,-0.0286542620554039
2.01,-0.0289806932207385
2.015,-0.0293092790394082
2.02,-0.0296400802086546
2.025,-0.0299731574122039
2.03,-0.030308571333061
2.035,-0.0306463826664619
2.04,-0.030986652132976
2.045,-0.0313294404917824
2.05,-0.0316748085541005
2.055,-0.0320228171968176
2.06,-0.0323735273762878
2.065,-0.0327270001423257
2.07,-0.0330832966524097
2.075,-0.0334424781860876
2.08,-0.0338046061595855
2.085,-0.0341697421406712
2.09,-0.034537947863717
2.095,-0.0349092852450309
2.1,-0.0352838163984161
2.105,-0.0356616036510094
2.11,-0.0360427095593566
2.115,-0.0364271969258072
2.12,-0.036815128815153
2.125,-0.0372065685715823
2.13,-0.037601579835943
2.135,-0.0380002265633064
2.14,-0.0384025730408697
2.145,-0.0388086839061762
2.15,-0.0392186241657108
2.155,-0.039632459213814
2.16,-0.0400502548519953
2.165,-0.0404720773086161
2.17,-0.040897993258952
2.175,-0.0413280698456752
2.18,-0.0417623746997424
2.185,-0.0422009759617109
2.19,-0.0426439423035014
2.195,-0.043091342950594
2.2,-0.0435432477047285
2.205,-0.0439997269670438
2.21,-0.044460851761737
2.215,-0.0449266937602292
2.22,-0.045397325305844
2.225,-0.0458728194390386
2.23,-0.0463532499231829
2.235,-0.0468386912709036
2.24,-0.0473292187710313
2.245,-0.0478249085161345
2.25,-0.0483258374306844
2.255,-0.0488320832998589
2.26,-0.0493437247989935
2.265,-0.0498608415237313
2.27,-0.0503835140208313
2.275,-0.0509118238197278
2.28,-0.0514458534648061
2.285,-0.0519856865484298
2.29,-0.0525314077447575
2.295,-0.0530831028443571
2.3,-0.0536408587896203
2.305,-0.0542047637110597
2.31,-0.0547749069644302
2.315,-0.055351379168782
2.32,-0.0559342722454018
2.325,-0.0565236794577103
2.33,-0.0571196954521369
2.335,-0.0577224162999721
2.34,-0.0583319395402562
2.345,-0.0589483642237229
2.35,-0.0595717909578192
2.355,-0.060202321952855
2.36,-0.0608400610692628
2.365,-0.0614851138660735
2.37,-0.0621375876505861
2.375,-0.06279759152926
2.38,-0.0634652364599343
2.385,-0.0641406353053133
2.39,-0.064823902887832
2.395,-0.0655151560459033
2.4,-0.0662145136915895
2.405,-0.066922096869759
2.41,-0.067638028818735
2.415,-0.0683624350325001
2.42,-0.069095443324526
2.425,-0.0698371838931995
2.43,-0.0705877893889688
2.435,-0.0713473949832301
2.44,-0.0721161384389826
2.445,-0.0728941601833226
2.45,-0.073681603381846
2.455,-0.0744786140149709
2.46,-0.0752853409562696
2.465,-0.0761019360528646
2.47,-0.0769285542079185
2.475,-0.0777653534653168
2.48,-0.07861249509658
2.485,-0.0794701436900771
2.49,-0.0803384672426118
2.495,-0.0812176372534451
2.5,-0.082107828820802
2.505,-0.0830092207409999
2.51,-0.0839219956101822
2.515,-0.084846339928817
2.52,-0.085782444208984
2.525,-0.0867305030845642
2.53,-0.0876907154243866
2.535,-0.0886632844484581
2.54,-0.0896484178473232
2.545,-0.0906463279046767
2.55,-0.0916572316233094
2.555,-0.0926813508544879
2.56,-0.0937189124308616
2.565,-0.0947701483030228
2.57,-0.0958352956797997
2.575,-0.0969145971724078
2.58,-0.0980083009425727
2.585,-0.0991166608547402
2.59,-0.100239936632479
2.595,-0.101378394019237
2.6,-0.102532304943545
2.605,-0.103701947688802
2.61,-0.104887607067815
2.615,-0.106089574602189
2.62,-0.107308148706725
2.625,-0.108543634879007
2.63,-0.109796345894294
2.635,-0.111066602005871
2.64,-0.11235473115108
2.645,-0.113661069163132
2.65,-0.114985959988921
2.655,-0.116329755912977
2.66,-0.117692817787827
2.665,-0.11907551527083
2.67,-0.120478227067808
2.675,-0.121901341183585
2.68,-0.123345255179712
2.685,-0.124810376439531
2.69,-0.126297122440877
2.695,-0.127805921036551
2.7,-0.129337210742915
2.705,-0.130891441036762
2.71,-0.132469072660756
2.715,-0.134070577937709
2.72,-0.135696441093944
2.725,-0.13734715859202
2.73,-0.139023239473152
2.735,-0.140725205709536
2.74,-0.142453592566997
2.745,-0.144208948978151
2.75,-0.145991837926517
2.755,-0.147802836841837
2.76,-0.149642538006996
2.765,-0.15151154897686
2.77,-0.153410493009452
2.775,-0.155340009509788
2.78,-0.157300754486787
2.785,-0.159293401023693
2.79,-0.161318639762363
2.795,-0.163377179401893
2.8,-0.165469747212015
2.805,-0.167597089561728
2.81,-0.169759972463587
2.815,-0.171959182134233
2.82,-0.174195525571545
2.825,-0.176469831149031
2.83,-0.178782949227923
2.835,-0.181135752787565
2.84,-0.183529138074628
2.845,-0.185964025271752
2.85,-0.188441359186225
2.855,-0.190962109959273
2.86,-0.193527273796658
2.865,-0.196137873721182
2.87,-0.198794960347827
2.875,-0.201499612682166
2.88,-0.20425293894282
2.885,-0.207056077408662
2.89,-0.20991019729153
2.895,-0.212816499635248
2.9,-0.215776218241742
2.905,-0.218790620625086
2.91,-0.221861008994308
2.915,-0.224988721265894
2.92,-0.228175132106776
2.925,-0.231421654008863
2.93,-0.234729738395952
2.935,-0.238100876764067
2.94,-0.241536601856173
2.945,-0.245038488872369
2.95,-0.248608156716519
2.955,-0.252247269280491
2.96,-0.25595753676707
2.965,-0.2597407170527
2.97,-0.263598617091205
2.975,-0.267533094359726
2.98,-0.271546058348054
2.985,-0.275639472092648
2.99,-0.27981535375658
2.995,-0.284075778256802
3,-0.288422878939957
