"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-2.66802903975541
2.005,-3.48686982598724
2.01,-4.57575924473551
2.015,-5.92909885398116
2.02,-7.43151885889354
2.025,-8.90609650250705
2.03,-10.3507382851822
2.035,-12.1242017507684
2.04,-14.9207687631071
2.045,-19.3992952166787
2.05,-18.9224192180241
2.055,-13.1715007639645
2.06,-9.25219868626836
2.065,-6.70020044346807
2.07,-4.98401102327742
2.075,-3.80099996499866
2.08,-2.96764708727932
2.085,-2.3679307994496
2.09,-1.9270792257895
2.095,-1.59625741072809
2.1,-1.34311840373119
2.105,-1.14589108080936
2.11,-0.989665910725585
2.115,-0.864048258398767
2.12,-0.761661626364739
2.125,-0.677180920010837
2.13,-0.606698899627444
2.135,-0.547304485356149
2.14,-0.49679759647978
2.145,-0.453493277194313
2.15,-0.416085093362025
2.155,-0.383548467663959
2.16,-0.355071322554653
2.165,-0.330003660219411
2.17,-0.307820453308733
2.175,-0.288094012931737
2.18,-0.270473187314167
2.185,-0.254667540818658
2.19,-0.240435204115598
2.195,-0.227573458515738
2.2,-0.215911376562419
2.205,-0.205304023357593
2.21,-0.19562785285667
2.215,-0.186777026639555
2.22,-0.178660450363512
2.225,-0.171199372696387
2.23,-0.164325428179097
2.235,-0.157979032779531
2.24,-0.152108061417881
2.245,-0.146666752273858
2.25,-0.141614794527066
2.255,-0.13691656527197
2.26,-0.132540488373694
2.265,-0.128458493493498
2.27,-0.124645557786551
2.275,-0.121079316137332
2.28,-0.117739728458502
2.285,-0.114608794695178
2.29,-0.111670309868043
2.295,-0.108909652847523
2.3,-0.106313603647736
2.305,-0.103870184917713
2.31,-0.101568524031003
2.315,-0.0993987327662454
2.32,-0.0973518020566576
2.325,-0.0954195096863805
2.33,-0.0935943391421514
2.335,-0.0918694081032974
2.34,-0.0902384052813319
2.345,-0.0886955345114569
2.35,-0.0872354651580448
2.355,-0.0858532880307361
2.36,-0.0845444761211031
2.365,-0.0833048495656727
2.37,-0.0821305443223728
2.375,-0.0810179841165903
2.38,-0.0799638552718948
2.385,-0.0789650840908384
2.39,-0.0780188164943373
2.395,-0.0771223996652101
2.4,-0.0762733654732735
2.405,-0.0754694154869145
2.41,-0.0747084073998044
2.415,-0.073988342722041
2.42,-0.0733073556028478
2.425,-0.0726637026675281
2.43,-0.0720557537648939
2.435,-0.0714819835332865
2.44,-0.0709409637035745
2.445,-0.070431356066622
2.45,-0.0699519060407622
2.455,-0.0695014367816306
2.46,-0.0690788437830999
2.465,-0.0686830899233489
2.47,-0.068313200914953
2.475,-0.0679682611221856
2.48,-0.0676474097124425
2.485,-0.0673498371120772
2.49,-0.0670747817399214
2.495,-0.0668215269944103
2.5,-0.0665893984726018
2.505,-0.0663777614015278
2.51,-0.0661860182641591
2.515,-0.0660136066039836
2.52,-0.065859996993754
2.525,-0.0657246911552783
2.53,-0.0656072202184125
2.535,-0.0655071431084563
2.54,-0.0654240450522778
2.545,-0.0653575361942694
2.55,-0.065307250314184
2.555,-0.0652728436395881
2.56,-0.0652539937463681
2.565,-0.0652503985414429
2.57,-0.0652617753222532
2.575,-0.0652878599083707
2.58,-0.0653284058408445
2.585,-0.0653831836455666
2.59,-0.0654519801572871
2.595,-0.0655345979013915
2.6,-0.065630854530933
2.605,-0.0657405823168824
2.61,-0.0658636276899265
2.615,-0.0659998508325546
2.62,-0.0661491253206597
2.625,-0.0663113378142454
2.63,-0.0664863877973755
2.635,-0.0666741873679455
2.64,-0.0668746610784822
2.645,-0.0670877458297171
2.65,-0.0673133908194652
2.655,-0.0675515575500137
2.66,-0.0678022198982744
2.665,-0.0680653642538906
2.67,-0.0683409897317554
2.675,-0.0686291084669274
2.68,-0.0689297460015294
2.685,-0.0692429417754191
2.69,-0.0695687497347883
2.695,-0.0699072390759369
2.7,-0.0702584951450828
2.705,-0.0706226205195062
2.71,-0.0709997363008123
2.715,-0.0713899836578573
2.72,-0.071793525665134
2.725,-0.0722105494928998
2.73,-0.0726412690182195
2.735,-0.073085927942464
2.74,-0.0735448035213609
2.745,-0.0740182110399089
2.75,-0.0745065091977606
2.755,-0.0750101066137466
2.76,-0.0755294697133397
2.765,-0.0760651323350057
2.77,-0.0766177074852763
2.775,-0.0771879017960024
2.78,-0.0777765334011296
2.785,-0.0783845541683301
2.79,-0.0790130775138959
2.795,-0.0796634134250514
2.8,-0.0803371128526379
2.805,-0.0810360243758397
2.81,-0.0817623670600773
2.815,-0.0825188248459781
2.82,-0.0833086697876582
2.825,-0.084135924240817
2.83,-0.0850055760226195
2.835,-0.0859238660954582
2.84,-0.086898676093134
2.845,-0.0879400537834791
2.85,-0.0890609291164842
2.855,-0.0902780920775592
2.86,-0.0916135243051433
2.865,-0.0930961912752082
2.87,-0.0947643859977332
2.875,-0.0966686013539025
2.88,-0.0988745270270824
2.885,-0.101464721030147
2.89,-0.104534960336267
2.895,-0.10817586724288
2.9,-0.112421543337565
2.905,-0.117141788713231
2.91,-0.121885755218717
2.915,-0.125808375705686
2.92,-0.127949698943878
2.925,-0.127877935125483
2.93,-0.126048778295826
2.935,-0.123408182740709
2.94,-0.120769658245554
2.945,-0.118566057528685
2.95,-0.116927779972838
2.955,-0.115830081533604
2.96,-0.115193246127533
2.965,-0.114930688980265
2.97,-0.114966686555038
2.975,-0.115240369734254
2.98,-0.115704595180521
2.985,-0.11632341961046
2.99,-0.11706957310953
2.995,-0.117922351363693
3,-0.118865979024695
