"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0564359445172318
2.005,-0.0580422856840347
2.01,-0.0597211756422157
2.015,-0.0614765828069389
2.02,-0.0633127529966808
2.025,-0.0652342324522051
2.03,-0.0672458930827014
2.035,-0.0693529601851705
2.04,-0.071561042913662
2.045,-0.0738761678097729
2.05,-0.0763048157454421
2.055,-0.0788539626742001
2.06,-0.0815311246387936
2.065,-0.084344407542053
2.07,-0.0873025622557119
2.075,-0.0904150457195107
2.08,-0.0936920887722633
2.085,-0.0971447715594154
2.09,-0.10078510748003
2.095,-0.104626136773123
2.1,-0.108682031001383
2.105,-0.1129682098736
2.11,-0.117501472059645
2.115,-0.122300141898646
2.12,-0.127384234188181
2.125,-0.13277563957663
2.13,-0.138498333471035
2.135,-0.144578611828279
2.14,-0.151045357730144
2.145,-0.157930343266369
2.15,-0.165268571980474
2.155,-0.173098667989865
2.16,-0.181463318897198
2.165,-0.190409780789763
2.17,-0.199990455008731
2.175,-0.210263547994919
2.18,-0.22129382742222
2.185,-0.233153490058549
2.19,-0.245923159395514
2.195,-0.259693034113787
2.2,-0.274564211951415
2.205,-0.29065021756341
2.21,-0.308078767531726
2.215,-0.326993810806548
2.22,-0.34755788847749
2.225,-0.369954862740424
2.23,-0.394393070942229
2.235,-0.421108966106579
2.24,-0.450371309435316
2.245,-0.482485981402403
2.25,-0.517801473735833
2.255,-0.556715110910671
2.26,-0.599680020676422
2.265,-0.647212819278382
2.27,-0.699901884230333
2.275,-0.758415934499643
2.28,-0.823512393358218
2.285,-0.896044627339035
2.29,-0.976966571171204
2.295,-1.06733237511009
2.3,-1.1682874340384
2.305,-1.28104534443484
2.31,-1.40684286181157
2.315,-1.54686175495791
2.32,-1.70210277359194
2.325,-1.87319351768961
2.33,-2.06011067483096
2.335,-2.26180163008412
2.34,-2.47570732199584
2.345,-2.69722649323863
2.35,-2.91922944224907
2.355,-3.13182393788046
2.36,-3.32266287755746
2.365,-3.4780789420117
2.37,-3.58512414378133
2.375,-3.63414906487186
2.38,-3.62107461862322
2.385,-3.54839220336062
2.39,-3.42442602807504
2.395,-3.26122701648543
2.4,-3.07202664066226
2.405,-2.86912836913379
2.41,-2.6626590069036
2.415,-2.46014791980965
2.42,-2.26667132757176
2.425,-2.08527665849811
2.43,-1.91748031162576
2.435,-1.76372443423576
2.44,-1.62374679609888
2.445,-1.4968574362291
2.45,-1.38213392743495
2.455,-1.2785526861699
2.46,-1.18507320227054
2.465,-1.10068917309759
2.47,-1.02445720812795
2.475,-0.955510826037456
2.48,-0.893065134775754
2.485,-0.836415853015659
2.49,-0.784935096165156
2.495,-0.738065494212298
2.5,-0.695313628420882
2.505,-0.656243387691715
2.51,-0.62046959275058
2.515,-0.587652074025891
2.52,-0.557490287056379
2.525,-0.529718486943917
2.53,-0.50410144685013
2.535,-0.480430685549087
2.54,-0.458521159462151
2.545,-0.438208371392144
2.55,-0.419345848740838
2.555,-0.401802946665324
2.56,-0.385462935355222
2.565,-0.370221334745534
2.57,-0.355984464132346
2.575,-0.342668178111439
2.58,-0.330196763900272
2.585,-0.31850197838287
2.59,-0.30752220612783
2.595,-0.297201722185019
2.6,-0.287490045693906
2.605,-0.278341372266408
2.61,-0.269714074774037
2.615,-0.261570263603844
2.62,-0.253875398681016
2.625,-0.246597946614844
2.63,-0.239709077232983
2.635,-0.233182394548421
2.64,-0.226993697871916
2.645,-0.221120769356743
2.65,-0.215543184755305
2.655,-0.210242144591001
2.66,-0.205200323313282
2.665,-0.200401734317777
2.67,-0.195831608984288
2.675,-0.191476288119189
2.68,-0.187323124390987
2.685,-0.183360394522705
2.69,-0.179577220156569
2.695,-0.175963496438073
2.7,-0.172509827481011
2.705,-0.169207467974751
2.71,-0.166048270281823
2.715,-0.163024636449838
2.72,-0.160129474627933
2.725,-0.157356159436136
2.73,-0.154698495886786
2.735,-0.152150686501905
2.74,-0.149707301309683
2.745,-0.14736325043779
2.75,-0.145113759051702
2.755,-0.142954344413192
2.76,-0.14088079485781
2.765,-0.138889150511325
2.77,-0.136975685583668
2.775,-0.135136892095495
2.78,-0.133369464907209
2.785,-0.131670287933289
2.79,-0.130036421436463
2.795,-0.128465090306634
2.8,-0.126953673238722
2.805,-0.125499692731871
2.81,-0.124100805839849
2.815,-0.12275479560919
2.82,-0.121459563147412
2.825,-0.120213120269212
2.83,-0.119013582673086
2.835,-0.117859163605346
2.84,-0.116748167972288
2.845,-0.115678986864763
2.85,-0.114650092462602
2.855,-0.113660033289205
2.86,-0.112707429789138
2.865,-0.111790970203948
2.87,-0.110909406723525
2.875,-0.110061551892243
2.88,-0.109246275250852
2.885,-0.10846250019668
2.89,-0.10770920104612
2.895,-0.10698540028474
2.9,-0.106290165991436
2.905,-0.105622609424267
2.91,-0.104981882756469
2.915,-0.104367176952145
2.92,-0.103777719771903
2.925,-0.103212773899475
2.93,-0.10267163518103
2.935,-0.102153630969574
2.94,-0.101658118567321
2.945,-0.101184483759546
2.95,-0.100732139433832
2.955,-0.100300524279126
2.96,-0.099889101559415
2.965,-0.0994973579571931
2.97,-0.099124802482249
2.975,-0.0987709654416473
2.98,-0.0984353974670189
2.985,-0.0981176685955989
2.99,-0.0978173674016566
2.995,-0.0975341001752658
3,-0.0972674901454309
