"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0183823282534542
2.005,-0.0185492984800802
2.01,-0.0187187696788238
2.015,-0.0188907842015549
2.02,-0.0190653855869529
2.025,-0.0192426185965962
2.03,-0.0194225292523982
2.035,-0.0196051648754549
2.04,-0.0197905741263759
2.045,-0.0199788070471417
2.05,-0.0201699151045549
2.055,-0.0203639512353965
2.06,-0.0205609698932723
2.065,-0.0207610270973308
2.07,-0.0209641804828476
2.075,-0.0211704893538001
2.08,-0.0213800147375267
2.085,-0.0215928194415219
2.09,-0.0218089681125269
2.095,-0.0220285272979457
2.1,-0.0222515655097613
2.105,-0.0224781532910228
2.11,-0.0227083632850281
2.115,-0.0229422703073397
2.12,-0.0231799514207529
2.125,-0.02342148601337
2.13,-0.0236669558798979
2.135,-0.0239164453063568
2.14,-0.024170041158334
2.145,-0.0244278329729638
2.15,-0.0246899130548222
2.155,-0.0249563765759014
2.16,-0.0252273216798765
2.165,-0.0255028495909082
2.17,-0.0257830647271214
2.175,-0.0260680748190761
2.18,-0.0263579910334465
2.185,-0.0266529281021485
2.19,-0.0269530044572425
2.195,-0.0272583423718347
2.2,-0.0275690681073654
2.205,-0.0278853120675345
2.21,-0.0282072089592785
2.215,-0.028534897961101
2.22,-0.0288685228992036
2.225,-0.0292082324317703
2.23,-0.0295541802418933
2.235,-0.029906525239571
2.24,-0.0302654317732633
2.245,-0.0306310698515422
2.25,-0.0310036153753763
2.255,-0.0313832503816337
2.26,-0.0317701632984343
2.265,-0.0321645492129822
2.27,-0.0325666101526191
2.275,-0.0329765553798307
2.28,-0.0333946017019524
2.285,-0.0338209737964942
2.29,-0.0342559045529394
2.295,-0.0346996354319695
2.3,-0.0351524168431424
2.305,-0.0356145085421353
2.31,-0.0360861800486562
2.315,-0.0365677110863213
2.32,-0.0370593920457718
2.325,-0.0375615244724656
2.33,-0.0380744215806331
2.335,-0.03859840879502
2.34,-0.0391338243221398
2.345,-0.0396810197528608
2.35,-0.0402403606983069
2.355,-0.04081222746122
2.36,-0.0413970157449682
2.365,-0.0419951374027148
2.37,-0.0426070212292963
2.375,-0.0432331137986187
2.38,-0.0438738803495843
2.385,-0.0445298057237453
2.39,-0.0452013953581995
2.395,-0.0458891763373975
2.4,-0.0465936985079443
2.405,-0.0473155356606386
2.41,-0.0480552867844971
2.415,-0.0488135773977197
2.42,-0.0495910609610554
2.425,-0.0503884203793915
2.43,-0.0512063695979329
2.435,-0.0520456552997612
2.44,-0.052907058712199
2.445,-0.0537913975299673
2.45,-0.0546995279638246
2.455,-0.0556323469240534
2.46,-0.0565907943490405
2.465,-0.0575758556899598
2.47,-0.0585885645636269
2.475,-0.0596300055865589
2.48,-0.0607013174045018
2.485,-0.0618036959328466
2.49,-0.062938397824854
2.495,-0.0641067441860714
2.5,-0.0653101245549837
2.505,-0.0665500011718841
2.51,-0.0678279135598759
2.515,-0.0691454834443055
2.52,-0.0705044200392738
2.525,-0.0719065257327709
2.53,-0.073353702204961
2.535,-0.0748479570175253
2.54,-0.0763914107157952
2.545,-0.0779863044894977
2.55,-0.0796350084426916
2.555,-0.0813400305285104
2.56,-0.0831040262102483
2.565,-0.0849298089165987
2.57,-0.0868203613661866
2.575,-0.0887788478444908
2.58,-0.0908086275252476
2.585,-0.0929132689385967
2.59,-0.0950965656994834
2.595,-0.0973625536226038
2.6,-0.0997155293645378
2.605,-0.102160070749801
2.61,-0.104701058955906
2.615,-0.107343702752996
2.62,-0.110093565017079
2.625,-0.112956591762223
2.63,-0.115939143967216
2.635,-0.119048032506205
2.64,-0.122290556531825
2.645,-0.125674545703579
2.65,-0.129208406704963
2.655,-0.13290117455076
2.66,-0.136762569252412
2.665,-0.140803058485755
2.67,-0.14503392699312
2.675,-0.149467353553247
2.68,-0.154116496469089
2.685,-0.158995588659191
2.69,-0.16412004359491
2.695,-0.169506573508216
2.7,-0.175173321506831
2.705,-0.181140009481196
2.71,-0.18742810397718
2.715,-0.194061002547788
2.72,-0.201064243495893
2.725,-0.208465742389261
2.73,-0.216296059283559
2.735,-0.224588701244685
2.74,-0.233380465540123
2.745,-0.242711829794794
2.75,-0.252627396511372
2.755,-0.263176400676277
2.76,-0.27441329075782
2.765,-0.286398395310308
2.77,-0.299198689700146
2.775,-0.312888680257082
2.78,-0.327551426538968
2.785,-0.343279726523455
2.79,-0.360177494583273
2.795,-0.378361368289421
2.8,-0.397962587704284
2.805,-0.419129200239761
2.81,-0.442028655829492
2.815,-0.466850871697309
2.82,-0.493811864166293
2.825,-0.523158067740387
2.83,-0.555171490396338
2.835,-0.590175890333801
2.84,-0.628544205552138
2.845,-0.670707526454771
2.85,-0.717165977054964
2.855,-0.768501967349017
2.86,-0.825396404799882
2.865,-0.888648615696587
2.87,-0.959200939624239
2.875,-1.03816923893534
2.88,-1.12688093254924
2.885,-1.22692265079241
2.89,-1.34020025886758
2.895,-1.46901487274321
2.9,-1.61615968254584
2.905,-1.78504403895255
2.91,-1.9798535550235
2.915,-2.20575826423067
2.92,-2.4691857219096
2.925,-2.77818334940401
2.93,-3.14290617442737
2.935,-3.57628606499263
2.94,-4.09497394610985
2.945,-4.72071267632729
2.95,-5.48242827052974
2.955,-6.41959417795894
2.96,-7.58799303151395
2.965,-9.07023889992144
2.97,-10.9959302082163
2.975,-13.578080564699
2.98,-17.1194945704207
2.985,-21.0194575686593
2.99,-19.928979977246
2.995,-15.8749422714623
3,-12.7096240184886
