"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00282979031171635
2.005,-0.0028378170746747
2.01,-0.00284586619629911
2.015,-0.00285393770115565
2.02,-0.00286203161514954
2.025,-0.00287014796556767
2.03,-0.00287828678113839
2.035,-0.00288644809207298
2.04,-0.00289463193011969
2.045,-0.0029028383286313
2.05,-0.00291106732260465
2.055,-0.00291931894875105
2.06,-0.00292759324554265
2.065,-0.00293589025329054
2.07,-0.00294421001419107
2.075,-0.00295255257240015
2.08,-0.00296091797409596
2.085,-0.0029693062675407
2.09,-0.00297771750316741
2.095,-0.0029861517336263
2.1,-0.00299460901388025
2.105,-0.00300308940126657
2.11,-0.00301159295558481
2.115,-0.00302011973916234
2.12,-0.00302866981694794
2.125,-0.00303724325659192
2.13,-0.00304584012852616
2.135,-0.00305446050606158
2.14,-0.00306310446547111
2.145,-0.00307177208608328
2.15,-0.00308046345038738
2.155,-0.00308917864411357
2.16,-0.00309791775634573
2.165,-0.00310668087962665
2.17,-0.00311546811005258
2.175,-0.00312427954739387
2.18,-0.00313311529519909
2.185,-0.00314197546090707
2.19,-0.00315086015597318
2.195,-0.00315976949598425
2.2,-0.00316870360078586
2.205,-0.00317766259460299
2.21,-0.00318664660617895
2.215,-0.0031956557689037
2.22,-0.00320469022095377
2.225,-0.00321375010543216
2.23,-0.00322283557051212
2.235,-0.00323194676959439
2.24,-0.00324108386144814
2.245,-0.00325024701037493
2.25,-0.00325943638636796
2.255,-0.00326865216528189
2.26,-0.00327789452899396
2.265,-0.0032871636655854
2.27,-0.003296459769518
2.275,-0.00330578304182229
2.28,-0.00331513369027602
2.285,-0.00332451192960777
2.29,-0.00333391798169572
2.295,-0.00334335207576836
2.3,-0.00335281444860998
2.305,-0.0033623053447846
2.31,-0.00337182501686168
2.315,-0.00338137372562656
2.32,-0.00339095174033221
2.325,-0.00340055933891933
2.33,-0.0034101968082903
2.335,-0.00341986444453025
2.34,-0.00342956255319546
2.345,-0.00343929144955759
2.35,-0.0034490514588989
2.355,-0.00345884291677375
2.36,-0.00346866616930873
2.365,-0.00347852157350658
2.37,-0.0034884094975328
2.375,-0.00349833032104856
2.38,-0.00350828443551659
2.385,-0.00351827224455339
2.39,-0.00352829416424089
2.395,-0.00353835062350186
2.4,-0.00354844206445017
2.405,-0.00355856894275168
2.41,-0.00356873172801797
2.415,-0.0035789309041846
2.42,-0.00358916696992024
2.425,-0.00359944043903201
2.43,-0.00360975184089387
2.435,-0.0036201017208761
2.44,-0.00363049064079783
2.445,-0.00364091917938929
2.45,-0.00365138793275019
2.455,-0.00366189751485632
2.46,-0.00367244855803435
2.465,-0.00368304171350417
2.47,-0.00369367765188161
2.475,-0.00370435706373145
2.48,-0.00371508066013191
2.485,-0.0037258491732411
2.49,-0.00373666335688189
2.495,-0.00374752398716426
2.5,-0.00375843186309237
2.505,-0.00376938780722943
2.51,-0.00378039266633461
2.515,-0.00379144731205112
2.52,-0.00380255264162036
2.525,-0.00381370957857285
2.53,-0.00382491907349642
2.535,-0.0038361821047735
2.54,-0.00384749967938406
2.545,-0.00385887283369886
2.55,-0.00387030263432098
2.555,-0.00388179017892255
2.56,-0.00389333659713742
2.565,-0.00390494305146542
2.57,-0.003916610738194
2.575,-0.00392834088837202
2.58,-0.00394013476876901
2.585,-0.00395199368293292
2.59,-0.00396391897218897
2.595,-0.00397591201675336
2.6,-0.00398797423682386
2.605,-0.00400010709372824
2.61,-0.00401231209109594
2.615,-0.00402459077607407
2.62,-0.00403694474057341
2.625,-0.00404937562255584
2.63,-0.00406188510734983
2.635,-0.00407447492902765
2.64,-0.00408714687180677
2.645,-0.00409990277148595
2.65,-0.00411274451696151
2.655,-0.00412567405173871
2.66,-0.00413869337554552
2.665,-0.00415180454593959
2.67,-0.00416500968000789
2.675,-0.00417831095610885
2.68,-0.00419171061564151
2.685,-0.00420521096491316
2.69,-0.00421881437703012
2.695,-0.00423252329386767
2.7,-0.00424634022808543
2.705,-0.00426026776523049
2.71,-0.00427430856587247
2.715,-0.004288465367838
2.72,-0.00430274098850308
2.725,-0.0043171383271502
2.73,-0.00433166036741519
2.735,-0.00434631017980555
2.74,-0.00436109092429694
2.745,-0.00437600585301273
2.75,-0.00439105831300399
2.755,-0.00440625174909506
2.76,-0.00442158970684886
2.765,-0.00443707583560085
2.77,-0.00445271389161644
2.775,-0.00446850774134021
2.78,-0.00448446136473876
2.785,-0.00450057885879323
2.79,-0.00451686444106038
2.795,-0.00453332245338238
2.8,-0.00454995736570469
2.805,-0.00456677378003889
2.81,-0.00458377643454127
2.815,-0.00460097020772572
2.82,-0.00461836012284174
2.825,-0.00463595135237217
2.83,-0.00465374922270763
2.835,-0.00467175921896492
