"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.052290760356669
2.005,-0.0552755977549511
2.01,-0.0585578674125194
2.015,-0.0621792547677014
2.02,-0.0661888860535454
2.025,-0.0706449695400755
2.03,-0.0756168725117145
2.035,-0.0811877706509563
2.04,-0.0874580564300052
2.045,-0.0945497640566728
2.05,-0.102612370577886
2.055,-0.111830481516426
2.06,-0.122434129391046
2.065,-0.134712743730663
2.07,-0.149034355259997
2.075,-0.165872380064953
2.08,-0.185843569849369
2.085,-0.209762720119959
2.09,-0.238723045900449
2.095,-0.274216759487741
2.1,-0.318320180482234
2.105,-0.37398527334504
2.11,-0.445512021534395
2.115,-0.539338341199616
2.12,-0.665408086110088
2.125,-0.8396337348794
2.13,-1.08852124629897
2.135,-1.45825607910723
2.14,-2.03339075452093
2.145,-2.97693602169923
2.15,-4.61891182485488
2.155,-7.64293136659329
2.16,-12.8497743376664
2.165,-12.1562345530532
2.17,-7.21419215969357
2.175,-4.45192364193629
2.18,-2.9356968926252
2.185,-2.05099980174805
2.19,-1.50303370960014
2.195,-1.14527188766811
2.2,-0.900929888275928
2.205,-0.727574325840144
2.21,-0.60056473285088
2.215,-0.504940725720426
2.22,-0.431253740327634
2.225,-0.373325679222672
2.23,-0.326991838906042
2.235,-0.289368356724186
2.24,-0.258410328228197
2.245,-0.232636861954438
2.25,-0.210955168461775
2.255,-0.192545151380872
2.26,-0.176781956952549
2.265,-0.163182920411797
2.27,-0.151370540966837
2.275,-0.14104620048752
2.28,-0.131971216622267
2.285,-0.123952987723621
2.29,-0.116834727701953
2.295,-0.110487768231526
2.3,-0.104805721351492
2.305,-0.0997000067358584
2.31,-0.0950963914210723
2.315,-0.090932288663256
2.32,-0.0871546316251284
2.325,-0.083718186371822
2.33,-0.0805842035213152
2.335,-0.0777193330860418
2.34,-0.0750947454268065
2.345,-0.0726854147852775
2.35,-0.0704695319307898
2.355,-0.0684280200060387
2.36,-0.0665441333611813
2.365,-0.0648031235096939
2.37,-0.0631919596709365
2.375,-0.0616990939367467
2.38,-0.0603142630988206
2.385,-0.0590283207370438
2.39,-0.057833094398773
2.395,-0.0567212636719207
2.4,-0.0556862557283663
2.405,-0.0547221555325879
2.41,-0.0538236284073118
2.415,-0.0529858530487365
2.42,-0.0522044634090599
2.425,-0.0514754981285453
2.43,-0.0507953564158179
2.435,-0.0501607594526222
2.44,-0.0495687165455531
2.445,-0.0490164953684173
2.45,-0.0485015957392173
2.455,-0.0480217264593793
2.46,-0.0475747848128873
2.465,-0.0471588383813249
2.47,-0.0467721088803434
2.475,-0.0464129577643936
2.48,-0.0460798733818274
2.485,-0.0457714594922036
2.49,-0.0454864249829236
2.495,-0.04522357464406
2.5,-0.0449818008785325
2.505,-0.0447600762406878
2.51,-0.0445574467099387
2.515,-0.0443730256177407
2.52,-0.0442059881563379
2.525,-0.0440555664063802
2.53,-0.0439210448280942
2.535,-0.0438017561672432
2.54,-0.0436970777328281
2.545,-0.0436064280084233
2.55,-0.0435292635634206
2.555,-0.0434650762342223
2.56,-0.0434133905487967
2.565,-0.0433737613708529
2.57,-0.0433457717425646
2.575,-0.0433290309069471
2.58,-0.0433231724930478
2.585,-0.0433278528488314
2.59,-0.0433427495082458
2.595,-0.0433675597803087
2.6,-0.0434019994492703
2.605,-0.0434458015760776
2.61,-0.0434987153921964
2.615,-0.0435605052779071
2.62,-0.0436309498177299
2.625,-0.0437098409265567
2.63,-0.0437969830405399
2.635,-0.0438921923673418
2.64,-0.0439952961909644
2.645,-0.044106132226673
2.65,-0.0442245480220533
2.655,-0.044350400400506
2.66,-0.044483554943897
2.665,-0.0446238855112891
2.67,-0.04477127379102
2.675,-0.0449256088835677
2.68,-0.0450867869129362
2.685,-0.0452547106643853
2.69,-0.045429289246628
2.695,-0.0456104377766654
2.7,-0.0457980770856965
2.705,-0.0459921334445242
2.71,-0.0461925383071617
2.715,-0.0463992280713296
2.72,-0.0466121438547033
2.725,-0.0468312312858169
2.73,-0.0470564403086881
2.735,-0.047287725000179
2.74,-0.047525043399338
2.745,-0.0477683573478887
2.75,-0.048017632341168
2.755,-0.0482728373888822
2.76,-0.0485339448850135
2.765,-0.0488009304863748
2.77,-0.0490737729992348
2.775,-0.0493524542735781
2.78,-0.0496369591045129
2.785,-0.049927275140429
2.79,-0.0502233927975255
2.795,-0.0505253051803472
2.8,-0.0508330080079835
2.805,-0.0511464995456445
2.81,-0.0514657805413155
2.815,-0.0517908541672426
2.82,-0.0521217259659668
2.825,-0.0524584038007308
2.83,-0.0528008978099832
2.835,-0.0531492203658647
2.84,-0.0535033860364098
2.845,-0.0538634115513451
2.85,-0.054229315771323
2.855,-0.0546011196604323
2.86,-0.0549788462618433
2.865,-0.0553625206765089
2.87,-0.0557521700447294
2.875,-0.0561478235305498
2.88,-0.0565495123088504
2.885,-0.0569572695550297
2.89,-0.0573711304372358
2.895,-0.0577911321110436
2.9,-0.0582173137164836
2.905,-0.0586497163774295
2.91,-0.0590883832031907
2.915,-0.0595333592923485
2.92,-0.0599846917387004
2.925,-0.060442429639352
2.93,-0.0609066241048491
2.935,-0.0613773282713561
2.94,-0.0618545973148215
2.945,-0.0623384884671287
2.95,-0.0628290610342074
2.955,-0.0633263764160404
2.96,-0.0638304981286236
2.965,-0.0643414918278089
2.97,-0.0648594253350319
2.975,-0.065384368664928
2.98,-0.0659163940548465
2.985,-0.0664555759962176
2.99,-0.0670019912678028
2.995,-0.0675557189708593
3,-0.068116840566147
