"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0200331555588561
2.005,-0.0202509885166604
2.01,-0.0204728654925575
2.015,-0.0206988752449141
2.02,-0.0209291093950977
2.025,-0.0211636625343916
2.03,-0.02140263233565
2.035,-0.0216461196699812
2.04,-0.0218942287286623
2.045,-0.0221470671505896
2.05,-0.0224047461555492
2.055,-0.022667380683583
2.06,-0.0229350895408038
2.065,-0.0232079955519733
2.07,-0.023486225720209
2.075,-0.0237699113942145
2.08,-0.0240591884434062
2.085,-0.0243541974413901
2.09,-0.0246550838582434
2.095,-0.024961998262052
2.1,-0.0252750965302431
2.105,-0.0255945400712661
2.11,-0.0259204960571616
2.115,-0.0262531376676592
2.12,-0.0265926443464479
2.125,-0.0269392020703183
2.13,-0.0272930036319204
2.135,-0.0276542489368969
2.14,-0.0280231453162715
2.145,-0.028399907854955
2.15,-0.0287847597373253
2.155,-0.0291779326109261
2.16,-0.029579666969326
2.165,-0.0299902125553212
2.17,-0.0304098287857358
2.175,-0.0308387851990942
2.18,-0.0312773619276209
2.185,-0.0317258501950788
2.19,-0.0321845528420308
2.195,-0.0326537848802979
2.2,-0.0331338740784416
2.205,-0.033625161580285
2.21,-0.0341280025585834
2.215,-0.034642766906166
2.22,-0.0351698399669759
2.225,-0.0357096233096623
2.23,-0.0362625355465984
2.235,-0.036829013201307
2.24,-0.0374095116276571
2.245,-0.0380045059843251
2.25,-0.0386144922683314
2.255,-0.0392399884117973
2.26,-0.0398815354463141
2.265,-0.040539698739733
2.27,-0.0412150693105346
2.275,-0.0419082652253595
2.28,-0.0426199330857525
2.285,-0.0433507496106184
2.29,-0.0441014233215248
2.295,-0.0448726963384347
2.3,-0.0456653462942782
2.305,-0.0464801883772946
2.31,-0.0473180775110048
2.315,-0.048179910682412
2.32,-0.0490666294300535
2.325,-0.0499792225044496
2.33,-0.0509187287147134
2.335,-0.0518862399762704
2.34,-0.0528829045759877
2.345,-0.0539099306725466
2.35,-0.0549685900515311
2.355,-0.0560602221565253
2.36,-0.0571862384194944
2.365,-0.0583481269160629
2.37,-0.0595474573735916
2.375,-0.0607858865629032
2.38,-0.0620651641073143
2.385,-0.0633871387462111
2.39,-0.0647537650939653
2.395,-0.0661671109392911
2.4,-0.0676293651346948
2.405,-0.0691428461308605
2.41,-0.0707100112166585
2.415,-0.0723334665317937
2.42,-0.0740159779264598
2.425,-0.0757604827504161
2.43,-0.0775701026629482
2.435,-0.0794481575654795
2.44,-0.0813981807700029
2.445,-0.083423935529477
2.45,-0.0855294330709151
2.455,-0.0877189522884037
2.46,-0.0899970612718839
2.465,-0.0923686408687044
2.47,-0.0948389104989391
2.475,-0.0974134564725983
2.48,-0.100098263087988
2.485,-0.102899746825747
2.49,-0.105824793993414
2.495,-0.108880802221575
2.5,-0.112075726265508
2.505,-0.115418128626902
2.51,-0.118917235580023
2.515,-0.122582999267129
2.52,-0.126426166620615
2.525,-0.130458355976821
2.53,-0.134692142370644
2.535,-0.139141152644543
2.54,-0.143820171673561
2.545,-0.148745261203834
2.55,-0.153933893031159
2.555,-0.159405098514364
2.56,-0.165179636733304
2.565,-0.171280183972033
2.57,-0.177731547645207
2.575,-0.18456090830339
2.58,-0.191798093966829
2.585,-0.199475891767356
2.59,-0.207630402748936
2.595,-0.216301446718771
2.6,-0.225533025290263
2.605,-0.235373852762273
2.61,-0.245877966293291
2.615,-0.257105429025898
2.62,-0.26912314248517
2.625,-0.282005787827553
2.63,-0.295836919494987
2.635,-0.310710239713116
2.64,-0.326731088289594
2.645,-0.344018189610686
2.65,-0.362705707974536
2.655,-0.382945673918109
2.66,-0.404910858613284
2.665,-0.428798191532058
2.67,-0.454832839463327
2.675,-0.483273093982106
2.68,-0.514416251440197
2.685,-0.548605716864395
2.69,-0.586239624002493
2.695,-0.627781342407607
2.7,-0.67377234461574
2.705,-0.724848039869342
2.71,-0.781757355950327
2.715,-0.845387081825692
2.72,-0.916792290666899
2.725,-0.99723457267315
2.73,-1.08823035819387
2.735,-1.19161235794813
2.74,-1.30960816628806
2.745,-1.4449414790578
2.75,-1.60096334018599
2.755,-1.78182361513662
2.76,-1.99269692180591
2.765,-2.24008325456132
2.77,-2.53221281145181
2.775,-2.87959953522925
2.78,-3.29581352990326
2.785,-3.79858922979258
2.79,-4.41147720006905
2.795,-5.16643755578596
2.8,-6.10820073245674
2.805,-7.30226943948896
2.81,-8.85129848787452
2.815,-10.9336870769665
2.82,-13.9145106555315
2.825,-18.7912769768357
2.83,-31.2979735267235
2.835,-23.79166464956
2.84,-16.3835844748695
2.845,-12.5715466633782
2.85,-10.0742696390153
2.855,-8.2762559155036
2.86,-6.91620561036807
2.865,-5.85601245187368
2.87,-5.01244086368585
2.875,-4.33088614717664
2.88,-3.77344208805336
2.885,-3.3127578035314
2.89,-2.92855407822
2.895,-2.60549196086424
2.9,-2.33178994599587
2.905,-2.0982861688018
2.91,-1.89778100690225
2.915,-1.72456469137991
2.92,-1.57407139321837
2.925,-1.44262214133139
2.93,-1.32723143982201
2.935,-1.22546030879056
2.94,-1.13530360234636
2.945,-1.05510291171536
2.95,-0.983478744884468
2.955,-0.919277350748176
2.96,-0.861528753062813
2.965,-0.809413425317121
2.97,-0.762235670251063
2.975,-0.719402234173103
2.98,-0.68040503286238
2.985,-0.644807125332541
2.99,-0.612231267297463
2.995,-0.582350524496762
3,-0.554880539200916
