"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0151115686919376
2.005,-0.0151968098093246
2.01,-0.0152834608770068
2.015,-0.0153715589401814
2.02,-0.0154611422523364
2.025,-0.0155522503346143
2.03,-0.015644924038511
2.035,-0.0157392056120815
2.04,-0.0158351387698924
2.045,-0.0159327687669843
2.05,-0.0160321424770897
2.055,-0.0161333084753953
2.06,-0.0162363171261428
2.065,-0.0163412206754309
2.07,-0.0164480733495328
2.075,-0.016556931459112
2.08,-0.0166678535097857
2.085,-0.0167809003194256
2.09,-0.0168961351427069
2.095,-0.0170136238034216
2.1,-0.0171334348350687
2.105,-0.0172556396303996
2.11,-0.0173803126004787
2.115,-0.0175075313440438
2.12,-0.0176373768278792
2.125,-0.0177699335790427
2.13,-0.0179052898898429
2.135,-0.0180435380365727
2.14,-0.0181847745129668
2.145,-0.0183291002796597
2.15,-0.0184766210307953
2.155,-0.0186274474791932
2.16,-0.0187816956615561
2.165,-0.0189394872653496
2.17,-0.0191009499790894
2.175,-0.0192662178680091
2.18,-0.0194354317772047
2.185,-0.0196087397645636
2.19,-0.019786297566042
2.195,-0.0199682690960433
2.2,-0.0201548269859538
2.205,-0.0203461531642153
2.21,-0.0205424394815939
2.215,-0.0207438883856969
2.22,-0.0209507136492669
2.225,-0.0211631411571111
2.23,-0.0213814097571816
2.235,-0.0216057721817708
2.24,-0.0218364960455472
2.245,-0.0220738649277665
2.25,-0.0223181795468782
2.255,-0.0225697590366098
2.26,-0.0228289423336581
2.265,-0.0230960896882294
2.27,-0.0233715843100065
2.275,-0.0236558341635119
2.28,-0.0239492739285722
2.285,-0.0242523671433796
2.29,-0.0245656085497806
2.295,-0.0248895266628722
2.3,-0.0252246865896444
2.305,-0.0255716931245808
2.31,-0.0259311941536633
2.315,-0.0263038844022848
2.32,-0.0266905095672493
2.325,-0.0270918708783712
2.33,-0.0275088301413278
2.335,-0.0279423153205101
2.34,-0.0283933267287731
2.345,-0.0288629439004643
2.35,-0.0293523332350058
2.355,-0.0298627565111354
2.36,-0.0303955803866074
2.365,-0.0309522870155822
2.37,-0.0315344859359948
2.375,-0.0321439274031534
2.38,-0.032782517373438
2.385,-0.0334523343750859
2.39,-0.0341556485417905
2.395,-0.0348949431309334
2.4,-0.0356729389030367
2.405,-0.0364926218043231
2.41,-0.0373572744723788
2.415,-0.0382705121785733
2.42,-0.0392363239337429
2.425,-0.0402591196199514
2.43,-0.0413437841762831
2.435,-0.0424957400678045
2.44,-0.0437210195123993
2.445,-0.0450263482415009
2.45,-0.0464192429418904
2.455,-0.0479081249848005
2.46,-0.0495024536191394
2.465,-0.0512128825181152
2.47,-0.0530514444625228
2.475,-0.0550317700716234
2.48,-0.0571693479227513
2.485,-0.0594818352247625
2.49,-0.0619894305508774
2.495,-0.0647153231578519
2.5,-0.0676862373451589
2.505,-0.0709330954458136
2.51,-0.0744918298127404
2.515,-0.0784043831593278
2.52,-0.082719948655855
2.525,-0.087496517446808
2.53,-0.0928028234147281
2.535,-0.0987208055039554
2.54,-0.105348750288884
2.545,-0.112805336997924
2.55,-0.121234891798989
2.555,-0.130814279855777
2.56,-0.141762041063361
2.565,-0.154350637606854
2.57,-0.168923074997171
2.575,-0.185915758341705
2.58,-0.205890376772552
2.585,-0.22957908102679
2.59,-0.257949593583191
2.595,-0.292300804355059
2.6,-0.334406007283905
2.605,-0.386732352799766
2.61,-0.452785374748813
2.615,-0.537664500666572
2.62,-0.648985108140192
2.625,-0.798457398859149
2.63,-1.00467948167666
2.635,-1.29823993927601
2.64,-1.73129740397132
2.645,-2.39576626378133
2.65,-3.45649079774873
2.655,-5.19728029838237
2.66,-7.94448461598798
2.665,-10.5850179480234
2.67,-8.97347949008681
2.675,-5.98850398673876
2.68,-3.97632796942163
2.685,-2.74645616301346
2.69,-1.98052957737845
2.695,-1.48475531306032
2.7,-1.15070346968305
2.705,-0.917172394503618
2.71,-0.748533096100548
2.715,-0.623281103830152
2.72,-0.527965994242362
2.725,-0.453891151374242
2.73,-0.395261708362428
2.735,-0.348110447749894
2.74,-0.309654801590972
2.745,-0.277900337287704
2.75,-0.251389467926355
2.755,-0.229038165738838
2.76,-0.210027410346655
2.765,-0.193729506207214
2.77,-0.179657108616114
2.775,-0.16742734102106
2.78,-0.156736129846313
2.785,-0.147339576555267
2.79,-0.139040253736546
2.795,-0.131676997242236
2.8,-0.125117214303177
2.805,-0.119251025156002
2.81,-0.113986756516614
2.815,-0.109247442663839
2.82,-0.104968085216762
2.825,-0.101093489632159
2.83,-0.0975765440151523
2.835,-0.0943768400077847
2.84,-0.0914595603236093
2.845,-0.0887945756753365
2.85,-0.0863557072893311
2.855,-0.0841201212330905
2.86,-0.0820678283288625
2.865,-0.0801812691474283
2.87,-0.0784449679453626
2.875,-0.0768452427688645
2.88,-0.0753699615483847
2.885,-0.0740083360345692
2.89,-0.072750747014236
2.895,-0.0715885954968558
2.9,-0.0705141755543196
2.905,-0.0695205652872129
2.91,-0.0686015330239002
2.915,-0.0677514563679726
2.92,-0.0669652521213727
2.925,-0.0662383154446855
2.93,-0.0655664668886027
2.935,-0.0649459061536895
2.94,-0.0643731716188705
2.945,-0.0638451048303346
2.95,-0.0633588192677616
2.955,-0.0629116728088271
2.96,-0.0625012433996459
2.965,-0.0621253075113572
2.97,-0.0617818210239451
2.975,-0.0614689022295164
2.98,-0.0611848166905754
2.985,-0.0609279637252994
2.99,-0.060696864322989
2.995,-0.0604901503191635
3,-0.0603065546823914
