"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0142128555561018
2.005,-0.0142553927956613
2.01,-0.0142982921517401
2.015,-0.0143415561092344
2.02,-0.0143851871656249
2.025,-0.0144291878310317
2.03,-0.0144735606282904
2.035,-0.0145183080930234
2.04,-0.0145634327736867
2.045,-0.0146089372316574
2.05,-0.0146548240412848
2.055,-0.0147010957899672
2.06,-0.0147477550782183
2.065,-0.0147948045197288
2.07,-0.0148422467414443
2.075,-0.014890084383624
2.08,-0.0149383200999172
2.085,-0.0149869565574309
2.09,-0.015035996436793
2.095,-0.0150854424322422
2.1,-0.0151352972516648
2.105,-0.0151855636167002
2.11,-0.0152362442627887
2.115,-0.0152873419392536
2.12,-0.0153388594093711
2.125,-0.0153907994504441
2.13,-0.0154431648538643
2.135,-0.0154959584252031
2.14,-0.0155491829842704
2.145,-0.0156028413651918
2.15,-0.0156569364164914
2.155,-0.01571147100115
2.16,-0.0157664479966965
2.165,-0.0158218702952661
2.17,-0.0158777408037009
2.175,-0.0159340624435938
2.18,-0.0159908381513906
2.185,-0.0160480708784576
2.19,-0.0161057635911546
2.195,-0.0161639192709208
2.2,-0.0162225409143449
2.205,-0.0162816315332496
2.21,-0.0163411941547711
2.215,-0.0164012318214265
2.22,-0.0164617475912094
2.225,-0.0165227445376583
2.23,-0.0165842257499429
2.235,-0.0166461943329428
2.24,-0.0167086534073254
2.245,-0.0167716061096415
2.25,-0.0168350555923829
2.255,-0.0168990050240844
2.26,-0.0169634575894063
2.265,-0.0170284164892032
2.27,-0.0170938849406267
2.275,-0.0171598661771881
2.28,-0.0172263634488625
2.285,-0.0172933800221622
2.29,-0.0173609191802307
2.295,-0.017428984222919
2.3,-0.017497578466871
2.305,-0.0175667052456329
2.31,-0.017636367909702
2.315,-0.0177065698266522
2.32,-0.0177773143811937
2.325,-0.0178486049752794
2.33,-0.0179204450281859
2.335,-0.017992837976606
2.34,-0.0180657872747341
2.345,-0.0181392963943607
2.35,-0.0182133688249644
2.355,-0.0182880080737901
2.36,-0.018363217665975
2.365,-0.0184390011445891
2.37,-0.0185153620707786
2.375,-0.0185923040238164
2.38,-0.0186698306012356
2.385,-0.018747945418887
2.39,-0.0188266521110649
2.395,-0.0189059543305706
2.4,-0.018985855748839
2.405,-0.0190663600560208
2.41,-0.0191474709610645
2.415,-0.0192291921918432
2.42,-0.0193115274952273
2.425,-0.0193944806371974
2.43,-0.0194780554029319
2.435,-0.0195622555969159
2.44,-0.0196470850430329
2.445,-0.0197325475846688
2.45,-0.0198186470848139
2.455,-0.0199053874261593
2.46,-0.0199927725111976
2.465,-0.0200808062623332
2.47,-0.0201694926219844
2.475,-0.020258835552668
2.48,-0.0203488390371305
2.485,-0.020439507078432
2.49,-0.0205308437000596
2.495,-0.0206228529460302
2.5,-0.020715538880997
2.505,-0.0208089055903537
2.51,-0.0209029571803522
2.515,-0.0209976977781858
2.52,-0.0210931315321297
2.525,-0.021189262611614
2.53,-0.0212860952073733
2.535,-0.0213836335315119
2.54,-0.021481881817651
2.545,-0.0215808443210187
2.55,-0.0216805253185744
