"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0143358260715409
2.005,-0.0144041189137383
2.01,-0.0144724941274285
2.015,-0.0145409761220118
2.02,-0.0146095890973705
2.025,-0.0146783570455492
2.03,-0.0147473037524324
2.035,-0.0148164527994063
2.04,-0.014885827565028
2.045,-0.0149554512266584
2.05,-0.0150253467621114
2.055,-0.0150955369512894
2.06,-0.0151660443778237
2.065,-0.0152368914307055
2.07,-0.0153081003059099
2.075,-0.0153796930080309
2.08,-0.0154516913519242
2.085,-0.015524116964336
2.09,-0.0155969912855529
2.095,-0.015670335571047
2.1,-0.0157441708931401
2.105,-0.0158185181426761
2.11,-0.015893398030691
2.115,-0.0159688310901168
2.12,-0.0160448376774908
2.125,-0.0161214379746821
2.13,-0.0161986519906409
2.135,-0.0162764995631512
2.14,-0.0163550003606492
2.145,-0.0164341738840161
2.15,-0.016514039468427
2.155,-0.0165946162852209
2.16,-0.0166759233438056
2.165,-0.0167579794935971
2.17,-0.016840803425983
2.175,-0.0169244136763369
2.18,-0.0170088286260782
2.185,-0.0170940665047469
2.19,-0.0171801453921545
2.195,-0.0172670832205742
2.2,-0.0173548977769739
2.205,-0.0174436067053066
2.21,-0.0175332275088725
2.215,-0.0176237775527057
2.22,-0.0177152740660627
2.225,-0.0178077341449615
2.23,-0.0179011747547693
2.235,-0.0179956127329049
2.24,-0.0180910647915756
2.245,-0.018187547520617
2.25,-0.0182850773904225
2.255,-0.0183836707549246
2.26,-0.0184833438547155
2.265,-0.0185841128202146
2.27,-0.0186859936749782
2.275,-0.018789002339084
2.28,-0.0188931546326329
2.285,-0.0189984662793691
2.29,-0.0191049529103985
2.295,-0.0192126300680665
2.3,-0.0193215132099126
2.305,-0.0194316177128094
2.31,-0.019542958877204
2.315,-0.0196555519315154
2.32,-0.019769412036685
2.325,-0.019884554290878
2.33,-0.0200009937343523
2.335,-0.0201187453544866
2.34,-0.0202378240909978
2.345,-0.0203582448413239
2.35,-0.0204800224662143
2.355,-0.0206031717955057
2.36,-0.0207277076341006
2.365,-0.0208536447681674
2.37,-0.0209809979715623
2.375,-0.0211097820124622
2.38,-0.0212400116602697
2.385,-0.0213717016927278
2.39,-0.0215048669033166
2.395,-0.0216395221089176
2.4,-0.02177568215774
2.405,-0.0219133619375429
2.41,-0.0220525763841661
2.415,-0.022193340490351
2.42,-0.0223356693149072
2.425,-0.0224795779921907
2.43,-0.0226250817419447
2.435,-0.0227721958795052
2.44,-0.0229209358263594
2.445,-0.0230713171211122
2.45,-0.0232233554308515
2.455,-0.0233770665629278
2.46,-0.0235324664771711
2.465,-0.0236895712985569
2.47,-0.0238483973303522
2.475,-0.0240089610677179
2.48,-0.0241712792118582
2.485,-0.0243353686846548
