"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.050801203965104
2.005,-0.0518806282137928
2.01,-0.0529978264474021
2.015,-0.0541539902501181
2.02,-0.0553503720272651
2.025,-0.0565882884223467
2.03,-0.0578691239620967
2.035,-0.0591943349469124
2.04,-0.0605654536054985
2.045,-0.0619840925343113
2.05,-0.0634519494439976
2.055,-0.0649708122372344
2.06,-0.0665425644443192
2.065,-0.0681691910454189
2.07,-0.0698527847109213
2.075,-0.071595552494229
2.08,-0.0733998230146361
2.085,-0.0752680541712261
2.09,-0.0772028414329181
2.095,-0.0792069267538029
2.1,-0.0812832081679023
2.105,-0.0834347501226038
2.11,-0.085664794615948
2.115,-0.0879767732094805
2.12,-0.0903743199954362
2.125,-0.0928612856053262
2.13,-0.0954417523556181
2.135,-0.0981200506364594
2.14,-0.100900776660338
2.145,-0.103788811700076
2.15,-0.10678934295948
2.155,-0.109907886235494
2.16,-0.113150310548231
2.165,-0.11652286493483
2.17,-0.12003220762515
2.175,-0.123685437842154
2.18,-0.127490130497726
2.185,-0.131454374086356
2.19,-0.135586812114657
2.195,-0.139896688445171
2.2,-0.144393896978552
2.205,-0.14908903615025
2.21,-0.153993468776664
2.215,-0.159119387853095
2.22,-0.164479888982154
2.225,-0.170089050198934
2.23,-0.17596202005903
2.235,-0.182115114970114
2.24,-0.188565926879183
2.245,-0.195333442578453
2.25,-0.202438176066989
2.255,-0.209902315605464
2.26,-0.217749887333303
2.265,-0.22600693758567
2.27,-0.23470173635881
2.275,-0.243865004733851
2.28,-0.253530169490019
2.285,-0.26373364862932
2.29,-0.274515172108789
2.295,-0.285918142748971
2.3,-0.297990043076745
2.305,-0.310782894789622
2.31,-0.324353778623783
2.315,-0.338765423702712
2.32,-0.354086876976281
2.325,-0.370394265180677
2.33,-0.387771663915633
2.335,-0.406312091019922
2.34,-0.426118644516224
2.345,-0.447305809101507
2.35,-0.470000959611435
2.355,-0.49434609525219
2.36,-0.520499844873616
2.365,-0.548639791406164
2.37,-0.578965173114623
2.375,-0.611700030924607
2.38,-0.647096885241773
2.385,-0.685441043019852
2.39,-0.727055657109522
2.395,-0.772307686101506
2.4,-0.821614935183626
2.405,-0.875454398506087
2.41,-0.934372173152979
2.415,-0.998995276551978
2.42,-1.07004577622485
2.425,-1.14835773732377
2.43,-1.23489761478964
2.435,-1.33078887027153
2.44,-1.43734178856452
2.445,-1.55608971699354
2.45,-1.6888332715189
2.455,-1.83769447039337
2.46,-2.00518330657249
2.465,-2.19428000905781
2.47,-2.40853725717709
2.475,-2.65220803912232
2.48,-2.93040691572832
2.485,-3.24931554819161
2.49,-3.61644813383019
2.495,-4.04100000329015
2.5,-4.53431501817627
2.505,-5.11052786223759
2.51,-5.7874710933451
2.515,-6.58799096365977
2.52,-7.54189368420717
2.525,-8.68880979737604
2.53,-10.08206465133
2.535,-11.7917513141027
2.54,-13.8937131556216
2.545,-16.3672288290503
2.55,-18.5807865752753
2.555,-18.6872773003467
2.56,-16.5793980963776
2.565,-14.1262978505594
2.57,-12.0303956204417
2.575,-10.3276766037715
2.58,-8.94303586030908
2.585,-7.80516556566138
2.59,-6.8597134842114
2.595,-6.06643019974078
2.6,-5.39521418857674
2.605,-4.82314167621014
2.61,-4.33243748742079
2.615,-3.90910061633784
2.62,-3.54195767121537
2.625,-3.22199506194335
2.63,-2.9418759679247
2.635,-2.69558289695138
2.64,-2.47814792116581
2.645,-2.28544570768643
2.65,-2.11403256461872
2.655,-1.96101987572811
2.66,-1.82397366005078
2.665,-1.70083424869441
2.67,-1.58985162560962
2.675,-1.48953307731693
2.68,-1.39860058977671
2.685,-1.31595601451891
2.69,-1.24065246295471
2.695,-1.17187071890953
2.7,-1.10889971318228
2.705,-1.05112030019308
2.71,-0.997991729720305
2.715,-0.949040326681382
2.72,-0.903849986522791
2.725,-0.862054168777019
2.73,-0.823329131052258
2.735,-0.787388193454577
2.74,-0.753976861750182
2.745,-0.72286866842951
2.75,-0.693861615772171
2.755,-0.6667751252336
2.76,-0.641447413925601
2.765,-0.617733232388565
2.77,-0.595501908843462
2.775,-0.574635654134951
2.78,-0.555028089007408
2.785,-0.536582961491736
2.79,-0.519213027262412
2.795,-0.502839070044248
2.8,-0.487389042662039
2.805,-0.472797312260187
2.81,-0.459003995674971
2.815,-0.445954373003036
2.82,-0.433598369143542
2.825,-0.421890094553554
2.83,-0.410787437692571
2.835,-0.400251702679417
2.84,-0.390247286574615
2.845,-0.380741391458522
2.85,-0.37170376712171
2.855,-0.363106480736473
2.86,-0.35492371035158
2.865,-0.347131559458763
2.87,-0.339707890229014
2.875,-0.332632173318005
2.88,-0.32588535240033
2.885,-0.319449721817249
2.89,-0.31330881591807
2.895,-0.30744730884459
2.9,-0.301850923655776
2.905,-0.296506349818167
2.91,-0.291401168199909
2.915,-0.28652378280439
2.92,-0.281863358565373
2.925,-0.277409764601028
2.93,-0.273153522390426
2.935,-0.269085758394483
2.94,-0.265198160694621
2.945,-0.261482939267851
2.95,-0.257932789557055
2.955,-0.254540859030737
2.96,-0.251300716457916
2.965,-0.248206323651875
2.97,-0.245252009461133
2.975,-0.242432445808228
2.98,-0.239742625596482
2.985,-0.237177842322495
2.99,-0.234733671247831
2.995,-0.232405951997285
3,-0.230190772463801
