"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0206024109630164
2.005,-0.0208284949806174
2.01,-0.021057819539633
2.015,-0.0212904580041164
2.02,-0.0215264855461655
2.025,-0.0217659792045288
2.03,-0.0220090179454061
2.035,-0.0222556827255383
2.04,-0.0225060565576836
2.045,-0.0227602245786013
2.05,-0.0230182741196091
2.055,-0.0232802947798942
2.06,-0.0235463785026468
2.065,-0.0238166196541643
2.07,-0.02409111510606
2.075,-0.0243699643207178
2.08,-0.0246532694401407
2.085,-0.0249411353783374
2.09,-0.0252336699174294
2.095,-0.0255309838076441
2.1,-0.025833190871359
2.105,-0.0261404081114162
2.11,-0.0264527558238874
2.115,-0.0267703577155037
2.12,-0.0270933410259841
2.125,-0.0274218366554785
2.13,-0.0277559792973901
2.135,-0.0280959075768394
2.14,-0.0284417641950145
2.145,-0.0287936960797444
2.15,-0.0291518545425603
2.155,-0.029516395442591
2.16,-0.0298874793576379
2.165,-0.0302652717627552
2.17,-0.0306499432167707
2.175,-0.0310416695571068
2.18,-0.031440632103334
2.185,-0.0318470178699238
2.19,-0.0322610197886814
2.195,-0.0326828369413266
2.2,-0.0331126748027865
2.205,-0.0335507454957793
2.21,-0.0339972680572428
2.215,-0.0344524687172833
2.22,-0.0349165811913128
2.225,-0.0353898469860567
2.23,-0.035872515720242
2.235,-0.0363648454607294
2.24,-0.0368671030749578
2.245,-0.0373795646006285
2.25,-0.0379025156335447
2.255,-0.0384362517347
2.26,-0.0389810788576486
2.265,-0.0395373137973539
2.27,-0.0401052846617371
2.275,-0.0406853313672393
2.28,-0.0412778061598291
2.285,-0.0418830741629023
2.29,-0.0425015139537171
2.295,-0.043133518170036
2.3,-0.0437794941488006
2.305,-0.044439864598783
2.31,-0.0451150683092673
2.315,-0.0458055608970071
2.32,-0.0465118155937871
2.325,-0.0472343240771616
2.33,-0.0479735973470536
2.335,-0.0487301666511269
2.34,-0.0495045844620454
2.345,-0.0502974255099491
2.35,-0.0511092878737331
2.355,-0.0519407941349502
2.36,-0.0527925925984978
2.365,-0.0536653585844462
2.37,-0.0545597957958593
2.375,-0.055476637767645
2.38,-0.0564166494019964
2.385,-0.0573806285963254
2.39,-0.0583694079700964
2.395,-0.0593838566974413
2.4,-0.0604248824529809
2.405,-0.0614934334788785
2.41,-0.0625905007817924
2.415,-0.0637171204690749
2.42,-0.0648743762343425
2.425,-0.0660634020033834
2.43,-0.0672853847522378
2.435,-0.0685415675103371
2.44,-0.069833252562584
2.445,-0.0711618048655744
2.45,-0.0725286556942713
2.455,-0.0739353065370796
2.46,-0.0753833332586619
2.465,-0.0768743905515982
2.47,-0.0784102166999407
2.475,-0.0799926386796868
2.48,-0.0816235776234912
2.485,-0.0833050546795266
2.49,-0.0850391972970508
2.495,-0.0868282459743497
2.5,-0.088674561508105
2.505,-0.0905806327869267
2.51,-0.0925490851759084
2.515,-0.0945826895436713
2.52,-0.0966843719883573
2.525,-0.098857224324721
2.53,-0.101104515400647
2.535,-0.103429703318377
2.54,-0.1058364486435
2.545,-0.10832862869329
2.55,-0.110910353005672
2.555,-0.113585980100768
2.56,-0.116360135659019
2.565,-0.119237732253298
2.57,-0.122223990787565
2.575,-0.125324463811446
2.58,-0.128545060899195
2.585,-0.131892076302941
2.59,-0.135372219114158
2.595,-0.13899264619456
2.6,-0.142760998168416
2.605,-0.146685438803003
2.61,-0.150774698143433
2.615,-0.155038119812797
2.62,-0.159485712939415
2.625,-0.164128209230971
2.63,-0.168977125781168
2.635,-0.174044834270036
2.64,-0.179344637305126
2.645,-0.184890852749598
2.65,-0.19069890699652
2.655,-0.196785438278907
2.66,-0.203168411255077
2.665,-0.209867244281867
2.67,-0.216902950988327
2.675,-0.224298297994053
2.68,-0.232077980885051
2.685,-0.240268820872457
2.69,-0.248899984923323
2.695,-0.258003232577499
2.7,-0.267613193161662
2.705,-0.277767677694166
2.71,-0.2885080304589
2.715,-0.29987952603268
2.72,-0.311931818502243
2.725,-0.324719450732866
2.73,-0.338302432886175
2.735,-0.352746900972448
2.74,-0.368125868115616
2.745,-0.384520083471036
2.75,-0.402019016446677
2.755,-0.420721987134939
2.76,-0.440739467785682
2.765,-0.462194584891366
2.77,-0.485224857198278
2.775,-0.509984211936776
2.78,-0.536645330068744
2.785,-0.565402381747596
2.79,-0.596474225934889
2.795,-0.630108163798767
2.8,-0.666584354869191
2.805,-0.706221028879407
2.81,-0.749380655977026
2.815,-0.796477275072646
2.82,-0.847985226478452
2.825,-0.904449593221319
2.83,-0.966498728804741
2.835,-1.03485934207306
2.84,-1.11037472791119
2.845,-1.19402688339363
2.85,-1.28696344291531
2.855,-1.39053061678335
2.86,-1.50631364519539
2.865,-1.63618671119052
2.87,-1.78237483253618
2.875,-1.94753103464685
2.88,-2.13483318963998
2.885,-2.34810644411899
2.89,-2.59197940723853
2.895,-2.87208567625331
2.9,-3.1953276361986
2.905,-3.57022825710282
2.91,-4.00741163882237
2.915,-4.52027987742134
2.92,-5.12600387473503
2.925,-5.84704365559268
2.93,-6.71361625073193
2.935,-7.76797700659428
2.94,-9.0724600427997
2.945,-10.726145696946
2.95,-12.9042920295182
2.955,-15.9717764605141
2.96,-20.9405660048069
2.965,-33.7378426819989
2.97,-25.6518277249383
2.975,-18.3307784127431
2.98,-14.4966153561706
2.985,-11.9416086170025
2.99,-10.0655693206451
2.995,-8.61514735384427
3,-7.45788735297397
