"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0189939472804473
2.005,-0.019198722330718
2.01,-0.0194111681870052
2.015,-0.0196315478997498
2.02,-0.0198601402236763
2.025,-0.0200972406646523
2.03,-0.02034316260967
2.035,-0.0205982385475406
2.04,-0.0208628213886618
2.045,-0.0211372858930844
2.05,-0.0214220302171309
2.055,-0.0217174775898383
2.06,-0.022024078131819
2.065,-0.0223423108304158
2.07,-0.0226726856866227
2.075,-0.0230157460510214
2.08,-0.0233720711678086
2.085,-0.0237422789483653
2.09,-0.0241270289981902
2.095,-0.0245270259238855
2.1,-0.0249430229500809
2.105,-0.0253758258797877
2.11,-0.0258262974358505
2.115,-0.0262953620257356
2.12,-0.0267840109773843
2.125,-0.0272933082998747
2.13,-0.02782439702963
2.135,-0.0283785062309398
2.14,-0.0289569587287656
2.145,-0.0295611796623275
2.15,-0.0301927059602335
2.155,-0.0308531968518946
2.16,-0.0315444455464325
2.165,-0.0322683922289805
2.17,-0.0330271385464694
2.175,-0.0338229637804437
2.18,-0.0346583429344589
2.185,-0.0355359669985761
2.19,-0.0364587656945552
2.195,-0.0374299330537253
2.2,-0.0384529562365371
2.205,-0.0395316480701994
2.21,-0.0406701838609247
2.215,-0.0418731431324263
2.22,-0.0431455570559904
2.225,-0.0444929624733207
2.23,-0.0459214635768246
2.235,-0.0474378025085891
2.24,-0.0490494403773723
2.245,-0.0507646504815016
2.25,-0.0525926258772909
2.255,-0.0545436038625347
2.26,-0.0566290104724263
2.265,-0.0588616287361673
2.27,-0.0612557952481955
2.275,-0.0638276306105673
2.28,-0.066595310555709
2.285,-0.0695793861325461
2.29,-0.0728031633258849
2.295,-0.0762931550012286
2.3,-0.0800796212873757
2.305,-0.0841972186446027
2.31,-0.088685783210773
2.315,-0.0935912809693294
2.32,-0.0989669663883409
2.325,-0.104874803191388
2.33,-0.111387216888464
2.335,-0.118589270091469
2.34,-0.126581380554375
2.345,-0.135482741306253
2.35,-0.145435656519466
2.355,-0.156611082219597
2.36,-0.169215766994147
2.365,-0.183501538586543
2.37,-0.19977749908777
2.375,-0.218426207369181
2.38,-0.239925394072943
2.385,-0.264877453956436
2.39,-0.294050025306149
2.395,-0.328432614720764
2.4,-0.369316823745022
2.405,-0.418411907728438
2.41,-0.478014241313651
2.415,-0.551260735942559
2.42,-0.6425159361122
2.425,-0.757977142639636
2.43,-0.906644454362191
2.435,-1.10191885728207
2.44,-1.3643142914515
2.445,-1.72621206157121
2.45,-2.24050580309847
2.455,-2.99704176799288
2.46,-4.15602647668343
2.465,-6.0249081842883
2.47,-9.28896890197366
2.475,-16.21962393421
2.48,-23.4115326780785
2.485,-11.7020236417928
2.49,-7.33535865891965
2.495,-4.98413965132883
2.5,-3.5655757819845
2.505,-2.65483852494252
2.51,-2.04288172716911
2.515,-1.61596898740292
2.52,-1.3084451067289
2.525,-1.08069955131902
2.53,-0.907930091265576
2.535,-0.774089891184876
2.54,-0.66848851307175
2.545,-0.583814479704676
2.55,-0.514947859990776
2.555,-0.458226404191212
2.56,-0.410979875819711
2.565,-0.371227346436032
2.57,-0.337476023738618
2.575,-0.308584818786316
2.58,-0.283670081404074
2.585,-0.262039347807731
2.59,-0.243144037866263
2.595,-0.226545188516064
2.6,-0.211888295775828
2.605,-0.198884613544425
2.61,-0.187297091107228
2.615,-0.17692968498832
2.62,-0.16761915408512
2.625,-0.159228702251315
2.63,-0.151643009309109
2.635,-0.144764315484441
2.64,-0.138509312251929
2.645,-0.13280665569576
2.65,-0.12759496423704
2.655,-0.122821196052847
2.66,-0.11843932623318
2.665,-0.114409262136822
2.67,-0.110695949237439
2.675,-0.107268630218936
2.68,-0.104100228060609
2.685,-0.101166829981044
2.69,-0.0984472538466442
2.695,-0.0959226823355662
2.7,-0.0935763530313887
2.705,-0.0913932948907144
2.71,-0.0893601033252538
2.715,-0.0874647475683399
2.72,-0.0856964051387147
2.725,-0.0840453191328994
2.73,-0.0825026748187626
2.735,-0.0810604926041781
2.74,-0.0797115349440507
2.745,-0.0784492251493453
2.75,-0.0772675763903013
2.755,-0.0761611294567008
2.76,-0.0751248980620548
2.765,-0.0741543206642827
2.77,-0.0732452179303138
2.775,-0.0723937551012046
2.78,-0.0715964086228481
2.785,-0.0708499364983168
2.79,-0.0701513518947632
2.795,-0.0694978996027298
2.8,-0.068887035000746
2.805,-0.0683164052249498
2.81,-0.0677838322833804
2.815,-0.0672872978885913
2.82,-0.0668249298116089
2.825,-0.0663949895851386
2.83,-0.0659958614056947
2.835,-0.0656260421027931
2.84,-0.0652841320595348
2.845,-0.0649688269827628
2.85,-0.0646789104331692
2.855,-0.064413247036137
2.86,-0.0641707763033542
2.865,-0.063950507003178
2.87,-0.0637515120247945
2.875,-0.063572923687235
2.88,-0.063413929449837
2.885,-0.0632737679853511
2.89,-0.063151725581082
2.895,-0.0630471328372
2.9,-0.0629593616344834
2.905,-0.0628878223467421
2.91,-0.062831961275625
2.915,-0.0627912582878168
2.92,-0.062765224636622
2.925,-0.0627534009517389
2.93,-0.0627553553825663
2.935,-0.0627706818818577
2.94,-0.0627989986177896
2.945,-0.0628399465036082
2.95,-0.0628931878350963
2.955,-0.0629584050269437
2.96,-0.0630352994400065
2.965,-0.0631235902920696
2.97,-0.0632230136454778
2.975,-0.0633333214655447
2.98,-0.063454280744239
2.985,-0.0635856726840312
2.99,-0.0637272919373383
2.995,-0.0638789458973335
3,-0.0640404540362466
