"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0182584170328268
2.005,-0.0183819012319866
2.01,-0.0185062132060275
2.015,-0.0186313666152635
2.02,-0.0187573752359174
2.025,-0.0188842529651279
2.03,-0.0190120138260743
2.035,-0.0191406719732677
2.04,-0.0192702416979585
2.045,-0.0194007374337049
2.05,-0.0195321737621151
2.055,-0.0196645654187245
2.06,-0.0197979272990835
2.065,-0.0199322744649837
2.07,-0.0200676221509166
2.075,-0.0202039857706937
2.08,-0.0203413809243026
2.085,-0.0204798234049649
2.09,-0.0206193292064179
2.095,-0.0207599145304537
2.1,-0.0209015957946952
2.105,-0.0210443896406269
2.11,-0.0211883129419154
2.115,-0.0213333828130129
2.12,-0.0214796166180595
2.125,-0.0216270319800964
2.13,-0.0217756467906293
2.135,-0.0219254792195208
2.14,-0.0220765477252626
2.145,-0.022228871065625
2.15,-0.0223824683087149
2.155,-0.0225373588444447
2.16,-0.022693562396479
2.165,-0.0228510990346123
2.17,-0.0230099891876594
2.175,-0.0231702536568773
2.18,-0.0233319136299014
2.185,-0.0234949906952825
2.19,-0.0236595068576366
2.195,-0.0238254845533941
2.2,-0.023992946667267
2.205,-0.0241619165494015
2.21,-0.0243324180332844
2.215,-0.0245044754544394
2.22,-0.0246781136699617
2.225,-0.0248533580789307
2.23,-0.0250302346437403
2.235,-0.02520876991245
2.24,-0.02538899104213
2.245,-0.0255709258233397
2.25,-0.0257546027057583
2.255,-0.0259400508250487
2.26,-0.0261273000310239
2.265,-0.0263163809172113
2.27,-0.0265073248518654
2.275,-0.0267001640105417
2.28,-0.026894931410336
2.285,-0.0270916609458513
2.29,-0.0272903874270427
2.295,-0.0274911466190365
2.3,-0.0276939752840519
2.305,-0.0278989112255465
2.31,-0.0281059933347642
2.315,-0.028315261639799
2.32,-0.0285267573573603
2.325,-0.0287405229474173
2.33,-0.0289566021709074
2.335,-0.0291750401507229
2.34,-0.0293958834361854
2.345,-0.0296191800712524
2.35,-0.0298449796667047
2.355,-0.030073333476626
2.36,-0.0303042944793953
2.365,-0.0305379174636132
2.37,-0.0307742591192369
2.375,-0.0310133781343169
2.38,-0.0312553352977676
2.385,-0.0315001936085817
2.39,-0.0317480183919789
2.395,-0.0319988774229978
2.4,-0.0322528410581266
2.405,-0.0325099823755187
2.41,-0.0327703773245122
2.415,-0.0330341048851404
2.42,-0.033301247238441
2.425,-0.033571889948391
2.43,-0.033846122156409
2.435,-0.034124036789456
2.44,-0.0344057307827904
2.445,-0.0346913053186672
2.45,-0.0349808660822226
2.455,-0.0352745235360314
2.46,-0.0355723932149385
2.465,-0.0358745960428717
2.47,-0.0361812586735589
2.475,-0.0364925138572403
2.48,-0.0368085008357179
2.485,-0.0371293657682224
2.49,-0.0374552621909453
2.495,-0.0377863515132945
2.5,-0.0381228035543276
2.505,-0.0384647971230522
2.51,-0.0388125206468612
2.515,-0.0391661728526571
2.52,-0.0395259635058117
2.525,-0.0398921142126805
2.53,-0.040264859292989
2.535,-0.0406444467291264
2.54,-0.0410311392002397
2.545,-0.0414252152098947
2.55,-0.0418269703171204
2.555,-0.0422367184817913
2.56,-0.0426547935367088
2.565,-0.0430815508001533
2.57,-0.0435173688444524
2.575,-0.0439626514380927
2.58,-0.0444178296810425
2.585,-0.0448833643555882
2.59,-0.0453597485179093
2.595,-0.0458475103588995
2.6,-0.0463472163667007
2.605,-0.0468594748277726
2.61,-0.0473849397085468
2.615,-0.0479243149655613
2.62,-0.0484783593389289
2.625,-0.0490478916919531
2.63,-0.0496337969690305
2.635,-0.0502370328548647
2.64,-0.0508586372306785
2.645,-0.0514997365381122
2.65,-0.0521615551789173
2.655,-0.0528454260993383
2.66,-0.0535528027323547
2.665,-0.0542852725000347
2.67,-0.0550445721125457
2.675,-0.0558326049414264
2.68,-0.0566514607936838
2.685,-0.0575034384721555
2.69,-0.0583910715782513
2.695,-0.0593171580986618
2.7,-0.0602847944211217
2.705,-0.0612974145501352
2.71,-0.0623588354473217
2.715,-0.0634733096091574
2.72,-0.0646455862266757
2.725,-0.0658809825577672
2.73,-0.067185467497965
2.735,-0.0685657597783204
2.74,-0.0700294437735176
2.745,-0.0715851066013637
2.75,-0.0732425010779266
2.755,-0.0750127402156309
2.76,-0.076908530388338
2.765,-0.0789444521352803
2.77,-0.0811372999675341
2.775,-0.0835064956556835
2.78,-0.0860745935610859
2.785,-0.0888679019637923
2.79,-0.0919172515070301
2.795,-0.0952589514777174
2.8,-0.0989359876008244
2.805,-0.10299953265917
2.81,-0.107510865448375
2.815,-0.11254382707095
2.82,-0.118187990349766
2.825,-0.124552784062684
2.83,-0.13177290745973
2.835,-0.140015505099961
2.84,-0.14948976691762
2.845,-0.160459902919549
2.85,-0.173262860097408
2.855,-0.188332766621446
2.86,-0.206235000555891
2.865,-0.227714118585354
2.87,-0.253761803283917
2.875,-0.285713616938536
2.88,-0.325386529379073
2.885,-0.375271719449918
2.89,-0.438794558783971
2.895,-0.520631989248226
2.9,-0.626997014255361
2.905,-0.765558753666094
2.91,-0.944047351192445
2.915,-1.16535279554084
2.92,-1.41586669530311
2.925,-1.64851063544756
2.93,-1.78238957291631
2.935,-1.75336963429322
2.94,-1.57816681384929
2.945,-1.33565714551599
2.95,-1.09640380926134
2.955,-0.89323087951244
2.96,-0.732002356167612
2.965,-0.607417728565748
2.97,-0.511704577426846
2.975,-0.437843208304342
2.98,-0.380316691256908
2.985,-0.335011395564908
2.99,-0.298916584245956
2.995,-0.269835102033033
3,-0.246155775212318
