"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-5.51984909712194
2.005,-4.52920011629306
2.01,-3.68328197801048
2.015,-3.00445831379213
2.02,-2.47182519044316
2.025,-2.05570918906911
2.03,-1.72922674394049
2.035,-1.47092111635379
2.04,-1.26447593167964
2.045,-1.09770660954471
2.05,-0.961551167233334
2.055,-0.849249659426476
2.06,-0.755725489119787
2.065,-0.677133388922866
2.07,-0.610533144861273
2.075,-0.553654627151677
2.08,-0.504728070657484
2.085,-0.46236075712253
2.09,-0.425446734139039
2.095,-0.393100163485658
2.1,-0.364605681239937
2.105,-0.339381099273849
2.11,-0.316949133663293
2.115,-0.29691579160098
2.12,-0.278953711501977
2.125,-0.262789218603917
2.13,-0.248192190437115
2.135,-0.234968064135049
2.14,-0.222951488873811
2.145,-0.212001251225183
2.15,-0.201996192383229
2.155,-0.192831903507939
2.16,-0.184418035453431
2.165,-0.176676096610687
2.17,-0.169537640847676
2.175,-0.162942768982185
2.18,-0.156838883618773
2.185,-0.151179649792056
2.19,-0.145924123617134
2.195,-0.141036018743816
2.2,-0.136483086357121
2.205,-0.132236589146022
2.21,-0.128270853364547
2.215,-0.124562886053024
2.22,-0.121092046839212
2.225,-0.117839765626846
2.23,-0.114789299001457
2.235,-0.111925519415914
2.24,-0.109234732220514
2.245,-0.106704516420888
2.25,-0.104323585717629
2.255,-0.102081666933424
2.26,-0.0999693933890236
2.265,-0.0979782111668477
2.27,-0.09610029651482
2.275,-0.0943284829046883
2.28,-0.0926561964781467
2.285,-0.0910773987976566
2.29,-0.0895865359737059
2.295,-0.0881784933706221
2.3,-0.0868485552036596
2.305,-0.0855923684337888
2.31,-0.0844059104464599
2.315,-0.0832854600686181
2.32,-0.082227571536524
2.325,-0.081229051076757
2.33,-0.080286935805721
2.335,-0.0793984746897884
2.34,-0.0785611113402026
2.345,-0.0777724684442612
2.35,-0.0770303336583155
2.355,-0.0763326468087449
2.36,-0.0756774882652015
2.365,-0.0750630683660562
2.37,-0.0744877177898178
2.375,-0.0739498787782135
2.38,-0.0734480971272825
2.385,-0.0729810148719899
2.39,-0.0725473635980812
2.395,-0.0721459583221186
2.4,-0.0717756918869102
2.405,-0.0714355298252504
2.41,-0.0711245056498523
2.415,-0.0708417165318331
2.42,-0.0705863193340468
2.425,-0.0703575269691368
2.43,-0.0701546050554137
2.435,-0.0699768688465039
2.44,-0.0698236804134013
2.445,-0.0696944460599539
2.45,-0.0695886139550064
2.455,-0.0695056719666653
2.46,-0.0694451456859606
2.465,-0.0694065966292917
2.47,-0.069389620610884
2.475,-0.0693938462784864
2.48,-0.0694189338076201
2.485,-0.0694645737518837
2.49,-0.0695304860494413
2.495,-0.0696164191885525
2.5,-0.0697221495385944
2.505,-0.0698474808570914
2.51,-0.0699922439885061
2.515,-0.0701562967771739
2.52,-0.0703395242251453
2.525,-0.0705418389370977
2.53,-0.0707631819090782
2.535,-0.0710035237381108
2.54,-0.071262866356858
2.545,-0.0715412454355125
2.55,-0.0718387336459454
2.555,-0.072155445058368
2.56,-0.0724915410488355
2.565,-0.0728472382538058
2.57,-0.0732228193417534
2.575,-0.0736186477243523
2.58,-0.0740351878702311
2.585,-0.0744730337292434
2.59,-0.0749329491237738
2.595,-0.0754159261646326
2.6,-0.0759232714301141
2.605,-0.0764567359676627
2.61,-0.0770187163465922
2.615,-0.0776125743408809
2.62,-0.0782431611249007
2.625,-0.0789177063863063
2.63,-0.0796473822988445
2.635,-0.0804501588886141
2.64,-0.0813561905242751
2.645,-0.0824181025814731
2.65,-0.0837294016229871
2.655,-0.0854447098138401
2.66,-0.0877058001730405
2.665,-0.0900181763337652
2.67,-0.0904824221289064
2.675,-0.0891092994802379
2.68,-0.0880712097767168
2.685,-0.0878379048253635
2.69,-0.0881110341061972
2.695,-0.0886585226257467
2.7,-0.0893610219528429
2.705,-0.0901596596546508
2.71,-0.0910244856940784
2.715,-0.0919395966995607
2.72,-0.0928962263663798
2.725,-0.0938894208650148
2.73,-0.0949163632110578
2.735,-0.0959754887387849
2.74,-0.0970659978300011
2.745,-0.0981875770449052
2.75,-0.0993402340694541
2.755,-0.100524197128905
2.76,-0.101739852135127
2.765,-0.102987702585834
2.77,-0.104268343557171
2.775,-0.105582444644462
2.78,-0.106930738716151
2.785,-0.108314014526732
2.79,-0.109733111945571
2.795,-0.11118891899593
2.8,-0.112682370173523
2.805,-0.114214445689785
2.81,-0.115786171399792
2.815,-0.117398619250617
2.82,-0.119052908137034
2.825,-0.120750205086287
2.83,-0.122491726717876
2.835,-0.124278740941125
2.84,-0.126112568865585
2.845,-0.127994586907888
2.85,-0.129926229085312
2.855,-0.131908989490981
2.86,-0.133944424949476
2.865,-0.136034157854483
2.87,-0.138179879192496
2.875,-0.140383351758527
2.88,-0.142646413571523
2.885,-0.144970981498668
2.89,-0.147359055099131
2.895,-0.149812720699197
2.9,-0.15233415571196
2.905,-0.154925633216064
2.91,-0.157589526809268
2.915,-0.16032831575404
2.92,-0.16314459043367
2.925,-0.166041058138988
2.93,-0.169020549207231
2.935,-0.172086023536442
2.94,-0.175240577500323
2.945,-0.178487451290634
2.95,-0.181830036716076
2.955,-0.185271885488893
2.96,-0.188816718032813
2.965,-0.192468432848405
2.97,-0.196231116474825
2.975,-0.200109054089725
2.98,-0.20410674079243
2.985,-0.208228893618891
2.99,-0.21248046434064
2.995,-0.216866653104024
3,-0.221392922970304
